,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
1,AK,11260,"Anchorage, AK",11-0000,Management Occupations,major,9820,2.2,55.713,1.1,55.18,114770,1.6,26.04,35.63,48.72,66.19,91.63,54160,74120,101340,137680,190590,,
29,AK,11260,"Anchorage, AK",13-0000,Business and Financial Operations Occupations,major,9190,2.5,52.144,1.01,37.51,78020,1.9,20.81,26.82,35.18,46.09,57.81,43290,55780,73180,95860,120240,,
55,AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,major,3370,4.8,19.105,0.64,41.42,86160,3.3,21.66,28.42,37.97,48.06,63.47,45050,59120,78980,99960,132020,,
69,AK,11260,"Anchorage, AK",17-0000,Architecture and Engineering Occupations,major,5070,3.1,28.801,1.62,52.35,108890,2.8,26.09,34.81,47.08,62.68,80.73,54260,72410,97930,130370,167910,,
92,AK,11260,"Anchorage, AK",19-0000,"Life, Physical, and Social Science Occupations",major,2590,5.1,14.699,1.79,39.14,81420,2.8,21.07,27.49,36.79,46.64,59.42,43820,57170,76520,97010,123590,,
112,AK,11260,"Anchorage, AK",21-0000,Community and Social Service Occupations,major,3990,7.2,22.644,1.57,25.29,52610,4.4,13.79,17.14,23.96,31.18,39.21,28690,35650,49830,64860,81560,,
128,AK,11260,"Anchorage, AK",23-0000,Legal Occupations,major,1500,7.1,8.497,1.11,46.83,97410,5.6,23.4,29.21,42.26,58.41,77.01,48670,60760,87910,121500,160190,,
133,AK,11260,"Anchorage, AK",25-0000,"Education, Training, and Library Occupations",major,9280,2.2,52.683,0.86,31.71,65960,3.2,15.3,21.38,31.18,41.11,49.88,31820,44460,64850,85510,103750,,
151,AK,11260,"Anchorage, AK",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,2110,7,12,0.89,27.21,56590,3,12.08,17.41,24.37,31.44,43.73,25120,36210,50690,65390,90960,,
170,AK,11260,"Anchorage, AK",29-0000,Healthcare Practitioners and Technical Occupations,major,10010,4.2,56.813,0.96,44.56,92680,2.3,19.58,27.61,38.58,52.04,72.49,40720,57420,80240,108240,150780,,
212,AK,11260,"Anchorage, AK",31-0000,Healthcare Support Occupations,major,4710,6.7,26.745,0.93,21.89,45520,4.2,12.7,16.21,18.96,24.08,34.94,26410,33720,39440,50090,72670,,
224,AK,11260,"Anchorage, AK",33-0000,Protective Service Occupations,major,3990,4.8,22.65,0.94,28.44,59160,4.9,13.45,18.82,26.55,36.16,46.06,27980,39150,55230,75210,95810,,
235,AK,11260,"Anchorage, AK",35-0000,Food Preparation and Serving Related Occupations,major,17060,2.5,96.836,1.05,13.48,28050,2.3,9.76,9.8,11.45,15.44,19.34,20290,20370,23820,32110,40220,,
253,AK,11260,"Anchorage, AK",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,5710,7.2,32.424,1.03,15.5,32250,3.3,10.01,11.33,14.31,18.03,22.89,20810,23570,29750,37510,47600,,
261,AK,11260,"Anchorage, AK",39-0000,Personal Care and Service Occupations,major,8400,8.9,47.678,1.48,14.77,30720,1.8,9.78,11.31,14.15,17.3,19.49,20330,23520,29420,35980,40530,,
279,AK,11260,"Anchorage, AK",41-0000,Sales and Related Occupations,major,16320,3.4,92.637,0.89,19.1,39720,2.3,10.21,11.39,14.45,22.19,33.67,21230,23680,30050,46150,70040,,
299,AK,11260,"Anchorage, AK",43-0000,Office and Administrative Support Occupations,major,29310,2.1,166.371,1.06,20.71,43080,0.9,11.77,14.95,19.39,25.22,30.41,24490,31100,40330,52460,63250,,
346,AK,11260,"Anchorage, AK",45-0000,"Farming, Fishing, and Forestry Occupations",major,100,29.8,0.585,0.18,19.49,40530,8.4,10.82,13.48,18.4,24.5,30.39,22490,28040,38270,50960,63210,,
347,AK,11260,"Anchorage, AK",47-0000,Construction and Extraction Occupations,major,8960,3.8,50.837,1.28,32.01,66580,1.5,18.26,23.69,30.97,39.3,47.43,37980,49270,64420,81740,98650,,
375,AK,11260,"Anchorage, AK",49-0000,"Installation, Maintenance, and Repair Occupations",major,7880,4.1,44.736,1.15,28.85,60020,2,15.58,20.78,28.33,36.29,44.21,32410,43210,58920,75490,91950,,
403,AK,11260,"Anchorage, AK",51-0000,Production Occupations,major,3590,5.6,20.365,0.31,22.82,47460,3.1,11.18,14.31,20.13,29.13,39.13,23250,29760,41870,60590,81390,,
431,AK,11260,"Anchorage, AK",53-0000,Transportation and Material Moving Occupations,major,13220,10,75.036,1.08,26.81,55760,5,11.52,14.54,20.34,30.49,50.86,23960,30250,42320,63420,105800,,
459,AK,21820,"Fairbanks, AK",11-0000,Management Occupations,major,2000,5.1,53.896,1.07,47.27,98330,2.1,24.44,32.23,43.59,56.56,74.84,50840,67040,90660,117640,155670,,
476,AK,21820,"Fairbanks, AK",13-0000,Business and Financial Operations Occupations,major,1340,3.6,36.218,0.7,36.39,75690,2.7,21.65,27.18,33.99,42.36,51.22,45020,56540,70690,88100,106530,,
489,AK,21820,"Fairbanks, AK",15-0000,Computer and Mathematical Occupations,major,550,5.2,14.771,0.5,36.79,76530,3.4,22.81,28.47,35.42,43.68,50.64,47450,59220,73670,90850,105340,,
495,AK,21820,"Fairbanks, AK",17-0000,Architecture and Engineering Occupations,major,840,9.6,22.634,1.27,43.82,91140,3.8,25.46,31.8,41.26,51.56,64.29,52950,66150,85820,107250,133720,,
506,AK,21820,"Fairbanks, AK",19-0000,"Life, Physical, and Social Science Occupations",major,1090,2.8,29.498,3.59,31.62,65770,1.8,18.96,23.18,29.94,38.46,47.29,39430,48210,62270,79990,98370,,
513,AK,21820,"Fairbanks, AK",21-0000,Community and Social Service Occupations,major,940,13.1,25.223,1.75,27.56,57320,6.7,15.44,18.37,25.85,34.97,44.25,32120,38210,53770,72730,92050,,
519,AK,21820,"Fairbanks, AK",23-0000,Legal Occupations,major,200,4.5,5.407,0.71,41.01,85310,2.9,22.46,26.69,35.15,48.58,66.28,46710,55510,73110,101040,137860,,
522,AK,21820,"Fairbanks, AK",25-0000,"Education, Training, and Library Occupations",major,2910,1.4,78.432,1.28,34.88,72560,2.7,17.3,23.99,34.22,44.76,55.79,35980,49890,71180,93090,116040,,
532,AK,21820,"Fairbanks, AK",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,320,10.2,8.571,0.63,24.08,50080,4.6,13.82,17.9,23.18,28.92,36.38,28750,37230,48220,60160,75660,,
536,AK,21820,"Fairbanks, AK",29-0000,Healthcare Practitioners and Technical Occupations,major,1980,4.4,53.5,0.9,43.1,89650,4,19.84,27.39,37.48,48.29,71.02,41270,56970,77950,100440,147720,,
553,AK,21820,"Fairbanks, AK",31-0000,Healthcare Support Occupations,major,700,6.8,18.746,0.65,20.95,43570,2.8,15.45,17.3,20.04,23.19,27.32,32130,35990,41670,48240,56820,,
558,AK,21820,"Fairbanks, AK",33-0000,Protective Service Occupations,major,880,10.9,23.651,0.98,25.13,52280,6.1,14.48,17.57,22.74,30.97,40.91,30110,36550,47300,64430,85100,,
564,AK,21820,"Fairbanks, AK",35-0000,Food Preparation and Serving Related Occupations,major,3420,15.2,92.183,1,13.17,27400,3,9.76,10.15,11.55,14.96,18.82,20290,21100,24020,31110,39140,,
579,AK,21820,"Fairbanks, AK",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,1690,16.8,45.617,1.45,15.57,32390,3,10.07,11.87,14.61,18.22,22.73,20940,24700,30390,37900,47280,,
584,AK,21820,"Fairbanks, AK",39-0000,Personal Care and Service Occupations,major,810,18.5,21.931,0.68,16.43,34170,3.6,10.09,12.38,15.11,18.66,24.31,20980,25750,31430,38810,50570,,
591,AK,21820,"Fairbanks, AK",41-0000,Sales and Related Occupations,major,3130,5.8,84.508,0.82,16.71,34750,2.4,10.35,11.53,14.17,18.56,26.59,21520,23980,29470,38600,55300,,
600,AK,21820,"Fairbanks, AK",43-0000,Office and Administrative Support Occupations,major,6200,3.7,167.198,1.07,20.86,43380,1.7,12.68,15.71,19.93,24.64,30.02,26370,32670,41440,51260,62440,,
628,AK,21820,"Fairbanks, AK",45-0000,"Farming, Fishing, and Forestry Occupations",major,**,**,**,**,17.07,35510,4.2,13.38,14.97,16.49,18.15,19.15,27840,31130,34310,37760,39830,,
629,AK,21820,"Fairbanks, AK",47-0000,Construction and Extraction Occupations,major,2890,7.2,77.825,1.96,31.67,65870,2.8,19.16,23.76,31.04,38.67,46.34,39860,49410,64560,80430,96390,,
638,AK,21820,"Fairbanks, AK",49-0000,"Installation, Maintenance, and Repair Occupations",major,2090,6.5,56.232,1.45,28.38,59030,3.1,15.7,21.56,28.45,35.42,40.52,32660,44830,59170,73670,84270,,
655,AK,21820,"Fairbanks, AK",51-0000,Production Occupations,major,830,7.1,22.268,0.34,26.23,54560,4.2,14.32,18.81,26.12,32.59,38.82,29780,39120,54320,67780,80740,,
665,AK,21820,"Fairbanks, AK",53-0000,Transportation and Material Moving Occupations,major,2240,6.7,60.355,0.87,22.67,47140,5.6,10.43,13.72,20.73,29.37,38.07,21700,28530,43110,61080,79190,,
681,AL,11500,"Anniston-Oxford-Jacksonville, AL",11-0000,Management Occupations,major,1160,6.6,28.222,0.56,45.23,94070,3.4,24.62,29.34,40.35,54.24,73.66,51210,61030,83930,112810,153220,,
690,AL,11500,"Anniston-Oxford-Jacksonville, AL",13-0000,Business and Financial Operations Occupations,major,1240,4.7,30.254,0.58,29.91,62220,4.5,16.73,22.29,28.49,35.48,43.24,34790,46370,59260,73800,89940,,
700,AL,11500,"Anniston-Oxford-Jacksonville, AL",15-0000,Computer and Mathematical Occupations,major,350,20.7,8.555,0.29,24.3,50550,9.9,11.84,13.68,22.52,33.31,40.97,24640,28460,46840,69290,85210,,
704,AL,11500,"Anniston-Oxford-Jacksonville, AL",17-0000,Architecture and Engineering Occupations,major,430,9.8,10.46,0.59,33.94,70600,4.3,16.25,23.83,34.14,43.88,50.91,33790,49570,71020,91280,105880,,
708,AL,11500,"Anniston-Oxford-Jacksonville, AL",19-0000,"Life, Physical, and Social Science Occupations",major,150,8.7,3.529,0.43,27.88,57980,4.6,16.2,18.91,25.48,34.18,42.07,33700,39320,53000,71100,87500,,
710,AL,11500,"Anniston-Oxford-Jacksonville, AL",21-0000,Community and Social Service Occupations,major,390,8.9,9.581,0.67,20.7,43050,3.5,10.9,15.42,20.36,26.25,30.45,22660,32070,42350,54600,63340,,
714,AL,11500,"Anniston-Oxford-Jacksonville, AL",23-0000,Legal Occupations,major,120,19.2,2.936,0.38,25.29,52600,8.4,13.7,17.04,21.56,28.93,46.4,28490,35450,44850,60170,96510,,
717,AL,11500,"Anniston-Oxford-Jacksonville, AL",25-0000,"Education, Training, and Library Occupations",major,2330,7.1,56.558,0.92,21.37,44460,2.3,8.63,15.86,22.31,27.21,30.6,17940,33000,46410,56590,63650,,
726,AL,11500,"Anniston-Oxford-Jacksonville, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,500,28.9,12.218,0.9,15.71,32680,7.2,8.67,11.85,13.41,16.45,26.8,18040,24650,27880,34230,55750,,
728,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-0000,Healthcare Practitioners and Technical Occupations,major,2780,5.9,67.606,1.14,30.57,63580,5.8,12.13,16.09,23.57,31.39,51.38,25240,33480,49020,65280,106870,,
749,AL,11500,"Anniston-Oxford-Jacksonville, AL",31-0000,Healthcare Support Occupations,major,910,7.7,22.01,0.76,13.13,27300,4.3,8.19,9.27,11.6,14.8,20.77,17040,19270,24120,30780,43210,,
757,AL,11500,"Anniston-Oxford-Jacksonville, AL",33-0000,Protective Service Occupations,major,1060,13.7,25.762,1.07,17.76,36930,4.9,8.54,11.64,17.55,22.12,27.47,17770,24210,36500,46000,57130,,
764,AL,11500,"Anniston-Oxford-Jacksonville, AL",35-0000,Food Preparation and Serving Related Occupations,major,4360,5.3,105.931,1.15,9.67,20120,2,7.79,8.24,8.97,10.31,13.23,16210,17130,18660,21440,27520,,
775,AL,11500,"Anniston-Oxford-Jacksonville, AL",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,1120,5.5,27.194,0.86,11.02,22920,2.1,7.93,8.61,9.96,12.04,15.84,16500,17910,20710,25040,32950,,
780,AL,11500,"Anniston-Oxford-Jacksonville, AL",39-0000,Personal Care and Service Occupations,major,870,7.1,21.057,0.65,10.59,22020,3.7,7.78,8.26,9.05,11.46,17.19,16190,17180,18830,23840,35750,,
788,AL,11500,"Anniston-Oxford-Jacksonville, AL",41-0000,Sales and Related Occupations,major,4600,4.3,111.747,1.08,14.24,29610,6.7,7.92,8.55,9.78,15.77,24.16,16470,17790,20330,32810,50260,,
799,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-0000,Office and Administrative Support Occupations,major,6310,3.1,153.409,0.98,15.61,32470,2.6,8.82,10.78,14.4,19.39,24.03,18330,22420,29960,40330,49980,,
830,AL,11500,"Anniston-Oxford-Jacksonville, AL",47-0000,Construction and Extraction Occupations,major,1050,7.2,25.434,0.64,19.21,39960,2.9,11.62,14.77,18.29,23.38,27.18,24180,30720,38050,48640,56540,,
841,AL,11500,"Anniston-Oxford-Jacksonville, AL",49-0000,"Installation, Maintenance, and Repair Occupations",major,2460,4.7,59.705,1.54,21.68,45090,3.7,12.76,17.46,22.71,24.78,28.56,26550,36310,47240,51540,59400,,
854,AL,11500,"Anniston-Oxford-Jacksonville, AL",51-0000,Production Occupations,major,5800,9.2,140.914,2.17,17.08,35530,4.6,9.54,12.25,16.41,20.99,25.69,19850,25480,34140,43650,53440,,
875,AL,11500,"Anniston-Oxford-Jacksonville, AL",53-0000,Transportation and Material Moving Occupations,major,3140,7.6,76.251,1.1,14.17,29470,3.5,8.28,9.49,13.03,17.45,22.71,17220,19750,27110,36290,47230,,
890,AL,12220,"Auburn-Opelika, AL",11-0000,Management Occupations,major,1920,3.8,35.63,0.71,50.01,104020,4.4,24.04,33.22,44.11,59.11,83.48,50010,69090,91760,122940,173640,,
902,AL,12220,"Auburn-Opelika, AL",13-0000,Business and Financial Operations Occupations,major,1380,9.3,25.625,0.49,28.4,59070,4,16.18,19.89,25.44,33.95,45.3,33650,41370,52910,70610,94220,,
913,AL,12220,"Auburn-Opelika, AL",15-0000,Computer and Mathematical Occupations,major,780,7.3,14.42,0.49,32.23,67030,3.5,16.63,24.52,30.49,38.33,48.85,34600,51000,63420,79730,101600,,
919,AL,12220,"Auburn-Opelika, AL",17-0000,Architecture and Engineering Occupations,major,570,8,10.502,0.59,33.28,69220,3.4,17.66,23.61,31.94,39.22,52.59,36730,49100,66430,81570,109390,,
925,AL,12220,"Auburn-Opelika, AL",19-0000,"Life, Physical, and Social Science Occupations",major,390,2.8,7.271,0.89,25.99,54070,3.1,14.5,17.44,22.64,30.19,40.97,30150,36270,47090,62800,85220,,
928,AL,12220,"Auburn-Opelika, AL",21-0000,Community and Social Service Occupations,major,560,6,10.41,0.72,21.1,43900,2.9,13.31,16.45,19.9,25.57,30.54,27680,34220,41400,53180,63510,,
933,AL,12220,"Auburn-Opelika, AL",23-0000,Legal Occupations,major,110,17.8,2.06,0.27,39.76,82710,20.5,16.07,18.66,28.43,43.67,75.56,33430,38820,59140,90820,157170,,
935,AL,12220,"Auburn-Opelika, AL",25-0000,"Education, Training, and Library Occupations",major,4830,2.6,89.475,1.45,32.89,68410,14.2,8.85,19.14,27.04,43.51,63.69,18400,39800,56240,90500,132470,,
951,AL,12220,"Auburn-Opelika, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,540,7.5,10.017,0.74,28.01,58270,13.9,8.57,11.5,21.2,30.87,48.8,17820,23930,44100,64200,101500,,
956,AL,12220,"Auburn-Opelika, AL",29-0000,Healthcare Practitioners and Technical Occupations,major,2940,3.4,54.503,0.92,31.15,64800,5.9,11.85,15.75,22.82,31.05,57.67,24650,32750,47460,64580,119960,,
975,AL,12220,"Auburn-Opelika, AL",31-0000,Healthcare Support Occupations,major,1370,4.7,25.378,0.88,11.65,24230,2.4,8.06,9.1,10.78,13.21,16.37,16770,18930,22430,27480,34050,,
982,AL,12220,"Auburn-Opelika, AL",33-0000,Protective Service Occupations,major,680,10.9,12.582,0.52,15.45,32130,6.6,8.29,9.49,15.16,18.93,25.8,17240,19730,31540,39380,53660,,
986,AL,12220,"Auburn-Opelika, AL",35-0000,Food Preparation and Serving Related Occupations,major,7040,4.1,130.539,1.41,9.77,20330,1.8,7.77,8.21,8.95,10.28,13.31,16150,17080,18610,21380,27680,,
1001,AL,12220,"Auburn-Opelika, AL",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,1780,9.8,33.001,1.05,11.54,23990,3.3,7.93,8.62,10.01,13.4,18.12,16490,17920,20820,27880,37690,,
1007,AL,12220,"Auburn-Opelika, AL",39-0000,Personal Care and Service Occupations,major,1720,8,31.937,0.99,10.7,22260,5.9,7.77,8.24,9.02,10.68,14.55,16150,17130,18770,22210,30260,,
1016,AL,12220,"Auburn-Opelika, AL",41-0000,Sales and Related Occupations,major,6330,7.1,117.413,1.13,14.2,29540,3.4,7.97,8.64,10.01,15.82,24.34,16570,17970,20820,32900,50620,,
1028,AL,12220,"Auburn-Opelika, AL",43-0000,Office and Administrative Support Occupations,major,6920,2.8,128.381,0.82,15.18,31580,3,8.93,10.73,13.99,18.32,23.75,18580,22310,29100,38110,49400,,
1053,AL,12220,"Auburn-Opelika, AL",47-0000,Construction and Extraction Occupations,major,1500,6.3,27.86,0.7,16.4,34110,2.7,9.34,12,15.65,19.03,25.38,19420,24950,32550,39580,52790,,
1063,AL,12220,"Auburn-Opelika, AL",49-0000,"Installation, Maintenance, and Repair Occupations",major,1940,6,35.923,0.92,19.91,41420,3,11.7,14.86,18.25,23.98,30.88,24330,30900,37950,49870,64220,,
1074,AL,12220,"Auburn-Opelika, AL",51-0000,Production Occupations,major,6630,6.6,122.954,1.9,14.1,29320,3.4,8.36,9.65,12.99,17.06,21.72,17380,20070,27020,35490,45180,,
1097,AL,12220,"Auburn-Opelika, AL",53-0000,Transportation and Material Moving Occupations,major,3900,17.9,72.309,1.04,13.82,28750,3.5,8.59,10.02,11.98,15.34,22.06,17860,20830,24920,31900,45880,,
1109,AL,13820,"Birmingham-Hoover, AL",11-0000,Management Occupations,major,21770,2.3,43.135,0.85,56.97,118490,1.4,26.81,35.86,48.56,68.32,98.49,55770,74590,101010,142100,204860,,
1139,AL,13820,"Birmingham-Hoover, AL",13-0000,Business and Financial Operations Occupations,major,24060,2.3,47.687,0.92,32.91,68450,1.5,16.82,22.32,29.72,38.65,49.22,34990,46420,61820,80400,102380,,
1169,AL,13820,"Birmingham-Hoover, AL",15-0000,Computer and Mathematical Occupations,major,12050,4.5,23.886,0.81,36.7,76330,1.3,20.19,26.86,35.92,45.73,54.94,42000,55860,74720,95120,114270,,
1185,AL,13820,"Birmingham-Hoover, AL",17-0000,Architecture and Engineering Occupations,major,7330,4.3,14.532,0.82,37.46,77920,2.1,19.07,25.6,34.3,47.09,61.04,39660,53260,71350,97940,126970,,
1213,AL,13820,"Birmingham-Hoover, AL",19-0000,"Life, Physical, and Social Science Occupations",major,2030,6.7,4.031,0.49,30.69,63830,4.5,16.44,20.08,24.75,35.08,52.39,34190,41770,51490,72970,108980,,
1227,AL,13820,"Birmingham-Hoover, AL",21-0000,Community and Social Service Occupations,major,4250,3.9,8.42,0.59,21.19,44080,2.4,12.93,15.93,19.89,25.79,31.95,26890,33130,41370,53650,66460,,
1243,AL,13820,"Birmingham-Hoover, AL",23-0000,Legal Occupations,major,4070,8.8,8.061,1.05,45.2,94010,5.8,15.3,21.97,32.12,61.35,91.95,31820,45700,66810,127600,191250,,
1250,AL,13820,"Birmingham-Hoover, AL",25-0000,"Education, Training, and Library Occupations",major,24060,2,47.681,0.78,25.38,52800,8.6,8.91,16,23.54,28.88,37.87,18530,33280,48950,60060,78780,,
1286,AL,13820,"Birmingham-Hoover, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,5960,10.9,11.816,0.87,19.89,41370,6.9,8.3,9.58,16.41,25.23,36.98,17250,19930,34120,52470,76910,,
1310,AL,13820,"Birmingham-Hoover, AL",29-0000,Healthcare Practitioners and Technical Occupations,major,42710,1.7,84.64,1.43,36.88,76700,6.9,14.86,20.53,27.38,37.65,65.65,30900,42710,56960,78320,136560,,
1358,AL,13820,"Birmingham-Hoover, AL",31-0000,Healthcare Support Occupations,major,13450,6.7,26.662,0.93,12.93,26900,2.2,8.44,9.82,11.9,14.78,18.7,17560,20440,24760,30750,38900,,
1374,AL,13820,"Birmingham-Hoover, AL",33-0000,Protective Service Occupations,major,13250,5.6,26.257,1.09,17.02,35400,6.1,8.15,9.17,14.49,22.86,29.76,16950,19070,30140,47550,61890,,
1392,AL,13820,"Birmingham-Hoover, AL",35-0000,Food Preparation and Serving Related Occupations,major,41600,2.2,82.439,0.89,10.31,21440,1.1,7.83,8.37,9.25,11.4,14.3,16300,17400,19240,23720,29750,,
1409,AL,13820,"Birmingham-Hoover, AL",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,14100,3,27.94,0.89,11.71,24360,2,8.07,8.95,10.56,12.99,17.52,16790,18610,21970,27010,36450,,
1417,AL,13820,"Birmingham-Hoover, AL",39-0000,Personal Care and Service Occupations,major,11880,4.2,23.548,0.73,11.09,23060,1.9,7.83,8.37,9.26,12.07,17.96,16290,17400,19250,25110,37360,,
1436,AL,13820,"Birmingham-Hoover, AL",41-0000,Sales and Related Occupations,major,61580,2.4,122.042,1.18,19.35,40250,2.5,8.19,9.18,12.98,23.23,37.45,17040,19090,27010,48310,77890,,
1455,AL,13820,"Birmingham-Hoover, AL",43-0000,Office and Administrative Support Occupations,major,83610,1.5,165.693,1.06,17.16,35690,0.6,9.69,12.37,15.89,20.71,27.08,20160,25730,33060,43080,56320,,
1505,AL,13820,"Birmingham-Hoover, AL",45-0000,"Farming, Fishing, and Forestry Occupations",major,440,10.3,0.867,0.26,16.36,34040,5.4,10.24,11.36,14.55,19.49,24.75,21310,23630,30260,40540,51480,,
1509,AL,13820,"Birmingham-Hoover, AL",47-0000,Construction and Extraction Occupations,major,19970,3.4,39.583,0.99,20.76,43190,1.5,12.05,14.89,18.67,24.76,32,25070,30980,38840,51510,66560,,
1541,AL,13820,"Birmingham-Hoover, AL",49-0000,"Installation, Maintenance, and Repair Occupations",major,23960,3.5,47.487,1.22,22.47,46730,1.3,12.39,15.64,20.85,27.97,35.8,25770,32520,43360,58170,74450,,
1575,AL,13820,"Birmingham-Hoover, AL",51-0000,Production Occupations,major,33870,3.3,67.116,1.03,17,35370,1.6,9.77,11.61,15.11,20.25,27.39,20320,24140,31430,42130,56980,,
1646,AL,13820,"Birmingham-Hoover, AL",53-0000,Transportation and Material Moving Occupations,major,38590,3.9,76.477,1.1,15.28,31780,1.4,8.61,10.23,13.47,18.51,25.19,17900,21270,28020,38500,52390,,
1674,AL,19300,"Daphne-Fairhope-Foley, AL",11-0000,Management Occupations,major,1880,4.2,26.886,0.53,45.17,93960,3.7,21.19,29.45,38.13,52.78,74.85,44070,61260,79300,109780,155680,,
1688,AL,19300,"Daphne-Fairhope-Foley, AL",13-0000,Business and Financial Operations Occupations,major,1580,6.2,22.605,0.44,29.51,61370,3.6,15.48,18.88,25.95,35.6,47.84,32210,39270,53970,74060,99520,,
1703,AL,19300,"Daphne-Fairhope-Foley, AL",15-0000,Computer and Mathematical Occupations,major,380,13.3,5.435,0.18,30.49,63430,6,13.34,19.66,29.29,39.98,48.14,27750,40890,60920,83160,100140,,
1708,AL,19300,"Daphne-Fairhope-Foley, AL",17-0000,Architecture and Engineering Occupations,major,460,9.9,6.655,0.37,31.87,66290,4.1,17.3,21.44,28.53,40.64,48.96,35990,44600,59350,84540,101840,,
1715,AL,19300,"Daphne-Fairhope-Foley, AL",19-0000,"Life, Physical, and Social Science Occupations",major,170,9.1,2.479,0.3,26.02,54130,2.2,15.42,18.22,25.47,31.37,37.56,32070,37900,52980,65240,78130,,
1717,AL,19300,"Daphne-Fairhope-Foley, AL",21-0000,Community and Social Service Occupations,major,530,6.1,7.608,0.53,19.98,41560,3.7,13.47,15.81,18.6,24.09,28.74,28010,32890,38680,50110,59780,,
1722,AL,19300,"Daphne-Fairhope-Foley, AL",23-0000,Legal Occupations,major,330,13.8,4.681,0.61,24.62,51220,7,14.44,18.48,23.15,28.91,34.18,30030,38440,48150,60130,71100,,
1725,AL,19300,"Daphne-Fairhope-Foley, AL",25-0000,"Education, Training, and Library Occupations",major,3810,3.2,54.491,0.89,18.87,39250,11.5,8.35,9.54,20.64,25.83,29.4,17380,19840,42930,53730,61160,,
1732,AL,19300,"Daphne-Fairhope-Foley, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,430,10.3,6.181,0.46,15.02,31240,6.2,8.58,10.05,13.08,17.01,22.97,17850,20900,27210,35370,47780,,
1737,AL,19300,"Daphne-Fairhope-Foley, AL",29-0000,Healthcare Practitioners and Technical Occupations,major,3910,4.3,55.962,0.94,31.86,66260,6,12.98,17.6,23.99,31.09,58.69,27010,36600,49900,64660,122070,,
1761,AL,19300,"Daphne-Fairhope-Foley, AL",31-0000,Healthcare Support Occupations,major,1780,5.9,25.464,0.88,13.05,27140,4,8.63,10.07,11.73,14.54,18.27,17950,20950,24390,30250,38000,,
1768,AL,19300,"Daphne-Fairhope-Foley, AL",33-0000,Protective Service Occupations,major,1490,6.9,21.305,0.88,18.51,38510,7,8.62,10.86,17.17,24.4,30.79,17940,22590,35710,50760,64030,,
1777,AL,19300,"Daphne-Fairhope-Foley, AL",35-0000,Food Preparation and Serving Related Occupations,major,10750,3.2,153.889,1.66,10.8,22460,2.4,7.88,8.44,9.41,12.53,15.81,16380,17560,19560,26060,32880,,
1794,AL,19300,"Daphne-Fairhope-Foley, AL",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,3620,6.2,51.851,1.64,12.28,25550,2.7,8.13,9.13,11.01,14.43,18.44,16920,18990,22900,30010,38350,,
1800,AL,19300,"Daphne-Fairhope-Foley, AL",39-0000,Personal Care and Service Occupations,major,2650,16,38.012,1.18,10.37,21570,3.7,7.78,8.31,9.18,11.19,14.64,16190,17280,19090,23280,30450,,
1811,AL,19300,"Daphne-Fairhope-Foley, AL",41-0000,Sales and Related Occupations,major,12600,5.8,180.446,1.74,15.06,31320,3.3,8.13,9.06,11.38,16.2,27.03,16910,18840,23680,33690,56210,,
1823,AL,19300,"Daphne-Fairhope-Foley, AL",43-0000,Office and Administrative Support Occupations,major,10000,3,143.117,0.91,15.16,31530,1.5,9.24,11.12,14,17.99,23.19,19210,23120,29120,37420,48240,,
1856,AL,19300,"Daphne-Fairhope-Foley, AL",45-0000,"Farming, Fishing, and Forestry Occupations",major,110,44.9,1.516,0.46,11.07,23020,16.3,7.81,8.32,9.19,12.38,18.64,16240,17310,19110,25750,38780,,
1857,AL,19300,"Daphne-Fairhope-Foley, AL",47-0000,Construction and Extraction Occupations,major,2710,5.8,38.815,0.98,18.12,37680,3.4,10.57,13.16,16.92,22.05,28.25,21990,27380,35190,45850,58770,,
1874,AL,19300,"Daphne-Fairhope-Foley, AL",49-0000,"Installation, Maintenance, and Repair Occupations",major,2940,8.5,42.157,1.08,18.7,38900,2.7,10.24,12.8,16.9,23.6,30.39,21300,26620,35160,49090,63210,,
