,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,AK,11260,"Anchorage, AK",11-0000,Management Occupations,major,10610,2.5,61.779,1.17,55.59,115630,1.8,26.68,36.03,48.94,64.7,93.24,55490,74950,101800,134580,193930,2018
32,AK,11260,"Anchorage, AK",13-0000,Business and Financial Operations Occupations,major,8000,6.1,46.552,0.87,36.47,75860,3.1,17.82,26.05,34.66,44.86,55.85,37060,54190,72100,93310,116180,2018
58,AK,11260,"Anchorage, AK",15-0000,Computer and Mathematical Occupations,major,3300,8.3,19.24,0.64,40.13,83460,2.7,21.01,27.86,38.19,48.18,63.85,43690,57950,79430,100220,132820,2018
72,AK,11260,"Anchorage, AK",17-0000,Architecture and Engineering Occupations,major,4610,3.7,26.857,1.52,52.16,108490,4.9,25.09,34.33,46.03,60.46,80.1,52180,71400,95740,125750,166610,2018
95,AK,11260,"Anchorage, AK",19-0000,"Life, Physical, and Social Science Occupations",major,2390,4.4,13.916,1.72,38.37,79800,2.8,19.92,27.33,36.09,46.8,58.67,41430,56840,75060,97340,122040,2018
114,AK,11260,"Anchorage, AK",21-0000,Community and Social Service Occupations,major,3490,4.9,20.338,1.36,25.75,53550,4.1,14.29,17.67,24.15,31.5,40.21,29730,36740,50230,65520,83650,2018
129,AK,11260,"Anchorage, AK",23-0000,Legal Occupations,major,1550,6.5,9.011,1.16,44.09,91720,6.2,21.45,27.34,38.95,53.62,71.79,44620,56870,81010,111520,149310,2018
134,AK,11260,"Anchorage, AK",25-0000,"Education, Training, and Library Occupations",major,9910,2.5,57.695,0.95,30.09,62590,3.2,14.01,19.44,27.89,38.87,49.23,29150,40440,58020,80860,102400,2018
152,AK,11260,"Anchorage, AK",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,2180,6.4,12.665,0.94,27.63,57480,6.8,11.12,15.81,22.83,34.48,48.86,23130,32880,47480,71720,101620,2018
169,AK,11260,"Anchorage, AK",29-0000,Healthcare Practitioners and Technical Occupations,major,11130,4.5,64.804,1.08,46.51,96740,2.9,19.96,28,39.66,54.64,76.62,41520,58250,82490,113650,159360,2018
213,AK,11260,"Anchorage, AK",31-0000,Healthcare Support Occupations,major,4910,6.4,28.591,1.01,21.85,45440,4,12.73,16.35,19.63,24.42,31.96,26470,34020,40820,50800,66470,2018
225,AK,11260,"Anchorage, AK",33-0000,Protective Service Occupations,major,4090,5.4,23.808,1,30.23,62870,6.7,13.87,18.43,28.58,38.41,51.48,28840,38340,59440,79900,107070,2018
237,AK,11260,"Anchorage, AK",35-0000,Food Preparation and Serving Related Occupations,major,16510,3.9,96.104,1.04,13.31,27680,1.4,10.31,10.76,11.8,14.55,18.56,21440,22380,24550,30270,38600,2018
254,AK,11260,"Anchorage, AK",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4470,8.9,26.002,0.85,17.09,35550,5.7,10.83,12.29,15.25,18.92,25.38,22530,25560,31730,39350,52790,2018
261,AK,11260,"Anchorage, AK",39-0000,Personal Care and Service Occupations,major,7690,5.4,44.788,1.19,15.4,32030,1.4,10.8,12.15,14.74,17.81,20.52,22460,25280,30650,37050,42680,2018
278,AK,11260,"Anchorage, AK",41-0000,Sales and Related Occupations,major,15390,5.2,89.584,0.89,19.27,40080,2.6,10.65,11.74,14.73,22,32.44,22150,24410,30640,45770,67470,2018
296,AK,11260,"Anchorage, AK",43-0000,Office and Administrative Support Occupations,major,29750,2.1,173.198,1.15,21.22,44140,1.4,12.65,15.51,19.86,25.55,31.12,26320,32260,41300,53140,64740,2018
342,AK,11260,"Anchorage, AK",45-0000,"Farming, Fishing, and Forestry Occupations",major,250,36.5,1.436,0.43,21.87,45480,20.6,10.72,11.49,20.04,32.7,36.63,22290,23900,41670,68020,76190,2018
344,AK,11260,"Anchorage, AK",47-0000,Construction and Extraction Occupations,major,7730,4.3,45.008,1.09,31.34,65190,1.6,18.12,23.13,30.52,38.59,46.83,37690,48110,63490,80260,97420,2018
370,AK,11260,"Anchorage, AK",49-0000,"Installation, Maintenance, and Repair Occupations",major,8740,4.5,50.903,1.31,29.37,61080,2,15.52,20.35,28.58,36.84,45.5,32280,42330,59450,76640,94640,2018
399,AK,11260,"Anchorage, AK",51-0000,Production Occupations,major,2890,4.7,16.836,0.27,25.19,52400,4.4,11.59,14.74,21.23,31.56,45,24120,30650,44150,65640,93590,2018
422,AK,11260,"Anchorage, AK",53-0000,Transportation and Material Moving Occupations,major,12180,4.6,70.884,1,30.97,64420,7.3,12.35,15.73,22.76,32.42,64.66,25680,32710,47340,67430,134500,2018
448,AK,21820,"Fairbanks, AK",11-0000,Management Occupations,major,2100,4.2,59.206,1.13,47.45,98700,2,25.91,33.35,45.29,57.46,70.47,53900,69370,94200,119510,146580,2018
463,AK,21820,"Fairbanks, AK",13-0000,Business and Financial Operations Occupations,major,1360,6.1,38.546,0.72,37.67,78350,3.1,22.35,28.05,35.28,44.36,52.75,46490,58340,73380,92280,109720,2018
475,AK,21820,"Fairbanks, AK",15-0000,Computer and Mathematical Occupations,major,560,6.7,15.775,0.52,36.8,76550,2.6,22.94,29.47,36.77,44.04,49.24,47710,61290,76490,91610,102410,2018
483,AK,21820,"Fairbanks, AK",17-0000,Architecture and Engineering Occupations,major,860,6.8,24.25,1.37,44.31,92160,5.8,25.15,31.98,41.45,50.93,63.26,52320,66520,86220,105920,131570,2018
494,AK,21820,"Fairbanks, AK",19-0000,"Life, Physical, and Social Science Occupations",major,1190,3.5,33.708,4.16,33.32,69300,2,18.2,23.49,30.6,40.29,49.59,37860,48860,63650,83790,103140,2018
503,AK,21820,"Fairbanks, AK",21-0000,Community and Social Service Occupations,major,840,8.9,23.81,1.59,24.88,51760,2,14.61,17.45,22.81,30.44,39.36,30390,36300,47440,63310,81860,2018
510,AK,21820,"Fairbanks, AK",23-0000,Legal Occupations,major,210,6.8,5.947,0.76,42.66,88740,2.3,22.83,27.39,36.93,51.73,64.2,47480,56960,76810,107590,133530,2018
513,AK,21820,"Fairbanks, AK",25-0000,"Education, Training, and Library Occupations",major,2760,1.7,77.853,1.28,33.4,69480,3.4,16.66,23.24,34.56,43.06,48.29,34650,48330,71880,89560,100450,2018
526,AK,21820,"Fairbanks, AK",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,310,7.6,8.774,0.65,24.44,50840,3.8,13.26,16.74,23.54,30.69,37.85,27570,34820,48960,63830,78720,2018
529,AK,21820,"Fairbanks, AK",29-0000,Healthcare Practitioners and Technical Occupations,major,2120,3.2,59.909,1,46.85,97450,7.4,21.73,29.07,38.88,50.04,77.02,45210,60460,80870,104080,160200,2018
545,AK,21820,"Fairbanks, AK",31-0000,Healthcare Support Occupations,major,810,11.1,22.751,0.8,19.99,41570,4.7,12.14,16.52,19.56,23.3,26.77,25240,34350,40690,48470,55680,2018
552,AK,21820,"Fairbanks, AK",33-0000,Protective Service Occupations,major,820,7.1,23.03,0.97,27.16,56480,3.9,13.97,18.96,25.21,33.22,42.66,29060,39440,52440,69100,88740,2018
560,AK,21820,"Fairbanks, AK",35-0000,Food Preparation and Serving Related Occupations,major,3070,5.7,86.746,0.94,13.54,28170,2.4,10.44,10.96,11.98,14.9,18.67,21720,22790,24920,30980,38830,2018
572,AK,21820,"Fairbanks, AK",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,1260,9.7,35.521,1.16,17.13,35630,5.5,10.98,12.34,14.91,18.66,25.16,22840,25670,31000,38810,52330,2018
577,AK,21820,"Fairbanks, AK",39-0000,Personal Care and Service Occupations,major,1030,9.5,28.949,0.77,16.75,34840,1.9,10.76,12.4,16.19,18.68,23.53,22380,25790,33680,38850,48950,2018
585,AK,21820,"Fairbanks, AK",41-0000,Sales and Related Occupations,major,3120,5.8,88.184,0.88,17.11,35580,1.9,10.8,11.95,14.58,19,26.47,22470,24860,30330,39530,55060,2018
595,AK,21820,"Fairbanks, AK",43-0000,Office and Administrative Support Occupations,major,5980,3.8,168.989,1.12,21.4,44510,1.6,12.97,16.15,20.32,25.39,30.73,26990,33600,42260,52810,63910,2018
622,AK,21820,"Fairbanks, AK",45-0000,"Farming, Fishing, and Forestry Occupations",major,30,20.8,0.875,0.26,14.76,30700,6,10.18,10.69,11.52,16.72,25.01,21180,22230,23970,34780,52020,2018
623,AK,21820,"Fairbanks, AK",47-0000,Construction and Extraction Occupations,major,2110,4.7,59.534,1.45,31.34,65180,2,18.26,25.11,31.45,37.69,45.06,37980,52220,65410,78400,93730,2018
634,AK,21820,"Fairbanks, AK",49-0000,"Installation, Maintenance, and Repair Occupations",major,1890,8.1,53.389,1.37,30.12,62640,2.9,16.5,23.28,30.41,37.46,43.08,34310,48420,63250,77910,89600,2018
647,AK,21820,"Fairbanks, AK",51-0000,Production Occupations,major,740,15.5,20.762,0.33,26.87,55880,3.5,14.75,19.51,26.85,33.22,40.01,30680,40570,55860,69090,83210,2018
655,AK,21820,"Fairbanks, AK",53-0000,Transportation and Material Moving Occupations,major,2250,12.1,63.49,0.9,25.77,53610,5.9,12.29,15.64,23.56,32.3,44.79,25570,32530,49010,67190,93160,2018
668,AL,11500,"Anniston-Oxford-Jacksonville, AL",11-0000,Management Occupations,major,1330,5.8,30.357,0.58,44.71,92990,4.4,21.01,28.17,39.36,55.03,74.59,43710,58590,81860,114460,155150,2018
680,AL,11500,"Anniston-Oxford-Jacksonville, AL",13-0000,Business and Financial Operations Occupations,major,1290,3.8,29.396,0.55,30.1,62600,4.3,16.93,22.1,29.19,36.3,43.57,35220,45970,60720,75510,90630,2018
690,AL,11500,"Anniston-Oxford-Jacksonville, AL",15-0000,Computer and Mathematical Occupations,major,440,13.5,9.932,0.33,29.98,62360,6.7,13.53,21.2,29.09,37.25,45.86,28150,44110,60510,77480,95390,2018
695,AL,11500,"Anniston-Oxford-Jacksonville, AL",17-0000,Architecture and Engineering Occupations,major,550,8.7,12.482,0.71,37.51,78020,2,21.82,28.68,37.02,45.86,54.57,45390,59650,76990,95380,113510,2018
699,AL,11500,"Anniston-Oxford-Jacksonville, AL",19-0000,"Life, Physical, and Social Science Occupations",major,120,11.6,2.808,0.35,28.43,59130,4.7,18.63,22.19,27.31,33.43,39.56,38740,46160,56810,69530,82280,2018
700,AL,11500,"Anniston-Oxford-Jacksonville, AL",21-0000,Community and Social Service Occupations,major,460,10.8,10.539,0.7,20.5,42640,3,11.99,15.7,19.17,25.34,29.67,24950,32650,39870,52700,61710,2018
704,AL,11500,"Anniston-Oxford-Jacksonville, AL",23-0000,Legal Occupations,major,110,22.4,2.605,0.33,26.28,54660,8.1,11.4,16.94,21.61,29.44,51.23,23710,35220,44940,61230,106560,2018
707,AL,11500,"Anniston-Oxford-Jacksonville, AL",25-0000,"Education, Training, and Library Occupations",major,2470,6.3,56.357,0.93,24.85,51690,7.8,9.87,19.36,24.33,29.4,38.19,20540,40260,50600,61160,79420,2018
719,AL,11500,"Anniston-Oxford-Jacksonville, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,480,23.4,11.055,0.82,17.68,36780,8.1,10.11,12.71,14.54,19.71,28.37,21040,26440,30230,40990,59020,2018
722,AL,11500,"Anniston-Oxford-Jacksonville, AL",29-0000,Healthcare Practitioners and Technical Occupations,major,2990,6.7,68.326,1.14,29.84,62060,5,12.27,16.47,22.95,31.28,53.05,25510,34260,47740,65060,110350,2018
740,AL,11500,"Anniston-Oxford-Jacksonville, AL",31-0000,Healthcare Support Occupations,major,1290,5.9,29.421,1.03,12.75,26520,3.1,8.57,9.68,11.6,14.45,18.66,17830,20130,24130,30060,38800,2018
749,AL,11500,"Anniston-Oxford-Jacksonville, AL",33-0000,Protective Service Occupations,major,950,12.3,21.733,0.92,16.56,34440,6.2,8.55,9.82,16.06,21.47,25.64,17790,20420,33410,44660,53340,2018
755,AL,11500,"Anniston-Oxford-Jacksonville, AL",35-0000,Food Preparation and Serving Related Occupations,major,4880,3.8,111.486,1.21,9.87,20530,1.7,7.83,8.31,9.08,10.56,13.11,16290,17280,18890,21970,27270,2018
768,AL,11500,"Anniston-Oxford-Jacksonville, AL",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,1280,10,29.179,0.96,11.1,23080,2.4,8.05,8.8,10.2,12.09,15.8,16750,18310,21220,25150,32850,2018
773,AL,11500,"Anniston-Oxford-Jacksonville, AL",39-0000,Personal Care and Service Occupations,major,1060,16.5,24.211,0.64,10.49,21820,3.3,7.94,8.4,9.15,10.95,16.03,16520,17460,19030,22770,33350,2018
781,AL,11500,"Anniston-Oxford-Jacksonville, AL",41-0000,Sales and Related Occupations,major,4700,4.1,107.383,1.07,15.16,31530,6.2,8.01,8.72,10.55,17.08,26.74,16670,18140,21940,35530,55610,2018
792,AL,11500,"Anniston-Oxford-Jacksonville, AL",43-0000,Office and Administrative Support Occupations,major,6060,4.3,138.391,0.92,15.96,33200,2.7,8.88,11.08,14.82,19.81,24.54,18460,23040,30830,41200,51040,2018
820,AL,11500,"Anniston-Oxford-Jacksonville, AL",45-0000,"Farming, Fishing, and Forestry Occupations",major,30,15.7,0.744,0.22,20.97,43610,6.8,13.74,15.53,21.4,24.78,29.08,28570,32310,44500,51540,60480,2018
821,AL,11500,"Anniston-Oxford-Jacksonville, AL",47-0000,Construction and Extraction Occupations,major,1100,6.9,25.149,0.61,19.14,39820,3.8,11.02,13.8,18.27,24.16,28.32,22920,28700,38000,50260,58900,2018
833,AL,11500,"Anniston-Oxford-Jacksonville, AL",49-0000,"Installation, Maintenance, and Repair Occupations",major,2920,4.7,66.554,1.71,22.05,45870,4,12.01,17.81,22.84,25.82,29.57,24970,37040,47520,53710,61500,2018
848,AL,11500,"Anniston-Oxford-Jacksonville, AL",51-0000,Production Occupations,major,6210,5.3,141.861,2.25,17.83,37080,3.6,10.04,13.07,16.95,21.93,25.9,20870,27180,35250,45610,53870,2018
871,AL,11500,"Anniston-Oxford-Jacksonville, AL",53-0000,Transportation and Material Moving Occupations,major,3070,4.6,70.031,0.99,14.88,30960,3,8.56,10.23,13.98,18.66,23.05,17800,21270,29080,38800,47930,2018
884,AL,12220,"Auburn-Opelika, AL",11-0000,Management Occupations,major,1980,4,34.376,0.65,52,108170,5.5,22.64,33.27,46.15,62.54,86.93,47080,69190,95980,130080,180810,2018
898,AL,12220,"Auburn-Opelika, AL",13-0000,Business and Financial Operations Occupations,major,1690,4,29.396,0.55,29.71,61790,1.7,16.6,20.98,27.11,36.3,47.59,34530,43640,56400,75510,99000,2018
911,AL,12220,"Auburn-Opelika, AL",15-0000,Computer and Mathematical Occupations,major,690,7.2,11.898,0.39,34.29,71320,3.5,17.98,25.32,32.2,39.95,53.02,37410,52670,66990,83090,110270,2018
917,AL,12220,"Auburn-Opelika, AL",17-0000,Architecture and Engineering Occupations,major,680,8.1,11.813,0.67,34.73,72230,3.5,19.28,24.45,32.39,42.65,55.78,40100,50860,67370,88700,116030,2018
924,AL,12220,"Auburn-Opelika, AL",19-0000,"Life, Physical, and Social Science Occupations",major,490,7.2,8.481,1.05,25.33,52690,6.5,11.82,16.05,21.32,30.5,42.85,24590,33380,44350,63450,89130,2018
928,AL,12220,"Auburn-Opelika, AL",21-0000,Community and Social Service Occupations,major,650,9.3,11.248,0.75,21.85,45460,3.4,12,16.94,21.48,26.31,32.04,24950,35230,44670,54730,66640,2018
934,AL,12220,"Auburn-Opelika, AL",23-0000,Legal Occupations,major,120,42.3,2.082,0.27,36.06,75000,20.5,13.83,17.05,24.06,38.55,66.56,28760,35470,50040,80180,138450,2018
936,AL,12220,"Auburn-Opelika, AL",25-0000,"Education, Training, and Library Occupations",major,4990,5.2,86.497,1.43,30.24,62890,11.6,9.05,18.95,26.44,37.36,55.93,18810,39410,54990,77710,116330,2018
950,AL,12220,"Auburn-Opelika, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,620,11,10.677,0.79,26.66,55450,17.5,9.62,13.96,20.4,30.87,42.71,20000,29030,42430,64200,88830,2018
956,AL,12220,"Auburn-Opelika, AL",29-0000,Healthcare Practitioners and Technical Occupations,major,3090,2.4,53.529,0.9,30.07,62540,3.7,12.57,16.99,24.7,31.49,51.92,26140,35350,51370,65490,108000,2018
972,AL,12220,"Auburn-Opelika, AL",31-0000,Healthcare Support Occupations,major,1270,4.5,21.958,0.77,12.4,25790,2.3,8.4,9.56,11.54,14.3,17.44,17470,19870,24000,29730,36280,2018
978,AL,12220,"Auburn-Opelika, AL",33-0000,Protective Service Occupations,major,870,27.2,15.163,0.64,19.56,40690,5.9,9.11,15,19.72,23.48,29.24,18950,31200,41020,48840,60810,2018
983,AL,12220,"Auburn-Opelika, AL",35-0000,Food Preparation and Serving Related Occupations,major,7290,4.2,126.391,1.37,10.36,21550,2.5,7.88,8.37,9.17,11.12,14.81,16390,17400,19070,23140,30810,2018
998,AL,12220,"Auburn-Opelika, AL",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,1980,8.6,34.401,1.13,12.48,25960,4,8.06,8.84,10.67,14.12,20.56,16760,18390,22200,29370,42750,2018
1004,AL,12220,"Auburn-Opelika, AL",39-0000,Personal Care and Service Occupations,major,1990,9.1,34.508,0.92,11.52,23950,4.6,8.01,8.61,9.7,12.34,18.34,16660,17900,20170,25670,38140,2018
1014,AL,12220,"Auburn-Opelika, AL",41-0000,Sales and Related Occupations,major,6320,5.1,109.631,1.09,14.6,30380,3.8,8.02,8.76,10.57,16.31,25.04,16690,18220,21980,33930,52080,2018
1027,AL,12220,"Auburn-Opelika, AL",43-0000,Office and Administrative Support Occupations,major,7800,4.8,135.372,0.9,15.97,33210,2.3,9.09,11.25,14.97,19.28,24.27,18910,23390,31130,40100,50470,2018
1054,AL,12220,"Auburn-Opelika, AL",45-0000,"Farming, Fishing, and Forestry Occupations",major,160,25.4,2.803,0.85,17.93,37290,8.2,10.13,12.35,18.23,22.69,26.12,21070,25680,37910,47190,54320,2018
1056,AL,12220,"Auburn-Opelika, AL",47-0000,Construction and Extraction Occupations,major,1680,8.6,29.183,0.71,18.68,38860,2.8,10.17,12.91,16.99,22.7,30.13,21140,26860,35350,47220,62680,2018
1065,AL,12220,"Auburn-Opelika, AL",49-0000,"Installation, Maintenance, and Repair Occupations",major,2370,6.4,41.11,1.06,20.35,42330,2.2,10.83,14.97,19.56,24.61,31.22,22530,31140,40680,51180,64930,2018
1077,AL,12220,"Auburn-Opelika, AL",51-0000,Production Occupations,major,6520,5.5,113.09,1.8,14.88,30950,2.6,8.74,10.52,13.51,17.67,23.15,18180,21890,28100,36750,48150,2018
1092,AL,12220,"Auburn-Opelika, AL",53-0000,Transportation and Material Moving Occupations,major,4400,7.7,76.394,1.08,13.96,29040,3.9,8.21,9.25,12.24,17.48,22.9,17070,19250,25460,36360,47640,2018
1105,AL,13820,"Birmingham-Hoover, AL",11-0000,Management Occupations,major,22980,2.5,45.012,0.86,56.49,117500,1.2,25.25,34.87,48.76,69.16,97.22,52520,72520,101420,143850,202220,2018
1136,AL,13820,"Birmingham-Hoover, AL",13-0000,Business and Financial Operations Occupations,major,24050,2.3,47.105,0.88,34.34,71420,1.8,17.2,23.26,31.26,41.1,51.37,35780,48370,65020,85490,106860,2018
1165,AL,13820,"Birmingham-Hoover, AL",15-0000,Computer and Mathematical Occupations,major,12240,4.2,23.974,0.79,38.58,80260,1.4,20.91,27.42,37.13,47.61,59.08,43490,57020,77220,99020,122880,2018
1182,AL,13820,"Birmingham-Hoover, AL",17-0000,Architecture and Engineering Occupations,major,7960,5.7,15.589,0.88,38.48,80030,2.1,19.65,26.61,36.13,47.38,59.96,40870,55350,75160,98560,124710,2018
1209,AL,13820,"Birmingham-Hoover, AL",19-0000,"Life, Physical, and Social Science Occupations",major,2190,5.1,4.288,0.53,30.34,63110,4.4,17.06,20.96,25.69,34.53,51.74,35490,43600,53430,71820,107610,2018
1225,AL,13820,"Birmingham-Hoover, AL",21-0000,Community and Social Service Occupations,major,4710,5.1,9.234,0.62,21.98,45730,2.5,12.48,16.06,20.92,27.62,33.61,25960,33410,43510,57440,69910,2018
1239,AL,13820,"Birmingham-Hoover, AL",23-0000,Legal Occupations,major,4160,5.7,8.144,1.05,43.82,91140,6.6,14.82,22.07,31.12,57.14,84.51,30820,45900,64730,118850,175770,2018
1246,AL,13820,"Birmingham-Hoover, AL",25-0000,"Education, Training, and Library Occupations",major,24460,2.4,47.903,0.79,26.39,54880,8.7,9.3,16.55,24.89,29.63,40.02,19350,34420,51760,61630,83240,2018
1281,AL,13820,"Birmingham-Hoover, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,5750,7.3,11.27,0.84,24.57,51110,4.6,9.2,13.02,19.52,29.37,44.11,19130,27080,40610,61080,91760,2018
1301,AL,13820,"Birmingham-Hoover, AL",29-0000,Healthcare Practitioners and Technical Occupations,major,42910,1.6,84.036,1.41,33.41,69490,2.2,15.54,20.84,27.63,36.86,55.81,32330,43340,57470,76680,116080,2018
1347,AL,13820,"Birmingham-Hoover, AL",31-0000,Healthcare Support Occupations,major,14050,4.6,27.526,0.97,13.88,28860,1.7,9.36,10.69,12.76,15.52,19.64,19470,22230,26550,32270,40840,2018
1364,AL,13820,"Birmingham-Hoover, AL",33-0000,Protective Service Occupations,major,13870,7.1,27.161,1.14,19.2,39940,6,8.71,10.78,17.23,25.91,32.05,18120,22410,35840,53890,66660,2018
1382,AL,13820,"Birmingham-Hoover, AL",35-0000,Food Preparation and Serving Related Occupations,major,45330,2.4,88.786,0.96,10.85,22570,1.6,7.93,8.5,9.46,11.92,15.57,16500,17670,19690,24790,32380,2018
1399,AL,13820,"Birmingham-Hoover, AL",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,13730,4.9,26.898,0.88,12.82,26670,2.6,8.38,9.48,11.34,14.24,18.85,17440,19720,23580,29630,39210,2018
1408,AL,13820,"Birmingham-Hoover, AL",39-0000,Personal Care and Service Occupations,major,13070,5.2,25.609,0.68,11.6,24130,2.1,7.99,8.62,9.74,12.72,18.32,16620,17920,20250,26450,38100,2018
1427,AL,13820,"Birmingham-Hoover, AL",41-0000,Sales and Related Occupations,major,59510,2.4,116.561,1.16,19.74,41070,2.5,8.42,9.74,13.34,23.54,38.01,17520,20260,27750,48970,79050,2018
1446,AL,13820,"Birmingham-Hoover, AL",43-0000,Office and Administrative Support Occupations,major,82090,1.6,160.786,1.07,17.86,37140,1,10.16,12.75,16.59,21.67,28.26,21130,26510,34500,45080,58780,2018
1497,AL,13820,"Birmingham-Hoover, AL",45-0000,"Farming, Fishing, and Forestry Occupations",major,560,18.7,1.103,0.33,16.86,35070,9.9,10.69,12.34,14.15,18.31,27.08,22230,25670,29420,38090,56320,2018
1503,AL,13820,"Birmingham-Hoover, AL",47-0000,Construction and Extraction Occupations,major,22030,3.3,43.156,1.05,21.73,45190,1.3,13.01,15.84,20.12,26.44,32.52,27070,32940,41850,55000,67650,2018
1532,AL,13820,"Birmingham-Hoover, AL",49-0000,"Installation, Maintenance, and Repair Occupations",major,23790,3.2,46.597,1.2,22.8,47410,1.5,12.18,16.06,21.57,28.57,35.75,25330,33410,44860,59420,74350,2018
1568,AL,13820,"Birmingham-Hoover, AL",51-0000,Production Occupations,major,34140,2.6,66.86,1.06,17.73,36890,1.6,9.88,12.14,16.13,21.36,28.29,20540,25240,33540,44440,58840,2018
1640,AL,13820,"Birmingham-Hoover, AL",53-0000,Transportation and Material Moving Occupations,major,36970,3.9,72.402,1.02,16.75,34840,1.8,9.2,11.1,14.66,20.4,28.06,19140,23090,30490,42430,58370,2018
1667,AL,19300,"Daphne-Fairhope-Foley, AL",11-0000,Management Occupations,major,2150,4.4,29.608,0.56,45.22,94050,3.1,20.71,27.01,38.19,53.23,76.41,43070,56180,79440,110720,158930,2018
1683,AL,19300,"Daphne-Fairhope-Foley, AL",13-0000,Business and Financial Operations Occupations,major,1730,10.1,23.884,0.45,30.73,63920,2.8,16.29,20.55,27.44,37.33,48.84,33880,42740,57070,77640,101590,2018
1698,AL,19300,"Daphne-Fairhope-Foley, AL",15-0000,Computer and Mathematical Occupations,major,320,12.2,4.349,0.14,33.25,69170,5.8,16.21,20.55,29.75,43.57,54.16,33710,42740,61880,90630,112650,2018
1703,AL,19300,"Daphne-Fairhope-Foley, AL",17-0000,Architecture and Engineering Occupations,major,500,6.6,6.883,0.39,31.57,65660,4,16.27,20.7,27.74,41.54,49.48,33850,43050,57690,86410,102930,2018
1710,AL,19300,"Daphne-Fairhope-Foley, AL",19-0000,"Life, Physical, and Social Science Occupations",major,250,11.7,3.415,0.42,34.37,71500,9.5,13.84,19.17,27.17,37.62,75.18,28780,39870,56510,78250,156360,2018
1713,AL,19300,"Daphne-Fairhope-Foley, AL",21-0000,Community and Social Service Occupations,major,630,9.5,8.633,0.58,19.68,40930,3.9,12.55,15.64,18.34,24.42,29.04,26100,32540,38150,50790,60400,2018
1718,AL,19300,"Daphne-Fairhope-Foley, AL",23-0000,Legal Occupations,major,250,6.5,3.487,0.45,33.33,69320,23.8,8.73,18.17,26.27,35.23,71.27,18170,37790,54640,73280,148250,2018
1721,AL,19300,"Daphne-Fairhope-Foley, AL",25-0000,"Education, Training, and Library Occupations",major,4120,4.3,56.836,0.94,18.93,39360,9.9,8.25,9.34,20.52,25.94,29.86,17160,19420,42690,53960,62110,2018
1731,AL,19300,"Daphne-Fairhope-Foley, AL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,380,18.3,5.198,0.39,15.95,33180,5.9,9.43,11.16,13.72,17.68,23.21,19610,23220,28530,36780,48280,2018
1736,AL,19300,"Daphne-Fairhope-Foley, AL",29-0000,Healthcare Practitioners and Technical Occupations,major,4280,10.3,59.02,0.99,32.38,67340,5.5,12.96,17.45,25.59,33.24,55.91,26960,36300,53220,69150,116300,2018
1758,AL,19300,"Daphne-Fairhope-Foley, AL",31-0000,Healthcare Support Occupations,major,1930,14.5,26.574,0.93,13.3,27660,3,8.97,10.29,12.15,15.12,18.76,18660,21400,25260,31440,39020,2018
1766,AL,19300,"Daphne-Fairhope-Foley, AL",33-0000,Protective Service Occupations,major,1540,4.4,21.278,0.9,19.38,40300,5.5,10.05,11.9,18.12,24.88,30.85,20890,24760,37680,51760,64160,2018
1775,AL,19300,"Daphne-Fairhope-Foley, AL",35-0000,Food Preparation and Serving Related Occupations,major,11770,3,162.439,1.76,11.13,23150,2,8,8.7,10.1,12.63,15.4,16640,18100,21000,26270,32020,2018
1791,AL,19300,"Daphne-Fairhope-Foley, AL",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,3430,4,47.292,1.55,13.32,27710,2.7,8.93,10.28,12.15,14.88,19.73,18570,21390,25280,30960,41040,2018
1798,AL,19300,"Daphne-Fairhope-Foley, AL",39-0000,Personal Care and Service Occupations,major,2640,10.2,36.486,0.97,11.5,23910,3.7,7.98,8.64,9.87,12.2,18.99,16600,17960,20540,25380,39500,2018
1809,AL,19300,"Daphne-Fairhope-Foley, AL",41-0000,Sales and Related Occupations,major,12030,4.6,165.997,1.65,16.21,33710,3.1,8.5,9.77,12.13,17.75,29.62,17690,20330,25240,36920,61610,2018
1821,AL,19300,"Daphne-Fairhope-Foley, AL",43-0000,Office and Administrative Support Occupations,major,10350,3.5,142.888,0.95,15.96,33200,1.4,9.78,11.72,14.67,18.64,24.02,20350,24380,30500,38780,49950,2018
