,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
111,KS,29940,"Lawrence, KS",37-0000,major,1380,14.4,30.06,0.915,11.41,23730,2.2,7.92,8.69,10.05,13.02,17.33,16470,18070,20900,27070,36040,2010
117,KS,29940,"Lawrence, KS",39-0000,major,2130,9.5,46.377,1.721,10.14,21090,2.2,7.58,8.07,8.87,10.37,14.39,15770,16780,18440,21570,29920,2010
126,KS,29940,"Lawrence, KS",41-0000,major,4980,4.9,108.646,1.028,13.78,28670,3.2,7.57,8.23,9.78,15.06,23.4,15740,17120,20340,31320,48660,2010
139,KS,29940,"Lawrence, KS",43-0000,major,7700,15.7,167.763,0.992,13.1,27240,1.9,8.1,9.41,12.08,15.57,19.73,16850,19560,25140,32380,41040,2010
169,KS,29940,"Lawrence, KS",47-0000,major,1300,8.8,28.284,0.709,18.5,38470,2.6,12.07,13.96,17.11,21.84,28.02,25100,29040,35590,45420,58270,2010
179,KS,29940,"Lawrence, KS",49-0000,major,1850,17.8,40.326,1.04,20.47,42580,6.3,10.66,13.87,19.19,27.11,32.93,22170,28850,39910,56380,68500,2010
190,KS,29940,"Lawrence, KS",51-0000,major,2520,19.8,54.849,0.846,15.44,32120,5.5,8.52,10.58,14.27,19.06,24.96,17730,22010,29690,39640,51920,2010
201,KS,29940,"Lawrence, KS",53-0000,major,1990,6.3,43.325,0.644,13.01,27050,4,7.67,8.84,11.94,16.31,19.9,15950,18380,24830,33930,41390,2010
214,KS,31740,"Manhattan, KS",11-0000,major,2650,7,45.551,0.961,37.39,77780,2.8,17.27,23.46,34.51,46.48,61.29,35920,48800,71770,96690,127470,2010
230,KS,31740,"Manhattan, KS",13-0000,major,2200,5.1,37.87,0.79,27.17,56510,3.8,14.25,18.94,25.54,33.12,40.73,29640,39400,53130,68890,84730,2010
244,KS,31740,"Manhattan, KS",15-0000,major,880,5.9,15.187,0.588,26.37,54860,3.4,15.85,19.23,25.66,31.41,39.13,32970,40010,53370,65340,81390,2010
253,KS,31740,"Manhattan, KS",17-0000,major,630,14.3,10.869,0.599,27.85,57930,4.9,13.46,17.41,26.43,35.3,46.22,27990,36220,54960,73420,96140,2010
261,KS,31740,"Manhattan, KS",19-0000,major,800,6,13.795,1.647,22.96,47750,6.1,12.52,16.2,20.51,28.51,36.3,26040,33700,42670,59310,75500,2010
267,KS,31740,"Manhattan, KS",21-0000,major,640,12.2,10.941,0.731,18.6,38680,6.7,8.61,12.89,17.45,22.38,29.78,17920,26800,36290,46550,61940,2010
273,KS,31740,"Manhattan, KS",23-0000,major,220,30,3.766,0.482,30.91,64280,8.2,17.81,20.58,25.04,34.19,61.42,37050,42810,52080,71110,127740,2010
275,KS,31740,"Manhattan, KS",25-0000,major,4850,5.4,83.365,1.253,22.91,47660,15.9,9.01,13.58,19.49,27.99,42.15,18730,28240,40540,58220,87680,2010
288,KS,31740,"Manhattan, KS",27-0000,major,960,19.5,16.491,1.221,16.69,34710,6.9,7.82,9.15,13.77,21.97,29.04,16270,19040,28650,45700,60410,2010
293,KS,31740,"Manhattan, KS",29-0000,major,3040,12.9,52.273,0.904,26.43,54980,6.3,13.28,16.67,21.28,29.65,43.82,27610,34680,44270,61670,91140,2010
310,KS,31740,"Manhattan, KS",31-0000,major,1450,30.4,25.011,0.802,11.37,23640,7,8.18,8.88,9.94,12.56,17.35,17010,18460,20680,26120,36080,2010
316,KS,31740,"Manhattan, KS",33-0000,major,980,18.7,16.803,0.67,14.26,29660,7.9,8.16,9.39,12.99,18.16,22.68,16970,19530,27020,37770,47170,2010
320,KS,31740,"Manhattan, KS",35-0000,major,6110,15.8,105.205,1.213,9.26,19260,2.3,7.47,7.77,8.63,9.91,12.63,15550,16160,17940,20620,26260,2010
334,KS,31740,"Manhattan, KS",37-0000,major,2380,11.7,41.01,1.248,10.66,22160,3.1,7.57,8.12,9.52,12.22,15.26,15750,16880,19800,25420,31740,2010
341,KS,31740,"Manhattan, KS",39-0000,major,1610,16.2,27.644,1.026,9.71,20200,2.9,7.75,8.23,9,9.96,13.53,16120,17120,18710,20720,28130,2010
350,KS,31740,"Manhattan, KS",41-0000,major,5940,7.2,102.268,0.967,14.03,29180,5.3,7.59,8.23,9.37,15.94,27.04,15790,17110,19490,33150,56240,2010
363,KS,31740,"Manhattan, KS",43-0000,major,10130,5.3,174.327,1.03,13.16,27370,3.1,7.95,9.5,11.97,15.75,19.9,16530,19760,24890,32750,41380,2010
396,KS,31740,"Manhattan, KS",45-0000,major,120,7.7,2.028,0.632,8.65,17990,7.6,7.35,7.45,7.61,8.84,11.42,15300,15500,15830,18380,23750,2010
398,KS,31740,"Manhattan, KS",47-0000,major,2720,7.6,46.781,1.172,18.13,37720,4.3,10.49,12.85,16.1,21.16,30.46,21820,26730,33490,44020,63350,2010
414,KS,31740,"Manhattan, KS",49-0000,major,3320,9.7,57.111,1.473,18.25,37950,3.6,10.45,13.4,17.37,22.38,26.97,21740,27860,36140,46550,56100,2010
430,KS,31740,"Manhattan, KS",51-0000,major,3030,14.6,52.197,0.805,14.62,30410,4.3,8.72,10.76,13.94,17.3,20.95,18140,22370,28990,35980,43580,2010
447,KS,31740,"Manhattan, KS",53-0000,major,3460,10.1,59.506,0.885,14.5,30160,7.3,7.86,9.42,12.52,17.72,25.36,16340,19590,26050,36860,52740,2010
464,KS,45820,"Topeka, KS",11-0000,major,5120,2.9,48.249,1.018,41.03,85340,2.1,19.82,26.33,34.81,48.23,68.21,41220,54760,72400,100310,141880,2010
486,KS,45820,"Topeka, KS",13-0000,major,6120,4.4,57.665,1.203,25.9,53880,3.4,15.75,19.16,23.14,29.05,39.22,32760,39850,48130,60410,81590,2010
510,KS,45820,"Topeka, KS",15-0000,major,2330,3.6,21.976,0.851,29.47,61300,4.2,17.84,21.61,26.97,34.44,43,37100,44940,56100,71630,89440,2010
521,KS,45820,"Topeka, KS",17-0000,major,1240,11.1,11.675,0.644,28.55,59380,3.7,15.6,20.05,27.11,35.29,44.56,32450,41710,56400,73400,92680,2010
535,KS,45820,"Topeka, KS",19-0000,major,1130,7.3,10.676,1.275,26.05,54180,4.7,14.74,19.54,23.58,28.85,40.21,30660,40640,49060,60010,83640,2010
544,KS,45820,"Topeka, KS",21-0000,major,1430,5.4,13.492,0.902,19.22,39970,2.5,12.65,15.07,18.01,22.41,28.19,26310,31350,37450,46620,58640,2010
556,KS,45820,"Topeka, KS",23-0000,major,1270,7.4,11.978,1.534,29.89,62180,2.3,16.54,21.49,27.54,34.39,44.97,34410,44710,57290,71530,93540,2010
564,KS,45820,"Topeka, KS",25-0000,major,7270,4.4,68.451,1.029,19.31,40160,3.4,9.43,11.36,17.79,25.22,31.82,19600,23630,37000,52450,66180,2010
582,KS,45820,"Topeka, KS",27-0000,major,1580,22.5,14.899,1.103,16.31,33920,5.2,7.91,9.68,13.65,20.66,27.55,16450,20140,28390,42970,57290,2010
590,KS,45820,"Topeka, KS",29-0000,major,7620,3.6,71.772,1.242,29.85,62100,2.9,13.56,18.28,24.85,32.71,49.66,28210,38020,51690,68050,103300,2010
618,KS,45820,"Topeka, KS",31-0000,major,4180,7.1,39.405,1.264,13.17,27400,2.5,8.86,10.18,12.09,14.8,18.68,18430,21180,25150,30790,38840,2010
630,KS,45820,"Topeka, KS",33-0000,major,3340,17.6,31.403,1.252,16.88,35100,9,8.14,10.15,14.1,18.69,25.51,16920,21120,29320,38870,53060,2010
643,KS,45820,"Topeka, KS",35-0000,major,8500,3.2,80.012,0.922,9.31,19370,2.2,7.49,7.83,8.64,9.7,11.95,15580,16280,17970,20180,24860,2010
658,KS,45820,"Topeka, KS",37-0000,major,3110,5.4,29.321,0.892,10.88,22640,1.7,7.67,8.36,9.75,12.6,15.67,15950,17400,20290,26220,32590,2010
665,KS,45820,"Topeka, KS",39-0000,major,3270,11.3,30.835,1.144,10.49,21830,2.2,7.73,8.3,9.24,11.35,15.95,16080,17270,19220,23620,33170,2010
675,KS,45820,"Topeka, KS",41-0000,major,8770,4.7,82.54,0.781,14.05,29230,3,7.56,8.21,9.75,15.75,25.54,15730,17080,20280,32750,53130,2010
690,KS,45820,"Topeka, KS",43-0000,major,18570,2.1,174.855,1.033,14.46,30070,1.8,8.92,10.96,13.62,17.13,21.35,18560,22790,28320,35640,44400,2010
734,KS,45820,"Topeka, KS",45-0000,major,320,7.9,2.991,0.932,12.66,26330,2.3,8.16,9.35,11.18,15.25,19.77,16970,19450,23260,31720,41120,2010
739,KS,45820,"Topeka, KS",47-0000,major,4510,4.9,42.465,1.064,18.7,38900,2.1,11.51,13.57,17.04,23.31,28.76,23930,28220,35450,48490,59820,2010
759,KS,45820,"Topeka, KS",49-0000,major,4510,4.6,42.47,1.095,20.03,41660,2.8,10.81,13.96,18.75,25.75,30.99,22490,29030,39010,53560,64450,2010
781,KS,45820,"Topeka, KS",51-0000,major,5120,17.3,48.201,0.744,16.69,34710,3.8,9.05,11.38,14.73,20.13,26.77,18820,23660,30640,41870,55680,2010
807,KS,45820,"Topeka, KS",53-0000,major,6870,6.8,64.668,0.962,14.81,30800,2,8.53,10.47,14.35,17.68,22.51,17730,21780,29850,36780,46820,2010
824,KS,48620,"Wichita, KS",11-0000,major,11860,3.2,42.593,0.899,42.3,87990,1,20.2,27.46,38.06,51.08,68.74,42020,57110,79170,106250,142970,2010
852,KS,48620,"Wichita, KS",13-0000,major,11540,8.6,41.439,0.865,28.45,59170,1.3,16.04,20.94,26.91,34.58,42.5,33360,43560,55970,71930,88400,2010
879,KS,48620,"Wichita, KS",15-0000,major,5070,10.6,18.219,0.705,30.31,63040,2.7,16.3,20.66,29.09,37.41,45.2,33900,42970,60510,77820,94010,2010
889,KS,48620,"Wichita, KS",17-0000,major,9060,18.6,32.529,1.793,34.67,72120,2.3,19.27,25.34,32.97,43.35,53.42,40080,52700,68580,90170,111120,2010
915,KS,48620,"Wichita, KS",19-0000,major,960,5.8,3.451,0.412,27.15,56470,2.9,13.69,18.82,26.07,34.12,42.55,28470,39140,54230,70970,88510,2010
925,KS,48620,"Wichita, KS",21-0000,major,3830,2.9,13.766,0.92,18.13,37710,3.3,11.71,13.57,16.88,21.49,27.73,24350,28220,35110,44690,57670,2010
938,KS,48620,"Wichita, KS",23-0000,major,1410,11.3,5.06,0.648,35.95,74780,9.3,15.12,19,26.24,43.01,70.1,31460,39520,54580,89460,145810,2010
944,KS,48620,"Wichita, KS",25-0000,major,17320,6.3,62.211,0.935,20.87,43410,2.5,10.35,13.89,20.85,26.2,31.18,21540,28890,43360,54490,64860,2010
975,KS,48620,"Wichita, KS",27-0000,major,3430,5.9,12.316,0.912,18.45,38370,2.6,8.14,10.9,17.45,23.14,29.34,16920,22680,36300,48140,61030,2010
998,KS,48620,"Wichita, KS",29-0000,major,15340,15.7,55.105,0.953,30.32,63070,2.6,14.27,19.28,24.62,32.72,51.18,29670,40100,51200,68060,106440,2010
1035,KS,48620,"Wichita, KS",31-0000,major,8870,8.3,31.85,1.021,12.09,25140,1.7,8.59,9.88,11.26,13.6,16.6,17870,20550,23420,28300,34530,2010
1050,KS,48620,"Wichita, KS",33-0000,major,5520,3.4,19.811,0.79,17.61,36640,5,8.47,11.66,16.31,22.37,28.65,17610,24240,33920,46530,59590,2010
1063,KS,48620,"Wichita, KS",35-0000,major,24250,1.8,87.125,1.004,9.23,19200,1,7.47,7.75,8.59,9.79,12.2,15530,16120,17860,20350,25370,2010
1079,KS,48620,"Wichita, KS",37-0000,major,9130,4.4,32.811,0.999,11.54,24010,2.2,7.77,8.61,10.33,13.45,17.38,16150,17910,21500,27970,36140,2010
1088,KS,48620,"Wichita, KS",39-0000,major,8660,8.8,31.096,1.154,10.66,22180,2.3,7.64,8.28,9.47,11.51,15.37,15890,17220,19700,23940,31980,2010
1104,KS,48620,"Wichita, KS",41-0000,major,28650,3.6,102.913,0.973,15.61,32470,2.1,7.6,8.45,10.86,18.24,30.49,15810,17570,22580,37940,63410,2010
1124,KS,48620,"Wichita, KS",43-0000,major,45110,2.3,162.038,0.958,14.83,30850,1.4,8.62,10.76,13.56,17.59,23.21,17920,22390,28210,36580,48270,2010
1171,KS,48620,"Wichita, KS",45-0000,major,150,17,0.524,0.163,12.71,26430,3.8,8.55,10.04,12.01,14.22,19.48,17780,20880,24990,29570,40510,2010
1173,KS,48620,"Wichita, KS",47-0000,major,12990,3.8,46.651,1.169,17.46,36320,1.4,10.23,12.56,16.05,20.82,27.78,21280,26120,33390,43310,57790,2010
1210,KS,48620,"Wichita, KS",49-0000,major,12640,5.8,45.42,1.171,20.74,43130,2.4,10.96,14.38,19.78,26.57,31.82,22790,29910,41140,55260,66180,2010
1240,KS,48620,"Wichita, KS",51-0000,major,27530,3.3,98.878,1.526,18.46,38400,4.7,9.63,12.62,17.3,23.92,28.89,20030,26250,35980,49750,60100,2010
1298,KS,48620,"Wichita, KS",53-0000,major,15090,3.1,54.194,0.806,14.69,30550,2.6,7.89,9.63,12.71,17.26,24.18,16410,20020,26440,35900,50290,2010
1321,KY,14540,"Bowling Green, KY",11-0000,major,2270,6.3,40.924,0.864,38.53,80140,1.9,18.75,25.32,34.26,46.25,62.5,39000,52660,71260,96200,130010,2010
1340,KY,14540,"Bowling Green, KY",13-0000,major,1650,13.5,29.809,0.622,24.51,50990,2.8,13.17,17.41,22.83,29.26,38.81,27400,36220,47480,60860,80730,2010
1354,KY,14540,"Bowling Green, KY",15-0000,major,560,25.2,10.144,0.393,24.96,51910,2.5,13.77,18.19,24.18,31.31,37.35,28650,37840,50300,65130,77690,2010
1361,KY,14540,"Bowling Green, KY",17-0000,major,640,15.2,11.57,0.638,28.09,58440,2.4,16.76,21.24,27.09,34.53,42.51,34860,44170,56360,71810,88430,2010
1369,KY,14540,"Bowling Green, KY",19-0000,major,470,20.8,8.543,1.02,19.25,40040,7.3,7.58,10.38,19.36,23.9,30.35,15760,21600,40270,49700,63130,2010
1372,KY,14540,"Bowling Green, KY",21-0000,major,840,8.7,15.172,1.014,17.51,36420,2.9,10.7,13.16,16.84,20.96,25.85,22250,27370,35030,43600,53770,2010
1379,KY,14540,"Bowling Green, KY",23-0000,major,380,31.7,6.917,0.886,29.22,60770,23.6,10.54,14.09,17.51,28.01,67.2,21910,29310,36430,58270,139780,2010
1382,KY,14540,"Bowling Green, KY",25-0000,major,3930,1.3,70.827,1.064,24.22,50380,8.6,9.74,15.35,22.45,28.31,39.29,20250,31940,46700,58890,81730,2010
1394,KY,14540,"Bowling Green, KY",27-0000,major,540,8.5,9.73,0.72,17.66,36740,3.2,8.69,11.14,15.44,22.02,28.81,18070,23170,32120,45810,59920,2010
1400,KY,14540,"Bowling Green, KY",29-0000,major,3500,6.2,63.127,1.092,33.75,70210,7.2,13.33,19.23,26.8,35.18,64.24,27720,39990,55750,73170,133610,2010
1421,KY,14540,"Bowling Green, KY",31-0000,major,1440,15.6,25.962,0.833,12.88,26800,3.7,8.65,10,11.71,14.23,18.42,17980,20800,24360,29600,38300,2010
1428,KY,14540,"Bowling Green, KY",33-0000,major,720,2.8,12.912,0.515,17.77,36960,4.8,9.09,11.25,16.85,21.59,26.99,18920,23410,35060,44910,56140,2010
1432,KY,14540,"Bowling Green, KY",35-0000,major,5530,6.2,99.747,1.15,8.91,18540,1.6,7.43,7.66,8.39,9.41,11.34,15460,15940,17450,19570,23580,2010
1446,KY,14540,"Bowling Green, KY",37-0000,major,1880,10.5,33.965,1.034,10.32,21460,2.1,7.69,8.39,9.54,11.32,14.05,16000,17440,19840,23550,29230,2010
1452,KY,14540,"Bowling Green, KY",39-0000,major,1300,5.5,23.357,0.867,10.54,21920,3.7,7.55,8.03,9.13,11.45,15.83,15700,16700,18980,23810,32930,2010
1461,KY,14540,"Bowling Green, KY",41-0000,major,6560,5.6,118.199,1.118,13.24,27530,3.7,7.52,8,9.21,14.89,23.69,15640,16650,19150,30970,49280,2010
1475,KY,14540,"Bowling Green, KY",43-0000,major,9070,6.2,163.501,0.966,13.71,28510,1.8,8.01,9.69,12.55,16.52,21.41,16660,20160,26110,34360,44530,2010
1509,KY,14540,"Bowling Green, KY",45-0000,major,50,25.2,0.936,0.292,11.41,23730,4.8,7.56,8.25,10.18,13.97,16.78,15720,17160,21180,29050,34910,2010
1510,KY,14540,"Bowling Green, KY",47-0000,major,2120,3.4,38.284,0.959,16.2,33700,2.4,9.85,11.9,14.62,18.8,25.09,20490,24760,30410,39110,52190,2010
1525,KY,14540,"Bowling Green, KY",49-0000,major,2230,9.9,40.157,1.035,17.77,36960,2.4,9.61,12.87,16.88,22.25,26.91,20000,26780,35110,46290,55960,2010
1538,KY,14540,"Bowling Green, KY",51-0000,major,5600,6.2,101.029,1.559,15.2,31630,5.4,8.29,9.92,13.74,18.68,25.96,17230,20620,28590,38860,53990,2010
1558,KY,14540,"Bowling Green, KY",53-0000,major,4170,7.5,75.191,1.118,14.81,30800,2.8,7.94,10.52,13.8,18.4,22.2,16510,21880,28700,38260,46170,2010
1573,KY,21060,"Elizabethtown, KY",11-0000,major,1790,5.4,41.488,0.875,36.31,75520,3,17.22,23.75,32.67,43.22,57.88,35820,49410,67960,89900,120390,2010
1588,KY,21060,"Elizabethtown, KY",13-0000,major,1870,3.2,43.204,0.902,28.44,59160,5,15.35,21.15,27.61,35.28,43,31940,43980,57420,73390,89450,2010
1601,KY,21060,"Elizabethtown, KY",15-0000,major,1060,7.5,24.512,0.949,29.93,62260,6.2,13.65,19.14,29.44,38.11,47.3,28390,39810,61230,79260,98390,2010
1609,KY,21060,"Elizabethtown, KY",17-0000,major,460,12.5,10.695,0.59,27.53,57260,2.9,14.7,18.9,26.72,33.08,42.97,30580,39320,55580,68810,89370,2010
1614,KY,21060,"Elizabethtown, KY",19-0000,major,190,14.4,4.397,0.525,26.84,55820,4.3,16.6,19.43,24.33,33.29,41.83,34530,40410,50620,69250,87000,2010
1616,KY,21060,"Elizabethtown, KY",21-0000,major,780,23.3,18.149,1.213,19.29,40120,7.9,11.62,13.15,17.2,24.24,32.19,24170,27350,35770,50420,66960,2010
1621,KY,21060,"Elizabethtown, KY",23-0000,major,180,7.4,4.212,0.539,34.45,71650,11.3,14.8,18.13,25.69,41.97,60.44,30790,37710,53440,87290,125720,2010
1624,KY,21060,"Elizabethtown, KY",25-0000,major,3220,4.8,74.495,1.119,21.05,43790,2.9,10.19,13.68,20.82,26.61,32.04,21180,28450,43310,55360,66640,2010
1638,KY,21060,"Elizabethtown, KY",27-0000,major,450,16,10.521,0.779,21.57,44860,9.2,10.83,12.92,17.74,30.35,36.18,22520,26870,36900,63140,75260,2010
1641,KY,21060,"Elizabethtown, KY",29-0000,major,2690,4.1,62.211,1.076,34.39,71520,6.7,13.38,18.6,26.47,34.99,69.31,27840,38680,55060,72770,144160,2010
1655,KY,21060,"Elizabethtown, KY",31-0000,major,1190,5.2,27.504,0.882,12.1,25160,3.6,8.06,9.27,11,13.9,18.45,16770,19280,22890,28910,38380,2010
1661,KY,21060,"Elizabethtown, KY",33-0000,major,730,6.3,16.946,0.676,18.61,38720,5.5,10.58,13.46,16.74,21.57,30.22,22000,27990,34820,44870,62850,2010
1667,KY,21060,"Elizabethtown, KY",35-0000,major,4210,14.9,97.366,1.122,9.07,18860,1.8,7.43,7.66,8.32,9.25,11.88,15450,15920,17310,19230,24720,2010
1679,KY,21060,"Elizabethtown, KY",37-0000,major,1240,6.1,28.628,0.871,10.91,22700,3,7.6,8.38,10.36,12.55,15.15,15800,17430,21540,26110,31510,2010
1684,KY,21060,"Elizabethtown, KY",39-0000,major,870,16.2,20.018,0.743,9.45,19650,3.2,7.52,7.88,8.64,9.55,12.31,15640,16400,17970,19860,25600,2010
1692,KY,21060,"Elizabethtown, KY",41-0000,major,4840,4.6,111.923,1.059,12.84,26700,3.3,7.53,8.09,9.35,14.67,21.41,15660,16820,19440,30510,44530,2010
1707,KY,21060,"Elizabethtown, KY",43-0000,major,7760,6,179.475,1.061,13.89,28900,3.4,8.1,9.7,12.63,17.07,21.35,16850,20180,26280,35500,44410,2010
1740,KY,21060,"Elizabethtown, KY",47-0000,major,1230,9.5,28.49,0.714,17.43,36250,2.5,10.17,12.42,15.37,21.06,28.63,21140,25840,31970,43800,59550,2010
1752,KY,21060,"Elizabethtown, KY",49-0000,major,1950,6.9,45.145,1.164,18.56,38610,3.9,9.71,12.55,18.23,23.92,27.7,20200,26110,37930,49760,57620,2010
1765,KY,21060,"Elizabethtown, KY",51-0000,major,3890,4.4,89.868,1.387,15.73,32710,3,9.03,11.29,16.38,18.81,21.56,18780,23490,34070,39120,44840,2010
1784,KY,21060,"Elizabethtown, KY",53-0000,major,2610,5.2,60.465,0.899,14.44,30030,3.1,8.26,10.34,13.4,18.1,21.79,17190,21510,27860,37650,45320,2010
1798,KY,30460,"Lexington-Fayette, KY",11-0000,major,11740,5.9,49.123,1.037,40.27,83760,1.8,18.17,24.64,35.1,49.94,68.03,37780,51250,73000,103870,141490,2010
1828,KY,30460,"Lexington-Fayette, KY",13-0000,major,8550,10.7,35.785,0.747,26.5,55120,1.7,13.85,17.98,23.57,32.02,42.01,28820,37400,49030,66600,87380,2010
1853,KY,30460,"Lexington-Fayette, KY",15-0000,major,6340,23.6,26.54,1.027,30.34,63110,3.1,15.92,20.61,28.51,37.88,48.4,33110,42870,59300,78790,100660,2010
1863,KY,30460,"Lexington-Fayette, KY",17-0000,major,4600,11.9,19.266,1.062,31.06,64610,3.4,16.17,20.86,28.47,38.45,50.32,33630,43390,59220,79980,104660,2010
1888,KY,30460,"Lexington-Fayette, KY",19-0000,major,2110,5.9,8.816,1.053,22.95,47740,4.6,12.79,16.29,21.34,27.51,36.87,26600,33880,44390,57230,76680,2010
1899,KY,30460,"Lexington-Fayette, KY",21-0000,major,3040,7.2,12.715,0.85,18.73,38960,3.3,10.88,13.34,17.42,22.61,29.66,22640,27760,36240,47020,61700,2010
1911,KY,30460,"Lexington-Fayette, KY",23-0000,major,1610,7.8,6.756,0.865,40.01,83220,7.3,15.2,19.72,31.81,53.21,74.44,31620,41030,66170,110670,154830,2010
1916,KY,30460,"Lexington-Fayette, KY",25-0000,major,15070,3.1,63.066,0.948,25.59,53220,8.8,11.01,16.05,21.91,28.64,41.23,22900,33380,45570,59560,85760,2010
1953,KY,30460,"Lexington-Fayette, KY",27-0000,major,3260,7.6,13.639,1.01,18.83,39160,3.1,8.47,11.54,17.46,23.26,29.99,17620,24010,36310,48380,62380,2010
1974,KY,30460,"Lexington-Fayette, KY",29-0000,major,17320,4.1,72.504,1.254,30.5,63440,4.2,13.06,18.67,24.88,32.91,48.64,27170,38830,51740,68460,101170,2010
2013,KY,30460,"Lexington-Fayette, KY",31-0000,major,5980,5.5,25.032,0.803,13.15,27350,1.8,8.92,10.4,12.47,14.87,18.47,18560,21640,25950,30940,38420,2010
2025,KY,30460,"Lexington-Fayette, KY",33-0000,major,5820,19.2,24.358,0.971,14.64,30460,4.6,8.03,9.26,12.67,17.83,24.37,16700,19260,26350,37080,50690,2010
2041,KY,30460,"Lexington-Fayette, KY",35-0000,major,22510,1.5,94.216,1.086,9.54,19840,1.9,7.49,7.83,8.73,10.33,13.21,15580,16280,18160,21480,27470,2010
2058,KY,30460,"Lexington-Fayette, KY",37-0000,major,7500,5.3,31.381,0.955,10.65,22160,2.5,7.63,8.27,9.43,12.07,15.54,15860,17200,19610,25110,32320,2010
2066,KY,30460,"Lexington-Fayette, KY",39-0000,major,5530,11.6,23.137,0.859,10.65,22160,2.3,7.62,8.21,9.31,11.77,15.23,15850,17090,19370,24480,31680,2010
2081,KY,30460,"Lexington-Fayette, KY",41-0000,major,23330,2.9,97.623,0.923,15.59,32420,3.2,7.66,8.55,10.94,17.26,27.56,15930,17780,22760,35900,57320,2010
2099,KY,30460,"Lexington-Fayette, KY",43-0000,major,37980,3.6,158.961,0.94,14.71,30600,0.7,8.6,10.66,13.8,17.77,22.4,17890,22160,28710,36960,46590,2010
2145,KY,30460,"Lexington-Fayette, KY",45-0000,major,2240,12.9,9.356,2.914,11.96,24870,2.5,7.94,8.81,10.67,13.51,17.53,16520,18330,22200,28090,36470,2010
2150,KY,30460,"Lexington-Fayette, KY",47-0000,major,7950,5.1,33.253,0.833,18.31,38090,2.3,10.13,13.27,17.09,22.22,28.84,21070,27610,35540,46220,59980,2010
2180,KY,30460,"Lexington-Fayette, KY",49-0000,major,9380,5.7,39.248,1.012,18.29,38040,1.3,10.21,13.07,17.17,22.87,28.17,21230,27190,35710,47560,58590,2010
2207,KY,30460,"Lexington-Fayette, KY",51-0000,major,22150,16,92.682,1.43,15.73,32720,2.7,9.75,11.83,14.88,18.88,22.71,20280,24620,30950,39270,47240,2010
2249,KY,30460,"Lexington-Fayette, KY",53-0000,major,14940,7,62.544,0.93,14.11,29340,3,7.92,9.23,12.39,17.35,22.62,16460,19200,25770,36080,47050,2010
2271,KY,31140,"Louisville-Jefferson County, KY-IN",11-0000,major,27830,2.8,47.802,1.009,44.43,92410,1.5,20.23,27.49,38.61,53.38,76.82,42080,57170,80310,111020,159790,2010
