,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,KS,29940,"Lawrence, KS",11-0000,major,2090,19.8,45.52,0.961,38.52,80130,2.1,18.05,23.19,33.89,46.87,65.72,37550,48230,70480,97490,136690,2010
14,KS,29940,"Lawrence, KS",13-0000,major,1450,13.5,31.61,0.66,26.51,55130,2.2,14.19,18.1,24.12,32.27,40.76,29520,37650,50170,67130,84780,2010
26,KS,29940,"Lawrence, KS",15-0000,major,830,23.9,18.196,0.704,26.66,55460,4.8,13.36,16.8,23.91,35.49,43.27,27780,34940,49740,73820,90010,2010
33,KS,29940,"Lawrence, KS",17-0000,major,500,10.1,10.857,0.599,31.81,66170,7.8,14.44,20.37,27.84,37.75,48.89,30040,42370,57900,78520,101690,2010
42,KS,29940,"Lawrence, KS",21-0000,major,540,10.8,11.67,0.78,18.55,38590,3.7,11.31,13.77,17.5,22.33,27.87,23520,28650,36400,46450,57980,2010
47,KS,29940,"Lawrence, KS",23-0000,major,200,6.4,4.436,0.568,35,72790,9.3,16.07,23.66,29.53,48,56.76,33420,49210,61420,99830,118070,2010
50,KS,29940,"Lawrence, KS",25-0000,major,4790,30.9,104.335,1.568,24.09,50100,8.3,10.55,14.04,21.39,28.84,41.44,21950,29190,44490,59980,86190,2010
64,KS,29940,"Lawrence, KS",27-0000,major,880,8.9,19.242,1.425,15.09,31400,5,7.93,9.12,11.35,17.72,26.91,16490,18960,23610,36850,55970,2010
69,KS,29940,"Lawrence, KS",29-0000,major,1980,27.4,43.208,0.748,34.4,71550,6.1,13.6,18.77,24.38,35.22,78.58,28280,39040,50700,73250,163440,2010
85,KS,29940,"Lawrence, KS",31-0000,major,860,14.3,18.846,0.604,12.46,25930,2.5,9.07,10.07,11.34,14.09,17.93,18870,20940,23600,29300,37300,2010
92,KS,29940,"Lawrence, KS",33-0000,major,850,9.2,18.434,0.735,19.31,40160,3.9,7.87,9.51,18.83,26,33.45,16380,19770,39180,54090,69580,2010
95,KS,29940,"Lawrence, KS",35-0000,major,6280,5.4,136.875,1.578,9.02,18760,1.3,7.46,7.74,8.46,9.25,11.53,15520,16090,17590,19240,23990,2010
