,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,AK,11260,"Anchorage, AK",11-0000,major,12880,2.4,35.72,74290,1.7,15.78,21.74,32.60,45.18,59.88,32820,45220,67810,93980,124550,2005
29,AK,11260,"Anchorage, AK",13-0000,major,5880,4.0,28.96,60250,2.4,17.23,20.90,26.76,35.05,43.38,35840,43470,55660,72900,90230,2005
53,AK,11260,"Anchorage, AK",15-0000,major,2590,7.8,29.51,61390,2.3,18.38,22.79,28.88,35.98,42.88,38230,47400,60080,74840,89190,2005
64,AK,11260,"Anchorage, AK",17-0000,major,4360,4.0,32.70,68010,2.1,18.51,23.41,31.85,40.93,48.74,38510,48700,66250,85130,101370,2005
86,AK,11260,"Anchorage, AK",19-0000,major,2820,6.1,29.05,60430,4.0,14.43,19.41,26.74,36.50,45.94,30010,40360,55620,75930,95550,2005
107,AK,11260,"Anchorage, AK",21-0000,major,2600,7.3,18.41,38300,2.5,11.62,13.82,17.16,21.84,27.51,24170,28750,35690,45420,57220,2005
121,AK,11260,"Anchorage, AK",23-0000,major,1700,6.5,33.23,69120,6.9,15.89,20.90,28.80,39.79,54.80,33050,43470,59910,82760,113990,2005
137,AK,11260,"Anchorage, AK",27-0000,major,1680,9.4,19.87,41330,4.1,9.62,12.71,17.84,24.86,33.26,20000,26430,37110,51710,69190,2005
158,AK,11260,"Anchorage, AK",29-0000,major,7690,7.3,32.59,67790,3.1,15.74,21.14,28.74,35.61,54.19,32750,43970,59790,74060,112720,2005
188,AK,11260,"Anchorage, AK",31-0000,major,3340,6.7,14.23,29600,1.8,10.67,11.90,13.46,16.23,19.32,22180,24750,27990,33750,40190,2005
199,AK,11260,"Anchorage, AK",33-0000,major,6110,5.0,16.48,34270,6.8,9.28,10.39,12.63,21.34,29.20,19290,21610,26260,44400,60730,2005
207,AK,11260,"Anchorage, AK",35-0000,major,12300,2.6,10.46,21760,3.1,7.46,7.94,8.88,11.41,15.04,15520,16520,18470,23730,31270,2005
224,AK,11260,"Anchorage, AK",37-0000,major,5350,7.4,12.09,25140,2.3,8.68,9.54,10.97,13.55,17.25,18050,19840,22820,28190,35870,2005
232,AK,11260,"Anchorage, AK",39-0000,major,5410,7.5,13.34,27760,3.0,7.99,9.55,13.05,15.82,18.88,16610,19860,27150,32900,39270,2005
246,AK,11260,"Anchorage, AK",41-0000,major,15630,3.8,15.00,31200,2.2,8.06,9.32,11.59,17.03,26.23,16760,19390,24110,35410,54560,2005
264,AK,11260,"Anchorage, AK",43-0000,major,29240,2.0,16.53,34390,1.5,10.00,12.22,15.55,19.77,24.38,20800,25420,32350,41120,50710,2005
312,AK,11260,"Anchorage, AK",45-0000,major,**,**,11.83,24610,28.1,7.42,7.67,8.17,8.83,17.06,15430,15950,17000,18370,35480,2005
314,AK,11260,"Anchorage, AK",47-0000,major,9200,4.8,25.40,52830,1.9,13.99,18.93,24.97,31.39,36.85,29110,39380,51940,65300,76660,2005
342,AK,11260,"Anchorage, AK",49-0000,major,7620,4.2,22.83,47480,2.0,12.14,17.08,22.44,28.16,33.98,25260,35530,46680,58570,70670,2005
371,AK,11260,"Anchorage, AK",51-0000,major,2990,6.2,17.89,37200,3.0,9.01,10.93,15.86,22.96,30.15,18740,22730,33000,47760,62710,2005
403,AK,11260,"Anchorage, AK",53-0000,major,12790,4.1,22.11,45990,8.8,9.05,11.06,15.51,24.05,42.52,18810,23000,32260,50020,88440,2005
432,AK,21820,"Fairbanks, AK",11-0000,major,2550,4.5,33.55,69790,3.0,15.21,21.15,29.20,42.36,58.06,31630,43980,60740,88120,120770,2005
449,AK,21820,"Fairbanks, AK",13-0000,major,910,7.7,28.05,58350,3.8,17.12,20.50,26.34,34.04,43.69,35610,42640,54780,70800,90870,2005
460,AK,21820,"Fairbanks, AK",15-0000,major,490,10.3,26.40,54910,3.0,17.16,20.83,25.51,31.70,38.36,35700,43320,53070,65940,79800,2005
465,AK,21820,"Fairbanks, AK",17-0000,major,530,8.6,31.24,64980,2.3,19.05,23.79,30.73,38.94,43.98,39610,49480,63920,81000,91480,2005
473,AK,21820,"Fairbanks, AK",19-0000,major,1020,6.9,23.56,49010,2.6,13.36,16.47,21.83,29.51,35.96,27780,34250,45410,61380,74800,2005
481,AK,21820,"Fairbanks, AK",21-0000,major,470,8.0,19.54,40630,6.7,11.32,13.43,17.63,24.77,31.26,23550,27940,36680,51520,65020,2005
484,AK,21820,"Fairbanks, AK",23-0000,major,220,12.2,33.25,69170,6.8,17.49,21.84,29.56,44.69,57.49,36380,45430,61490,92960,119580,2005
489,AK,21820,"Fairbanks, AK",27-0000,major,330,15.4,18.17,37800,6.7,8.35,10.22,16.48,21.72,30.88,17360,21260,34280,45180,64240,2005
494,AK,21820,"Fairbanks, AK",29-0000,major,1570,41.8,30.15,62710,6.5,17.21,22.00,25.80,32.90,45.60,35790,45770,53660,68430,94840,2005
508,AK,21820,"Fairbanks, AK",31-0000,major,630,28.9,16.58,34490,2.1,12.31,14.31,16.34,19.02,21.04,25600,29770,33980,39550,43760,2005
514,AK,21820,"Fairbanks, AK",33-0000,major,1430,7.6,16.99,35340,3.7,10.85,11.91,13.74,21.28,27.35,22570,24770,28580,44260,56880,2005
522,AK,21820,"Fairbanks, AK",35-0000,major,3180,7.4,10.04,20870,3.3,7.54,7.99,8.82,10.82,14.23,15690,16630,18350,22510,29590,2005
537,AK,21820,"Fairbanks, AK",37-0000,major,1120,9.3,12.17,25310,4.5,8.06,9.28,10.85,13.76,18.90,16770,19300,22560,28620,39300,2005
542,AK,21820,"Fairbanks, AK",39-0000,major,750,17.9,11.23,23350,3.5,7.68,8.45,10.09,12.61,16.82,15970,17570,20990,26220,34980,2005
549,AK,21820,"Fairbanks, AK",41-0000,major,3110,10.4,14.60,30370,4.4,8.10,9.25,11.64,16.99,24.79,16850,19230,24210,35340,51560,2005
561,AK,21820,"Fairbanks, AK",43-0000,major,6220,5.2,16.45,34210,2.7,9.47,12.00,15.34,19.46,24.06,19700,24960,31910,40480,50050,2005
596,AK,21820,"Fairbanks, AK",45-0000,major,**,**,9.78,20340,13.2,7.15,7.25,8.01,11.36,13.91,14870,15080,16670,23630,28940,2005
598,AK,21820,"Fairbanks, AK",47-0000,major,2870,13.0,27.05,56270,4.1,14.68,20.48,26.83,33.52,40.90,30540,42600,55800,69720,85080,2005
608,AK,21820,"Fairbanks, AK",49-0000,major,2400,7.0,23.14,48140,3.3,12.37,17.59,22.28,28.59,34.10,25720,36580,46350,59470,70930,2005
624,AK,21820,"Fairbanks, AK",51-0000,major,840,7.1,21.92,45590,5.5,10.21,15.07,21.40,28.19,34.04,21230,31340,44520,58630,70810,2005
633,AK,21820,"Fairbanks, AK",53-0000,major,2470,6.6,18.42,38320,5.5,9.57,11.77,16.56,23.55,31.17,19900,24480,34440,48980,64820,2005
650,AL,11500,"Anniston-Oxford, AL",11-0000,major,1680,4.3,35.34,73500,3.2,16.35,22.29,30.84,42.75,58.25,34010,46360,64150,88910,121170,2005
666,AL,11500,"Anniston-Oxford, AL",13-0000,major,1010,5.7,23.61,49110,3.9,12.26,16.28,21.89,28.24,35.49,25500,33850,45540,58740,73820,2005
676,AL,11500,"Anniston-Oxford, AL",15-0000,major,270,16.3,24.36,50670,3.2,13.02,17.03,23.90,31.10,35.82,27080,35420,49700,64690,74510,2005
692,AL,11500,"Anniston-Oxford, AL",19-0000,major,280,13.3,24.84,51670,4.9,13.39,17.61,22.28,31.26,37.91,27840,36630,46340,65020,78860,2005
694,AL,11500,"Anniston-Oxford, AL",21-0000,major,410,10.4,16.60,34520,5.5,10.08,12.23,15.34,19.48,23.42,20970,25440,31910,40520,48700,2005
700,AL,11500,"Anniston-Oxford, AL",23-0000,major,80,18.7,23.61,49120,5.7,11.63,14.53,22.36,29.16,39.33,24190,30230,46500,60650,81800,2005
702,AL,11500,"Anniston-Oxford, AL",25-0000,major,2570,2.5,16.78,34910,6.2,6.88,11.13,17.27,20.68,24.83,14310,23150,35910,43010,51650,2005
710,AL,11500,"Anniston-Oxford, AL",27-0000,major,390,18.3,16.13,33550,6.3,7.93,9.81,13.96,20.44,26.63,16500,20410,29040,42510,55380,2005
716,AL,11500,"Anniston-Oxford, AL",29-0000,major,2630,4.2,23.98,49870,5.5,9.11,12.20,17.98,24.66,44.64,18950,25370,37390,51300,92840,2005
732,AL,11500,"Anniston-Oxford, AL",31-0000,major,1280,14.8,9.02,18760,3.7,6.89,7.39,8.15,9.78,12.36,14340,15370,16960,20350,25700,2005
738,AL,11500,"Anniston-Oxford, AL",33-0000,major,1330,17.7,13.10,27260,7.6,7.29,8.15,12.97,16.83,20.16,15170,16960,26970,35010,41930,2005
742,AL,11500,"Anniston-Oxford, AL",35-0000,major,**,**,7.01,14590,1.6,5.51,5.86,6.45,7.53,9.80,11450,12190,13420,15670,20380,2005
758,AL,11500,"Anniston-Oxford, AL",37-0000,major,1670,18.9,9.71,20200,4.4,5.97,6.97,9.03,11.87,14.70,12410,14510,18780,24690,30580,2005
766,AL,11500,"Anniston-Oxford, AL",39-0000,major,830,18.0,8.52,17730,5.6,5.65,6.25,7.51,9.55,11.76,11750,13000,15610,19860,24470,2005
771,AL,11500,"Anniston-Oxford, AL",41-0000,major,4640,5.3,11.72,24370,4.7,5.86,6.77,8.51,13.16,21.09,12180,14090,17700,27380,43860,2005
783,AL,11500,"Anniston-Oxford, AL",43-0000,major,7340,3.2,12.40,25780,3.6,7.24,8.74,11.06,14.77,19.72,15060,18170,22990,30720,41020,2005
817,AL,11500,"Anniston-Oxford, AL",45-0000,major,30,20.1,11.80,24550,5.2,8.84,10.15,12.11,13.53,14.55,18380,21110,25200,28150,30270,2005
818,AL,11500,"Anniston-Oxford, AL",47-0000,major,1860,22.3,13.53,28150,4.1,8.37,10.08,12.66,16.61,20.37,17410,20970,26340,34550,42370,2005
830,AL,11500,"Anniston-Oxford, AL",49-0000,major,3610,3.5,17.21,35800,3.4,10.02,14.06,17.23,20.57,24.43,20850,29240,35830,42790,50810,2005
849,AL,11500,"Anniston-Oxford, AL",51-0000,major,6800,9.4,13.64,28370,3.7,8.13,9.96,12.62,16.52,20.73,16900,20710,26250,34370,43120,2005
883,AL,11500,"Anniston-Oxford, AL",53-0000,major,4830,10.5,12.50,26000,3.5,6.57,8.57,11.08,15.64,20.22,13660,17820,23040,32540,42070,2005
898,AL,12220,"Auburn-Opelika, AL",11-0000,major,1900,4.4,33.73,70170,2.3,15.73,21.31,29.47,41.56,55.86,32720,44320,61300,86450,116200,2005
913,AL,12220,"Auburn-Opelika, AL",13-0000,major,680,6.7,22.49,46790,5.0,11.04,15.09,19.43,26.01,36.05,22970,31390,40420,54110,74980,2005
923,AL,12220,"Auburn-Opelika, AL",15-0000,major,420,10.0,22.78,47390,7.1,8.45,16.47,22.71,29.20,35.03,17580,34250,47240,60730,72870,2005
928,AL,12220,"Auburn-Opelika, AL",17-0000,major,460,6.8,23.50,48880,3.6,10.86,16.21,22.99,28.59,38.54,22600,33730,47820,59470,80150,2005
935,AL,12220,"Auburn-Opelika, AL",21-0000,major,450,4.2,16.57,34460,2.1,9.06,12.25,16.24,20.70,24.91,18840,25490,33770,43060,51810,2005
939,AL,12220,"Auburn-Opelika, AL",23-0000,major,90,23.9,27.47,57140,11.3,13.95,16.23,19.55,30.01,54.30,29020,33760,40660,62410,112940,2005
951,AL,12220,"Auburn-Opelika, AL",27-0000,major,420,9.3,18.25,37960,10.1,6.90,10.83,14.13,21.57,32.44,14350,22520,29390,44880,67480,2005
973,AL,12220,"Auburn-Opelika, AL",33-0000,major,910,15.3,13.07,27190,4.7,6.92,8.34,12.97,16.39,20.14,14400,17340,26980,34100,41900,2005
979,AL,12220,"Auburn-Opelika, AL",35-0000,major,5070,4.0,7.05,14670,1.3,5.50,5.87,6.47,7.66,9.98,11450,12200,13460,15940,20760,2005
995,AL,12220,"Auburn-Opelika, AL",37-0000,major,1780,4.7,8.67,18040,2.9,5.78,6.52,7.77,9.83,13.35,12020,13550,16170,20440,27770,2005
1004,AL,12220,"Auburn-Opelika, AL",39-0000,major,1400,7.6,7.45,15500,4.2,5.49,5.87,6.50,8.29,11.26,11420,12200,13510,17240,23420,2005
1012,AL,12220,"Auburn-Opelika, AL",41-0000,major,4650,4.5,11.32,23550,3.8,5.80,6.58,8.22,12.57,20.33,12050,13690,17090,26140,42280,2005
