,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,AK,11260,"Anchorage, AK",11-0000,Management occupations,major,13200,3.0,36.98,76920,1.5,16.44,22.54,33.50,46.35,62.62,34190,46880,69690,96400,130250,2006
29,AK,11260,"Anchorage, AK",13-0000,Business and financial operations occupations,major,6200,3.3,29.64,61650,1.8,16.83,21.39,27.86,36.25,45.72,35010,44480,57940,75410,95090,2006
52,AK,11260,"Anchorage, AK",15-0000,Computer and mathematical occupations,major,2510,4.3,30.92,64320,2.2,19.01,23.69,30.30,37.83,45.41,39530,49280,63020,78680,94450,2006
62,AK,11260,"Anchorage, AK",17-0000,Architecture and engineering occupations,major,4290,5.0,33.44,69550,2.1,19.03,24.30,32.46,42.14,50.11,39580,50540,67520,87650,104230,2006
86,AK,11260,"Anchorage, AK",19-0000,"Life, physical, and social science occupations",major,2530,18.1,28.08,58410,3.7,13.78,18.91,26.52,35.97,45.82,28660,39340,55160,74820,95300,2006
106,AK,11260,"Anchorage, AK",21-0000,Community and social services occupations,major,2560,6.8,19.43,40410,2.5,12.29,14.62,17.92,23.10,29.29,25560,30410,37280,48050,60930,2006
119,AK,11260,"Anchorage, AK",23-0000,Legal occupations,major,1460,14.6,33.49,69670,7.6,16.24,21.43,29.34,41.78,54.18,33780,44570,61020,86910,112700,2006
139,AK,11260,"Anchorage, AK",27-0000,"Arts, design, entertainment, sports, and media occupations",major,1930,7.8,22.33,46450,4.5,11.43,14.65,19.47,28.09,37.49,23780,30480,40500,58420,77990,2006
153,AK,11260,"Anchorage, AK",29-0000,Healthcare practitioners and technical occupations,major,7940,4.8,35.19,73190,3.0,17.07,23.20,31.10,39.04,58.24,35500,48250,64680,81200,121140,2006
184,AK,11260,"Anchorage, AK",31-0000,Healthcare support occupations,major,3510,6.5,14.84,30870,2.1,10.60,12.30,13.97,17.06,20.69,22040,25590,29050,35470,43040,2006
195,AK,11260,"Anchorage, AK",33-0000,Protective service occupations,major,5370,4.4,18.38,38240,6.8,9.79,10.91,13.63,23.45,32.84,20360,22680,28360,48780,68310,2006
203,AK,11260,"Anchorage, AK",35-0000,Food preparation and serving related occupations,major,12230,3.4,10.52,21870,2.0,7.49,7.95,9.06,11.72,14.98,15570,16530,18850,24370,31160,2006
220,AK,11260,"Anchorage, AK",37-0000,Building and grounds cleaning and maintenance occupations,major,5260,5.8,12.22,25420,2.1,8.55,9.64,11.18,13.77,17.88,17790,20060,23250,28640,37190,2006
226,AK,11260,"Anchorage, AK",39-0000,Personal care and service occupations,major,5790,7.0,13.51,28090,2.6,8.15,10.03,12.99,15.83,18.87,16960,20870,27020,32920,39260,2006
241,AK,11260,"Anchorage, AK",41-0000,Sales and related occupations,major,15600,3.7,15.76,32770,2.2,8.29,9.73,12.26,18.40,27.35,17240,20230,25500,38270,56880,2006
260,AK,11260,"Anchorage, AK",43-0000,Office and administrative support occupations,major,29520,2.3,16.71,34760,1.0,10.13,12.59,15.94,20.00,24.09,21070,26180,33160,41590,50100,2006
307,AK,11260,"Anchorage, AK",47-0000,Construction and extraction occupations,major,9980,5.3,26.33,54770,1.9,14.10,19.29,26.11,32.31,39.09,29320,40120,54310,67200,81300,2006
335,AK,11260,"Anchorage, AK",49-0000,"Installation, maintenance, and repair occupations",major,7940,5.1,23.36,48590,1.9,12.11,17.16,23.07,29.34,35.19,25190,35700,47980,61020,73190,2006
361,AK,11260,"Anchorage, AK",51-0000,Production occupations,major,2880,5.5,18.15,37740,2.7,9.28,11.31,16.12,22.86,30.41,19310,23530,33540,47550,63260,2006
385,AK,11260,"Anchorage, AK",53-0000,Transportation and material moving occupations,major,13350,4.5,21.48,44670,7.4,9.07,11.35,15.41,24.07,38.07,18870,23610,32060,50070,79190,2006
414,AK,21820,"Fairbanks, AK",11-0000,Management occupations,major,2560,4.1,33.70,70100,2.4,15.70,21.63,29.71,42.74,57.69,32650,44980,61790,88890,120000,2006
429,AK,21820,"Fairbanks, AK",13-0000,Business and financial operations occupations,major,1030,5.4,28.05,58330,2.4,17.02,20.79,26.48,33.75,44.15,35400,43250,55090,70200,91840,2006
439,AK,21820,"Fairbanks, AK",15-0000,Computer and mathematical occupations,major,490,2.6,27.13,56440,2.0,17.38,21.06,26.43,32.64,38.69,36150,43800,54980,67900,80470,2006
443,AK,21820,"Fairbanks, AK",17-0000,Architecture and engineering occupations,major,690,9.4,32.12,66820,2.6,19.83,24.16,30.72,40.13,47.43,41250,50250,63890,83470,98650,2006
451,AK,21820,"Fairbanks, AK",19-0000,"Life, physical, and social science occupations",major,970,4.1,25.87,53800,1.4,14.51,18.87,24.47,32.06,38.45,30180,39250,50900,66690,79970,2006
457,AK,21820,"Fairbanks, AK",21-0000,Community and social services occupations,major,520,12.3,19.34,40230,4.2,11.84,13.50,17.13,23.71,30.92,24630,28070,35630,49320,64310,2006
462,AK,21820,"Fairbanks, AK",23-0000,Legal occupations,major,210,21.1,33.28,69210,7.2,16.46,20.20,28.58,46.31,59.45,34230,42010,59450,96330,123660,2006
467,AK,21820,"Fairbanks, AK",27-0000,"Arts, design, entertainment, sports, and media occupations",major,300,13.6,19.17,39870,3.4,9.81,12.99,18.49,22.73,29.46,20400,27020,38460,47280,61280,2006
471,AK,21820,"Fairbanks, AK",29-0000,Healthcare practitioners and technical occupations,major,1770,38.1,33.26,69170,11.4,16.93,22.61,27.07,35.61,57.81,35210,47030,56300,74070,120240,2006
480,AK,21820,"Fairbanks, AK",31-0000,Healthcare support occupations,major,550,30.4,16.04,33370,3.6,11.51,13.42,15.53,18.28,21.54,23940,27910,32300,38030,44790,2006
485,AK,21820,"Fairbanks, AK",33-0000,Protective service occupations,major,1620,6.7,16.08,33440,3.7,11.03,12.64,14.03,17.00,26.05,22940,26290,29190,35370,54180,2006
492,AK,21820,"Fairbanks, AK",35-0000,Food preparation and serving related occupations,major,2960,6.8,10.58,22000,3.0,7.57,8.23,9.66,12.08,14.96,15750,17120,20100,25130,31110,2006
506,AK,21820,"Fairbanks, AK",37-0000,Building and grounds cleaning and maintenance occupations,major,1100,7.1,13.51,28100,4.5,8.48,9.84,12.34,16.79,20.62,17630,20470,25660,34930,42880,2006
511,AK,21820,"Fairbanks, AK",39-0000,Personal care and service occupations,major,970,11.3,12.24,25470,3.0,7.93,9.03,11.04,13.89,18.49,16500,18790,22970,28880,38450,2006
515,AK,21820,"Fairbanks, AK",41-0000,Sales and related occupations,major,3260,5.2,14.77,30730,3.4,8.28,9.68,12.00,17.07,24.37,17220,20130,24960,35500,50680,2006
526,AK,21820,"Fairbanks, AK",43-0000,Office and administrative support occupations,major,5640,4.2,16.74,34820,1.5,10.06,12.75,15.99,20.09,23.62,20930,26530,33270,41790,49130,2006
555,AK,21820,"Fairbanks, AK",47-0000,Construction and extraction occupations,major,2820,5.3,26.40,54910,2.6,14.09,19.42,26.54,33.04,39.11,29310,40390,55200,68720,81360,2006
565,AK,21820,"Fairbanks, AK",49-0000,"Installation, maintenance, and repair occupations",major,2610,6.7,23.01,47870,2.9,11.79,16.67,22.10,28.97,35.05,24520,34670,45970,60250,72900,2006
580,AK,21820,"Fairbanks, AK",51-0000,Production occupations,major,1050,11.7,21.75,45240,5.8,8.76,14.17,20.93,29.54,35.05,18220,29470,43540,61440,72900,2006
590,AK,21820,"Fairbanks, AK",53-0000,Transportation and material moving occupations,major,2500,5.9,18.86,39230,5.1,9.66,11.93,16.35,25.12,32.65,20100,24810,34010,52250,67910,2006
606,AL,11500,"Anniston-Oxford, AL",11-0000,Management occupations,major,1730,4.0,35.94,74760,2.9,16.63,23.18,31.33,43.58,58.46,34590,48210,65160,90640,121590,2006
620,AL,11500,"Anniston-Oxford, AL",13-0000,Business and financial operations occupations,major,1270,5.1,26.45,55010,4.1,14.28,18.38,25.22,32.07,40.97,29690,38220,52460,66710,85220,2006
630,AL,11500,"Anniston-Oxford, AL",15-0000,Computer and mathematical occupations,major,270,14.4,26.15,54380,3.6,14.32,18.31,25.96,33.99,38.30,29790,38090,53990,70700,79670,2006
633,AL,11500,"Anniston-Oxford, AL",17-0000,Architecture and engineering occupations,major,1000,20.9,27.09,56340,3.5,15.19,19.17,25.98,33.98,41.92,31600,39880,54040,70680,87200,2006
646,AL,11500,"Anniston-Oxford, AL",19-0000,"Life, physical, and social science occupations",major,330,7.7,25.15,52310,3.5,13.93,17.90,22.46,32.01,37.47,28970,37240,46710,66580,77940,2006
649,AL,11500,"Anniston-Oxford, AL",21-0000,Community and social services occupations,major,420,8.8,16.75,34840,2.8,10.68,13.12,16.01,20.25,24.16,22210,27290,33310,42120,50260,2006
654,AL,11500,"Anniston-Oxford, AL",23-0000,Legal occupations,major,50,15.6,29.25,60830,15.6,12.10,15.72,20.93,40.90,68.36,25170,32700,43540,85080,142190,2006
655,AL,11500,"Anniston-Oxford, AL",25-0000,"Education, training, and library occupations",major,2640,7.2,16.60,34520,7.1,6.46,9.67,17.10,21.54,25.45,13440,20120,35560,44810,52940,2006
663,AL,11500,"Anniston-Oxford, AL",27-0000,"Arts, design, entertainment, sports, and media occupations",major,400,20.1,17.37,36140,5.6,8.53,10.46,14.89,22.18,28.91,17750,21750,30970,46140,60140,2006
667,AL,11500,"Anniston-Oxford, AL",29-0000,Healthcare practitioners and technical occupations,major,2700,2.8,26.52,55160,4.2,9.86,13.85,20.11,26.57,51.56,20500,28800,41830,55270,107250,2006
684,AL,11500,"Anniston-Oxford, AL",31-0000,Healthcare support occupations,major,1210,11.1,9.62,20000,2.9,6.82,7.76,8.81,10.83,13.65,14190,16130,18330,22530,28390,2006
689,AL,11500,"Anniston-Oxford, AL",33-0000,Protective service occupations,major,1120,3.6,14.24,29620,4.3,7.23,8.84,14.63,17.97,21.24,15040,18390,30440,37380,44190,2006
694,AL,11500,"Anniston-Oxford, AL",35-0000,Food preparation and serving related occupations,major,4730,4.0,7.30,15190,1.6,5.58,5.97,6.63,7.81,10.23,11600,12420,13780,16240,21280,2006
708,AL,11500,"Anniston-Oxford, AL",37-0000,Building and grounds cleaning and maintenance occupations,major,1500,7.8,10.47,21780,3.3,6.24,7.65,9.98,13.28,15.09,12970,15920,20760,27630,31380,2006
713,AL,11500,"Anniston-Oxford, AL",39-0000,Personal care and service occupations,major,870,22.4,8.89,18480,5.5,5.77,6.43,7.88,9.88,12.22,12010,13370,16390,20560,25420,2006
718,AL,11500,"Anniston-Oxford, AL",41-0000,Sales and related occupations,major,4530,4.7,12.57,26150,3.7,6.13,7.30,9.10,14.26,22.99,12740,15190,18940,29660,47810,2006
729,AL,11500,"Anniston-Oxford, AL",43-0000,Office and administrative support occupations,major,7400,3.2,12.71,26430,2.3,7.32,9.01,11.59,15.75,19.60,15220,18740,24120,32760,40760,2006
761,AL,11500,"Anniston-Oxford, AL",45-0000,"Farming, fishing, and forestry occupations",major,40,39.0,11.96,24880,12.2,7.91,9.08,10.61,13.80,20.33,16450,18890,22070,28710,42290,2006
762,AL,11500,"Anniston-Oxford, AL",47-0000,Construction and extraction occupations,major,1800,32.1,14.25,29640,3.2,8.62,10.52,13.42,17.53,21.45,17920,21880,27910,36450,44610,2006
776,AL,11500,"Anniston-Oxford, AL",49-0000,"Installation, maintenance, and repair occupations",major,3910,2.9,17.46,36320,3.0,10.39,14.08,17.40,21.05,23.94,21610,29290,36190,43790,49790,2006
793,AL,11500,"Anniston-Oxford, AL",51-0000,Production occupations,major,7320,9.7,13.27,27590,3.8,7.64,9.41,12.17,16.38,20.82,15880,19580,25310,34070,43310,2006
825,AL,11500,"Anniston-Oxford, AL",53-0000,Transportation and material moving occupations,major,4670,7.0,12.38,25750,3.2,6.52,8.59,11.09,14.94,20.78,13550,17870,23060,31070,43220,2006
839,AL,12220,"Auburn-Opelika, AL",11-0000,Management occupations,major,1770,4.4,36.61,76160,3.5,15.68,22.08,31.97,44.45,65.39,32610,45920,66500,92450,136010,2006
854,AL,12220,"Auburn-Opelika, AL",13-0000,Business and financial operations occupations,major,740,7.9,24.07,50070,4.2,12.48,15.61,20.68,29.56,38.89,25960,32460,43010,61490,80900,2006
861,AL,12220,"Auburn-Opelika, AL",15-0000,Computer and mathematical occupations,major,480,12.9,24.01,49940,8.1,8.40,17.27,23.57,30.61,38.12,17470,35920,49030,63680,79300,2006
864,AL,12220,"Auburn-Opelika, AL",17-0000,Architecture and engineering occupations,major,550,10.6,26.12,54340,4.9,12.06,17.57,24.64,32.73,44.52,25070,36550,51240,68080,92610,2006
869,AL,12220,"Auburn-Opelika, AL",21-0000,Community and social services occupations,major,490,8.9,17.18,35730,4.5,8.97,12.27,16.85,21.93,25.66,18670,25520,35040,45610,53370,2006
873,AL,12220,"Auburn-Opelika, AL",23-0000,Legal occupations,major,100,17.5,35.99,74860,21.0,9.31,16.82,22.49,52.15,#,19360,34980,46790,108480,#,2006
875,AL,12220,"Auburn-Opelika, AL",25-0000,"Education, training, and library occupations",major,4300,5.2,22.11,45980,12.1,7.93,13.28,19.22,26.65,42.94,16490,27630,39970,55430,89310,2006
888,AL,12220,"Auburn-Opelika, AL",27-0000,"Arts, design, entertainment, sports, and media occupations",major,440,8.2,20.23,42090,10.0,7.74,11.06,16.23,23.67,35.22,16110,23010,33750,49230,73250,2006
903,AL,12220,"Auburn-Opelika, AL",33-0000,Protective service occupations,major,1220,29.6,13.43,27940,4.3,7.14,8.52,13.46,16.77,20.77,14850,17720,27990,34870,43190,2006
911,AL,12220,"Auburn-Opelika, AL",35-0000,Food preparation and serving related occupations,major,5120,3.2,7.31,15210,2.0,5.58,5.98,6.64,7.88,10.51,11600,12440,13820,16390,21860,2006
926,AL,12220,"Auburn-Opelika, AL",37-0000,Building and grounds cleaning and maintenance occupations,major,1970,7.6,9.40,19540,3.1,5.92,6.84,8.31,10.78,14.64,12320,14220,17280,22410,30460,2006
934,AL,12220,"Auburn-Opelika, AL",39-0000,Personal care and service occupations,major,1180,9.4,7.70,16010,3.8,5.61,6.02,6.71,8.55,10.89,11660,12520,13960,17790,22660,2006
940,AL,12220,"Auburn-Opelika, AL",41-0000,Sales and related occupations,major,5560,3.7,11.50,23920,3.5,6.06,7.10,8.64,12.45,20.36,12610,14760,17960,25900,42340,2006
952,AL,12220,"Auburn-Opelika, AL",43-0000,Office and administrative support occupations,major,6640,3.3,12.23,25430,1.8,7.12,8.77,11.36,14.67,18.66,14820,18230,23630,30510,38810,2006
979,AL,12220,"Auburn-Opelika, AL",47-0000,Construction and extraction occupations,major,2200,4.6,13.82,28740,2.0,8.16,10.05,12.93,16.40,20.91,16960,20910,26900,34120,43500,2006
992,AL,12220,"Auburn-Opelika, AL",49-0000,"Installation, maintenance, and repair occupations",major,1880,4.0,16.09,33460,2.2,8.60,11.79,15.61,19.96,24.66,17880,24510,32470,41510,51300,2006
1001,AL,12220,"Auburn-Opelika, AL",51-0000,Production occupations,major,5960,7.7,12.66,26330,5.6,7.18,8.96,10.90,15.25,21.53,14940,18630,22670,31730,44770,2006
1020,AL,12220,"Auburn-Opelika, AL",53-0000,Transportation and material moving occupations,major,3660,13.2,12.07,25100,3.6,6.24,8.00,11.73,15.00,18.81,12990,16630,24400,31200,39110,2006
1035,AL,13820,"Birmingham-Hoover, AL",11-0000,Management occupations,major,24080,3.3,42.34,88070,1.2,18.20,25.92,36.48,52.49,#,37850,53920,75880,109180,#,2006
1067,AL,13820,"Birmingham-Hoover, AL",13-0000,Business and financial operations occupations,major,20020,4.2,28.79,59890,2.5,14.52,18.97,25.40,34.25,46.14,30200,39450,52830,71230,95970,2006
1095,AL,13820,"Birmingham-Hoover, AL",15-0000,Computer and mathematical occupations,major,10460,4.9,28.47,59220,1.8,15.84,20.79,28.04,35.69,42.86,32950,43240,58330,74240,89140,2006
1107,AL,13820,"Birmingham-Hoover, AL",17-0000,Architecture and engineering occupations,major,7810,4.6,28.23,58710,2.9,12.79,18.37,25.88,36.91,45.31,26610,38210,53840,76770,94240,2006
1131,AL,13820,"Birmingham-Hoover, AL",19-0000,"Life, physical, and social science occupations",major,2860,19.9,23.19,48240,7.2,12.14,13.91,19.06,28.30,38.78,25250,28930,39640,58860,80670,2006
1144,AL,13820,"Birmingham-Hoover, AL",21-0000,Community and social services occupations,major,4310,4.5,17.98,37400,2.3,10.20,13.00,16.74,22.63,27.74,21220,27050,34820,47060,57700,2006
1158,AL,13820,"Birmingham-Hoover, AL",23-0000,Legal occupations,major,4490,8.3,37.56,78130,4.3,15.55,20.09,30.83,46.56,#,32340,41780,64130,96840,#,2006
1165,AL,13820,"Birmingham-Hoover, AL",25-0000,"Education, training, and library occupations",major,26060,10.8,19.11,39740,6.2,7.90,11.74,18.15,23.07,30.24,16440,24410,37750,47990,62910,2006
1205,AL,13820,"Birmingham-Hoover, AL",27-0000,"Arts, design, entertainment, sports, and media occupations",major,6420,14.6,15.87,33010,5.1,7.65,8.71,13.39,20.06,27.86,15910,18110,27850,41720,57940,2006
1230,AL,13820,"Birmingham-Hoover, AL",29-0000,Healthcare practitioners and technical occupations,major,33500,4.8,24.52,51010,2.4,10.77,14.82,21.08,27.90,40.23,22400,30820,43840,58030,83670,2006
1275,AL,13820,"Birmingham-Hoover, AL",31-0000,Healthcare support occupations,major,12590,4.2,10.53,21900,1.8,7.14,8.12,9.81,11.67,15.14,14850,16890,20410,24260,31490,2006
1288,AL,13820,"Birmingham-Hoover, AL",33-0000,Protective service occupations,major,12330,11.0,14.02,29160,4.0,6.53,8.29,12.20,18.04,24.84,13580,17240,25380,37530,51660,2006
1303,AL,13820,"Birmingham-Hoover, AL",35-0000,Food preparation and serving related occupations,major,38760,3.5,7.92,16460,1.4,5.62,6.12,6.95,8.95,11.46,11700,12730,14460,18620,23840,2006
1319,AL,13820,"Birmingham-Hoover, AL",37-0000,Building and grounds cleaning and maintenance occupations,major,13280,4.3,9.71,20190,1.7,6.00,7.04,8.73,11.12,15.27,12480,14650,18150,23120,31770,2006
1329,AL,13820,"Birmingham-Hoover, AL",39-0000,Personal care and service occupations,major,7870,5.7,9.85,20490,3.6,5.85,6.72,8.21,10.65,16.00,12170,13970,17080,22160,33280,2006
1346,AL,13820,"Birmingham-Hoover, AL",41-0000,Sales and related occupations,major,57600,2.3,15.96,33200,2.3,6.39,7.88,10.89,18.88,32.96,13290,16380,22650,39270,68550,2006
1365,AL,13820,"Birmingham-Hoover, AL",43-0000,Office and administrative support occupations,major,91730,2.2,13.78,28670,1.1,7.80,9.82,12.73,16.91,21.62,16230,20430,26480,35170,44970,2006
1416,AL,13820,"Birmingham-Hoover, AL",45-0000,"Farming, fishing, and forestry occupations",major,790,13.1,12.37,25730,4.4,8.15,10.20,11.70,14.46,17.64,16960,21220,24330,30080,36690,2006
1423,AL,13820,"Birmingham-Hoover, AL",47-0000,Construction and extraction occupations,major,29030,3.5,16.04,33370,1.5,9.17,11.18,14.85,19.53,24.20,19070,23260,30880,40610,50340,2006
1463,AL,13820,"Birmingham-Hoover, AL",49-0000,"Installation, maintenance, and repair occupations",major,25180,3.5,17.93,37280,1.6,8.98,12.33,16.90,22.36,28.31,18670,25640,35150,46510,58870,2006
1497,AL,13820,"Birmingham-Hoover, AL",51-0000,Production occupations,major,35650,3.2,14.34,29830,1.8,7.75,9.68,12.88,17.26,22.40,16130,20140,26790,35900,46580,2006
1567,AL,13820,"Birmingham-Hoover, AL",53-0000,Transportation and material moving occupations,major,39130,3.1,13.10,27240,1.5,6.74,8.60,11.58,16.12,21.80,14010,17890,24080,33530,45350,2006
1595,AL,19460,"Decatur, AL",11-0000,Management occupations,major,1860,4.6,35.69,74230,2.0,15.99,22.33,30.97,43.70,60.81,33260,46440,64420,90890,126490,2006
1608,AL,19460,"Decatur, AL",13-0000,Business and financial operations occupations,major,1250,6.4,23.13,48100,3.0,11.49,16.27,21.20,27.73,36.53,23900,33850,44090,57680,75980,2006
1619,AL,19460,"Decatur, AL",15-0000,Computer and mathematical occupations,major,240,19.0,25.57,53190,6.8,10.46,16.26,24.08,34.40,42.90,21770,33810,50090,71560,89230,2006
1623,AL,19460,"Decatur, AL",17-0000,Architecture and engineering occupations,major,850,9.8,28.66,59600,4.0,12.30,19.14,27.12,37.15,45.57,25570,39810,56400,77280,94780,2006
1634,AL,19460,"Decatur, AL",19-0000,"Life, physical, and social science occupations",major,230,11.5,21.89,45540,2.8,12.97,15.64,19.74,27.32,34.27,26980,32540,41050,56830,71270,2006
1637,AL,19460,"Decatur, AL",21-0000,Community and social services occupations,major,380,9.4,18.63,38750,2.9,11.20,14.16,17.90,23.36,27.55,23300,29450,37220,48580,57300,2006
1642,AL,19460,"Decatur, AL",23-0000,Legal occupations,major,130,25.9,42.04,87440,19.1,13.59,22.59,41.64,63.99,#,28270,46990,86620,133100,#,2006
1645,AL,19460,"Decatur, AL",25-0000,"Education, training, and library occupations",major,3200,10.4,17.55,36500,2.0,8.66,13.59,18.73,21.93,24.15,18000,28260,38960,45620,50230,2006
1655,AL,19460,"Decatur, AL",27-0000,"Arts, design, entertainment, sports, and media occupations",major,260,15.1,15.69,32640,10.1,6.25,8.35,13.89,20.13,26.96,12990,17380,28890,41860,56080,2006
1657,AL,19460,"Decatur, AL",29-0000,Healthcare practitioners and technical occupations,major,2500,5.8,23.65,49200,3.7,10.13,13.60,18.96,25.46,44.97,21070,28290,39440,52960,93530,2006
1669,AL,19460,"Decatur, AL",31-0000,Healthcare support occupations,major,1260,8.6,10.64,22130,4.7,6.77,8.05,9.69,11.39,18.08,14080,16740,20150,23690,37600,2006
1679,AL,19460,"Decatur, AL",33-0000,Protective service occupations,major,1010,6.8,13.35,27760,6.7,6.46,9.26,12.04,17.15,21.81,13440,19250,25040,35670,45370,2006
1683,AL,19460,"Decatur, AL",35-0000,Food preparation and serving related occupations,major,4590,5.4,7.58,15760,2.5,5.62,6.08,6.84,8.53,10.99,11680,12640,14230,17730,22850,2006
1698,AL,19460,"Decatur, AL",37-0000,Building and grounds cleaning and maintenance occupations,major,1360,5.4,9.40,19550,3.4,6.01,7.08,8.42,10.52,14.65,12510,14720,17510,21890,30480,2006
1704,AL,19460,"Decatur, AL",39-0000,Personal care and service occupations,major,880,16.1,8.77,18240,3.7,5.89,6.81,7.97,9.42,13.02,12250,14150,16570,19590,27080,2006
1710,AL,19460,"Decatur, AL",41-0000,Sales and related occupations,major,5290,4.0,12.93,26890,3.8,6.04,7.15,9.58,15.49,23.99,12570,14870,19930,32230,49890,2006
1722,AL,19460,"Decatur, AL",43-0000,Office and administrative support occupations,major,7500,3.1,12.55,26110,1.4,7.72,9.21,11.42,14.81,19.08,16060,19170,23750,30800,39690,2006
1753,AL,19460,"Decatur, AL",45-0000,"Farming, fishing, and forestry occupations",major,200,18.0,10.60,22050,6.1,6.14,7.52,8.77,13.40,18.62,12770,15650,18250,27870,38720,2006
1755,AL,19460,"Decatur, AL",47-0000,Construction and extraction occupations,major,3030,8.8,15.48,32200,1.8,9.68,12.00,15.12,17.95,22.29,20140,24960,31450,37330,46370,2006
1773,AL,19460,"Decatur, AL",49-0000,"Installation, maintenance, and repair occupations",major,3050,7.4,17.63,36680,2.9,9.87,12.64,16.78,21.89,26.61,20530,26300,34910,45540,55350,2006
1787,AL,19460,"Decatur, AL",51-0000,Production occupations,major,11520,7.8,13.78,28660,3.6,7.54,9.22,11.66,16.99,22.77,15680,19180,24250,35340,47370,2006
1821,AL,19460,"Decatur, AL",53-0000,Transportation and material moving occupations,major,5170,6.5,13.48,28050,3.3,6.68,8.64,11.62,16.88,24.28,13890,17970,24170,35120,50490,2006
1836,AL,20020,"Dothan, AL",11-0000,Management occupations,major,2670,8.4,33.08,68800,3.9,12.50,20.75,29.65,41.57,56.03,25990,43160,61660,86460,116550,2006
1852,AL,20020,"Dothan, AL",13-0000,Business and financial operations occupations,major,1390,5.5,22.38,46550,4.2,11.12,14.80,19.18,27.57,38.29,23140,30780,39890,57340,79640,2006
1867,AL,20020,"Dothan, AL",15-0000,Computer and mathematical occupations,major,340,6.2,22.27,46330,3.3,10.72,14.69,20.70,28.62,35.70,22310,30550,43050,59530,74250,2006
1873,AL,20020,"Dothan, AL",17-0000,Architecture and engineering occupations,major,640,5.6,26.88,55910,5.0,10.87,17.93,26.94,34.29,41.17,22600,37300,56030,71320,85630,2006
1877,AL,20020,"Dothan, AL",19-0000,"Life, physical, and social science occupations",major,200,5.3,26.04,54170,6.2,13.39,16.85,24.09,33.49,39.85,27850,35040,50100,69660,82900,2006
1878,AL,20020,"Dothan, AL",21-0000,Community and social services occupations,major,580,7.9,15.02,31240,3.8,6.79,11.42,14.24,18.91,23.49,14120,23760,29610,39340,48850,2006
1884,AL,20020,"Dothan, AL",25-0000,"Education, training, and library occupations",major,2050,7.5,16.37,34040,2.3,7.67,12.74,17.71,20.72,22.61,15950,26500,36840,43100,47030,2006
1893,AL,20020,"Dothan, AL",27-0000,"Arts, design, entertainment, sports, and media occupations",major,550,13.7,13.26,27590,4.8,7.42,9.37,12.34,16.26,20.57,15440,19480,25660,33820,42790,2006
1901,AL,20020,"Dothan, AL",29-0000,Healthcare practitioners and technical occupations,major,**,**,24.34,50630,3.9,11.98,16.10,20.94,25.80,36.44,24910,33490,43560,53670,75800,2006
1913,AL,20020,"Dothan, AL",31-0000,Healthcare support occupations,major,2260,22.1,10.28,21380,2.7,7.22,8.16,9.72,11.32,14.30,15020,16970,20210,23540,29750,2006
1921,AL,20020,"Dothan, AL",33-0000,Protective service occupations,major,1280,4.3,12.88,26800,5.7,6.29,8.64,12.08,15.82,20.89,13080,17980,25120,32910,43450,2006
1925,AL,20020,"Dothan, AL",35-0000,Food preparation and serving related occupations,major,5030,3.0,7.57,15740,1.8,5.61,6.04,6.77,8.32,10.68,11660,12570,14070,17300,22210,2006
1939,AL,20020,"Dothan, AL",37-0000,Building and grounds cleaning and maintenance occupations,major,1530,6.3,8.73,18160,2.4,5.88,6.70,8.28,10.27,12.11,12230,13940,17220,21370,25190,2006
1945,AL,20020,"Dothan, AL",39-0000,Personal care and service occupations,major,1000,8.0,8.18,17010,4.8,5.63,6.10,6.89,8.56,12.69,11720,12700,14330,17800,26400,2006
1954,AL,20020,"Dothan, AL",41-0000,Sales and related occupations,major,7250,3.6,13.08,27210,4.1,6.04,7.05,9.73,15.16,24.18,12570,14660,20230,31520,50290,2006
1967,AL,20020,"Dothan, AL",43-0000,Office and administrative support occupations,major,10220,3.9,11.65,24240,1.9,7.19,8.58,10.76,13.80,17.36,14960,17850,22390,28700,36110,2006
2003,AL,20020,"Dothan, AL",45-0000,"Farming, fishing, and forestry occupations",major,390,23.2,11.65,24230,4.1,7.50,9.74,11.14,13.14,16.58,15590,20250,23180,27330,34480,2006
2006,AL,20020,"Dothan, AL",47-0000,Construction and extraction occupations,major,3100,6.4,13.89,28890,2.7,8.00,9.64,13.06,17.27,21.83,16640,20060,27160,35910,45400,2006
2026,AL,20020,"Dothan, AL",49-0000,"Installation, maintenance, and repair occupations",major,3420,6.7,15.21,31630,2.8,7.89,10.89,14.21,18.91,23.28,16410,22640,29570,39340,48430,2006
2040,AL,20020,"Dothan, AL",51-0000,Production occupations,major,6670,12.3,11.26,23420,4.5,6.28,7.67,10.08,12.67,17.22,13050,15950,20960,26360,35810,2006
2065,AL,20020,"Dothan, AL",53-0000,Transportation and material moving occupations,major,5010,3.9,12.14,25250,3.4,6.23,7.81,10.29,14.19,22.52,12960,16240,21400,29510,46850,2006
2078,AL,22520,"Florence-Muscle Shoals, AL",11-0000,Management occupations,major,1710,4.1,33.84,70380,2.4,14.59,21.08,29.04,40.95,58.35,30340,43850,60400,85170,121380,2006
