,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,AK,11260,"Anchorage, AK",11-0000,major,9950,2.5,57.38,1.12,55.28,114980,1.6,25.75,35.8,48.82,65.62,92.45,53570,74470,101560,136490,192300,2017
30,AK,11260,"Anchorage, AK",13-0000,major,8940,3.3,51.567,0.98,37.63,78260,1.9,20.61,27.08,35.21,46.08,58.26,42870,56320,73230,95850,121190,2017
56,AK,11260,"Anchorage, AK",15-0000,major,3570,9.2,20.606,0.69,41.3,85900,3,21.59,27.96,38.11,48.82,64.47,44910,58150,79270,101550,134090,2017
70,AK,11260,"Anchorage, AK",17-0000,major,4820,3.4,27.787,1.57,51.75,107650,3.4,25.7,34.53,46.06,61.02,79.97,53460,71820,95810,126920,166340,2017
95,AK,11260,"Anchorage, AK",19-0000,major,2480,4.4,14.325,1.78,39.72,82610,2.7,21.61,28.02,37.32,47.22,59.26,44960,58280,77620,98210,123270,2017
115,AK,11260,"Anchorage, AK",21-0000,major,3690,4.3,21.256,1.45,26.04,54170,4.4,14.41,17.89,24.53,32,39.99,29970,37200,51020,66550,83180,2017
131,AK,11260,"Anchorage, AK",23-0000,major,1400,6.1,8.062,1.05,46.61,96940,5.6,23.29,29.96,41.58,57.74,76.6,48450,62320,86480,120100,159320,2017
136,AK,11260,"Anchorage, AK",25-0000,major,9490,1.9,54.729,0.89,31.96,66470,3.3,13.72,20.48,31.33,41.94,51,28540,42600,65160,87230,106080,2017
156,AK,11260,"Anchorage, AK",27-0000,major,2030,7.7,11.687,0.87,27.91,58050,5.6,11.45,16.69,23.28,33.39,49.38,23820,34720,48430,69460,102710,2017
177,AK,11260,"Anchorage, AK",29-0000,major,10620,4.5,61.252,1.03,46.15,96000,3.1,19.42,27.49,39,53.59,77.18,40400,57180,81120,111460,160540,2017
221,AK,11260,"Anchorage, AK",31-0000,major,5160,7.4,29.748,1.03,21.69,45120,4.3,11.93,16.09,19.44,24.55,33.54,24820,33460,40430,51070,69770,2017
233,AK,11260,"Anchorage, AK",33-0000,major,4020,4.9,23.188,0.97,29.11,60540,5.4,13.67,18.68,27.21,37.35,47.93,28440,38850,56590,77690,99700,2017
