,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,OCC_CODE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,10180,"Abilene, TX",4,TX,11-0000,major,2910,4.5,44.068,0.77,42.87,89160,2.2,17.38,26.74,36.37,51.68,73.88,36150,55620,75640,107500,153670,2020
18,10180,"Abilene, TX",4,TX,13-0000,major,2150,5.5,32.515,0.54,32.28,67140,2.3,16.48,21.89,29.35,38.69,50.26,34280,45530,61040,80470,104530,2020
34,10180,"Abilene, TX",4,TX,15-0000,major,820,15.3,12.372,0.38,29.79,61970,3.2,16.47,21.02,26.51,37.25,48.61,34250,43720,55130,77490,101120,2020
41,10180,"Abilene, TX",4,TX,17-0000,major,840,13.1,12.765,0.71,35.42,73680,4.5,18.62,24.36,32.65,43.04,55.23,38740,50660,67900,89520,114880,2020
51,10180,"Abilene, TX",4,TX,19-0000,major,370,10.8,5.554,0.6,29.5,61360,3.1,16.76,20.71,27.85,35.83,43.04,34870,43070,57940,74520,89520,2020
55,10180,"Abilene, TX",4,TX,21-0000,major,1220,5.6,18.458,1.15,22.09,45950,2.5,13.37,16.96,22.05,26.74,31,27810,35280,45860,55620,64480,2020
64,10180,"Abilene, TX",4,TX,23-0000,major,350,10.9,5.351,0.64,38.23,79520,13.5,16.71,18.98,23.7,40.69,80.42,34750,39470,49290,84640,167270,2020
67,10180,"Abilene, TX",4,TX,25-0000,major,4480,4,67.82,1.12,21.49,44700,3.3,9,11.59,21.42,27.43,32.57,18720,24120,44560,57060,67750,2020
84,10180,"Abilene, TX",4,TX,27-0000,major,690,15.8,10.433,0.78,21.24,44180,4.1,8.97,12.23,17.26,26.3,36.34,18660,25430,35910,54700,75580,2020
91,10180,"Abilene, TX",4,TX,29-0000,major,5080,7.1,76.916,1.25,36.04,74960,5,15.72,21.06,29.6,39.45,59.56,32700,43800,61570,82060,123880,2020
114,10180,"Abilene, TX",4,TX,31-0000,major,4140,6.5,62.691,1.35,12.13,25230,3.4,8.25,9.2,11.08,13.64,17.57,17170,19130,23050,28370,36540,2020
124,10180,"Abilene, TX",4,TX,33-0000,major,1830,1.6,27.738,1.15,22.77,47360,4.1,14.91,17.76,20.91,24.45,35.56,31020,36940,43480,50870,73960,2020
131,10180,"Abilene, TX",4,TX,35-0000,major,6670,5.5,100.983,1.25,11.06,23010,2.2,8.13,8.84,10.09,12.01,15.23,16910,18400,20990,24980,31680,2020
145,10180,"Abilene, TX",4,TX,37-0000,major,1990,6,30.072,1.02,12.83,26690,1.8,9.5,10.45,11.88,14.29,17.77,19760,21740,24720,29710,36960,2020
152,10180,"Abilene, TX",4,TX,39-0000,major,1180,8.3,17.923,0.92,12.99,27020,3.8,8.28,9.17,11.4,15.1,20.61,17210,19080,23710,31410,42860,2020
162,10180,"Abilene, TX",4,TX,41-0000,major,6360,7.5,96.224,1.02,16.17,33630,3.3,8.67,10.08,12.75,18.16,28.79,18040,20960,26520,37780,59890,2020
176,10180,"Abilene, TX",4,TX,43-0000,major,10270,2.8,155.427,1.17,16.79,34920,1.3,10.19,12.52,15.27,19.46,25.33,21190,26050,31770,40470,52690,2020
211,10180,"Abilene, TX",4,TX,45-0000,major,160,20.9,2.346,0.68,13.2,27460,5.9,9.56,10.86,13.22,15,16.78,19870,22600,27500,31210,34910,2020
213,10180,"Abilene, TX",4,TX,47-0000,major,3610,5.9,54.582,1.28,20.72,43090,3.7,12.9,15.44,19.1,24.02,30.63,26830,32120,39720,49950,63710,2020
231,10180,"Abilene, TX",4,TX,49-0000,major,3330,8.9,50.475,1.28,21.69,45120,2.7,12.02,14.84,19.76,26.59,35.35,25000,30860,41090,55310,73520,2020
250,10180,"Abilene, TX",4,TX,51-0000,major,2440,10.4,36.869,0.6,19.06,39640,3.1,10.54,12.91,17.26,23.15,30.86,21910,26850,35910,48150,64180,2020
266,10180,"Abilene, TX",4,TX,53-0000,major,5180,7.6,78.417,0.9,18.05,37540,3.8,9.7,11.59,15.39,22.47,30.72,20170,24100,32020,46730,63910,2020
282,10380,"Aguadilla-Isabela, PR",4,PR,11-0000,major,1630,6.8,37.538,0.66,30.28,62980,4.4,11.44,15.52,23.62,37.96,54.84,23800,32290,49140,78960,114070,2020
298,10380,"Aguadilla-Isabela, PR",4,PR,13-0000,major,1240,9.8,28.512,0.47,19.55,40670,5.5,8.83,11.18,16.25,25.17,36.87,18370,23250,33800,52360,76680,2020
309,10380,"Aguadilla-Isabela, PR",4,PR,15-0000,major,1170,4.6,27.072,0.82,22.1,45970,6,12.87,16.14,19.38,27.13,35.58,26770,33580,40320,56440,74000,2020
313,10380,"Aguadilla-Isabela, PR",4,PR,17-0000,major,920,10.9,21.225,1.17,30.37,63160,2.4,16.2,21.69,29.04,37.09,44.95,33700,45120,60400,77150,93500,2020
319,10380,"Aguadilla-Isabela, PR",4,PR,19-0000,major,200,5.2,4.528,0.49,20.03,41660,4.2,10.6,13.13,18.2,25.19,31.22,22040,27300,37860,52390,64950,2020
321,10380,"Aguadilla-Isabela, PR",4,PR,21-0000,major,540,13.9,12.479,0.78,13.95,29020,2.3,8.54,10.03,12.84,17.19,21.95,17750,20850,26710,35750,45650,2020
326,10380,"Aguadilla-Isabela, PR",4,PR,23-0000,major,60,42.2,1.365,0.16,20.74,43130,21.8,8.15,9.27,18.17,28.71,36.89,16950,19290,37790,59730,76730,2020
327,10380,"Aguadilla-Isabela, PR",4,PR,25-0000,major,4680,3.5,107.904,1.78,15.85,32980,1.8,8.38,9.79,15,20.06,24.2,17440,20370,31200,41730,50340,2020
339,10380,"Aguadilla-Isabela, PR",4,PR,27-0000,major,140,15.8,3.133,0.23,13.14,27320,8.2,7.77,8.25,9.05,14.01,26.28,16160,17160,18830,29150,54670,2020
340,10380,"Aguadilla-Isabela, PR",4,PR,29-0000,major,2230,17.3,51.305,0.83,14.73,30640,3.6,8.07,9.01,12.05,14.81,23.32,16780,18750,25060,30810,48510,2020
352,10380,"Aguadilla-Isabela, PR",4,PR,31-0000,major,1130,34.2,26.06,0.56,8.87,18460,2.8,7.92,8.27,8.84,9.41,9.89,16470,17200,18380,19580,20570,2020
358,10380,"Aguadilla-Isabela, PR",4,PR,33-0000,major,790,12.7,18.097,0.75,13.53,28140,14.3,7.96,8.4,9.11,10.11,21.2,16560,17470,18960,21030,44100,2020
363,10380,"Aguadilla-Isabela, PR",4,PR,35-0000,major,3780,5.6,87.107,1.08,9.34,19420,1.8,7.89,8.29,8.93,9.64,11.68,16410,17250,18570,20040,24290,2020
374,10380,"Aguadilla-Isabela, PR",4,PR,37-0000,major,1740,5,40.115,1.36,9.88,20550,2.2,7.93,8.36,9.06,10.07,14.36,16490,17390,18840,20950,29870,2020
379,10380,"Aguadilla-Isabela, PR",4,PR,39-0000,major,360,15.2,8.228,0.42,9.39,19530,2.2,8,8.39,9.04,9.74,11.77,16640,17450,18800,20260,24490,2020
384,10380,"Aguadilla-Isabela, PR",4,PR,41-0000,major,6160,5.5,141.903,1.5,9.98,20770,2.3,7.94,8.36,9.03,9.76,12.61,16520,17390,18790,20290,26230,2020
392,10380,"Aguadilla-Isabela, PR",4,PR,43-0000,major,6710,13.1,154.792,1.16,10.3,21430,2,7.83,8.29,9.04,10.75,15.08,16280,17230,18810,22360,31380,2020
416,10380,"Aguadilla-Isabela, PR",4,PR,47-0000,major,1550,6.3,35.728,0.84,9.55,19870,2.1,7.81,8.2,8.87,9.61,11.93,16230,17070,18450,19990,24810,2020
427,10380,"Aguadilla-Isabela, PR",4,PR,49-0000,major,1290,7.2,29.755,0.75,11.56,24040,3.9,7.93,8.45,9.33,12.1,19.67,16490,17580,19410,25160,40920,2020
435,10380,"Aguadilla-Isabela, PR",4,PR,51-0000,major,3970,19.3,91.533,1.49,11.02,22920,3.8,7.87,8.4,9.29,11.82,17.24,16380,17480,19320,24590,35850,2020
447,10380,"Aguadilla-Isabela, PR",4,PR,53-0000,major,3080,12,71.106,0.81,10,20800,4.6,7.97,8.4,9.08,9.91,13.86,16580,17460,18890,20610,28830,2020
458,10420,"Akron, OH",4,OH,11-0000,major,15990,2.9,51.335,0.9,54.95,114300,1.2,22.87,33.99,48.24,68.42,95.81,47580,70690,100340,142310,199280,2020
486,10420,"Akron, OH",4,OH,13-0000,major,17190,4.4,55.175,0.92,33.94,70590,1.2,17.47,23.19,30.75,40.71,53.94,36330,48230,63960,84680,112200,2020
512,10420,"Akron, OH",4,OH,15-0000,major,8740,8.5,28.055,0.85,39.06,81250,1.6,20.74,27.71,37.61,49.48,61.25,43140,57640,78240,102920,127400,2020
528,10420,"Akron, OH",4,OH,17-0000,major,6520,5.7,20.939,1.16,39.57,82300,2,21.91,28.8,37.19,47.97,60.94,45570,59910,77350,99780,126750,2020
556,10420,"Akron, OH",4,OH,19-0000,major,2350,6.9,7.557,0.81,32.78,68190,2.8,16.9,22.5,31.67,39.43,49.3,35160,46800,65870,82010,102550,2020
571,10420,"Akron, OH",4,OH,21-0000,major,5050,5.3,16.2,1.01,23.59,49070,2.6,12.68,17.09,22.74,29.27,36.38,26380,35540,47290,60880,75670,2020
585,10420,"Akron, OH",4,OH,23-0000,major,2260,7.1,7.252,0.87,45.18,93970,8.5,14.19,23,35.55,57.82,83.71,29510,47830,73940,120260,174110,2020
592,10420,"Akron, OH",4,OH,25-0000,major,18100,2.3,58.103,0.96,28.79,59890,3.8,11.85,17.61,28,36.8,45,24640,36640,58230,76550,93610,2020
630,10420,"Akron, OH",4,OH,27-0000,major,3010,10.4,9.675,0.72,24.53,51020,3.5,10.49,15.96,21.06,29.26,40.6,21830,33200,43800,60860,84450,2020
650,10420,"Akron, OH",4,OH,29-0000,major,22860,8.5,73.389,1.19,36.64,76200,3.9,16.48,23.35,30.86,38.76,58.24,34270,48580,64180,80620,121130,2020
689,10420,"Akron, OH",4,OH,31-0000,major,12460,5.4,40.011,0.86,15.3,31820,2.2,10.22,11.64,13.96,17.07,22.97,21250,24210,29040,35500,47770,2020
703,10420,"Akron, OH",4,OH,33-0000,major,5470,12.4,17.554,0.73,24.87,51730,3.5,11.48,15.47,25.63,32.76,38.7,23880,32170,53310,68140,80500,2020
717,10420,"Akron, OH",4,OH,35-0000,major,26410,2.6,84.776,1.05,11.51,23940,1.6,9.01,9.3,10.06,12.31,16.07,18750,19350,20930,25610,33430,2020
732,10420,"Akron, OH",4,OH,37-0000,major,9440,3.4,30.315,1.03,14.73,30640,1.8,9.67,10.98,13.32,16.99,22.78,20120,22840,27710,35330,47370,2020
740,10420,"Akron, OH",4,OH,39-0000,major,6060,7.8,19.441,1,13.75,28610,2.8,9.14,9.63,11.5,15.71,22.42,19020,20030,23920,32680,46630,2020
755,10420,"Akron, OH",4,OH,41-0000,major,28070,3.2,90.12,0.96,21.48,44680,2.7,9.5,10.99,14.92,25.83,42.04,19760,22850,31040,53720,87440,2020
774,10420,"Akron, OH",4,OH,43-0000,major,43430,2.6,139.417,1.05,19.55,40660,1,11.49,14.4,18.13,23.25,30.05,23890,29960,37720,48350,62510,2020
820,10420,"Akron, OH",4,OH,45-0000,major,120,28,0.383,0.11,15.68,32620,3.9,9.86,12.03,13.96,17.44,24.22,20510,25020,29040,36280,50380,2020
822,10420,"Akron, OH",4,OH,47-0000,major,10140,6.3,32.547,0.76,27.49,57170,1.7,15.75,19.49,26.83,35.16,39.91,32750,40530,55820,73130,83020,2020
843,10420,"Akron, OH",4,OH,49-0000,major,12410,3.9,39.836,1.01,22.75,47310,1.7,12.89,16.67,21.6,27.92,34.35,26820,34680,44940,58060,71440,2020
873,10420,"Akron, OH",4,OH,51-0000,major,26800,4.4,86.049,1.4,19.35,40240,1.2,11.5,14.04,17.92,23.29,29.25,23910,29190,37280,48430,60840,2020
933,10420,"Akron, OH",4,OH,53-0000,major,28620,3.9,91.871,1.05,17.09,35540,1.8,9.76,11.74,15.37,20.75,26.22,20310,24420,31970,43160,54530,2020
954,10500,"Albany, GA",4,GA,11-0000,major,2910,4.7,49.655,0.87,42.51,88420,3.2,15.48,24.07,34.94,51.07,76.68,32190,50070,72670,106210,159480,2020
971,10500,"Albany, GA",4,GA,13-0000,major,2880,7.1,49.124,0.81,34.14,71020,4,16.56,23.55,31.8,43.04,52.64,34430,48980,66140,89510,109490,2020
987,10500,"Albany, GA",4,GA,15-0000,major,650,11.5,11.062,0.34,35.72,74300,4.4,17.62,22.86,34.22,46.73,57.03,36640,47550,71180,97200,118620,2020
993,10500,"Albany, GA",4,GA,17-0000,major,650,26.1,11.057,0.61,35.19,73190,3,19.35,26.14,34.45,41.6,51.35,40250,54370,71660,86540,106800,2020
1000,10500,"Albany, GA",4,GA,19-0000,major,280,9.7,4.719,0.51,29.43,61210,4.8,12.03,17.53,28.32,38.97,49.7,25010,36460,58910,81060,103390,2020
1002,10500,"Albany, GA",4,GA,21-0000,major,880,5.7,14.989,0.93,20.29,42210,4.2,11.82,15.37,19.28,22.95,30.84,24580,31970,40110,47740,64150,2020
1011,10500,"Albany, GA",4,GA,23-0000,major,330,13.3,5.64,0.68,48.6,101090,19,12.62,17.82,30.19,65.46,#,26260,37060,62800,136160,#,2020
1014,10500,"Albany, GA",4,GA,25-0000,major,4720,2.7,80.485,1.33,21.34,44390,4,8.35,9.79,21.69,29.63,35.96,17360,20360,45120,61630,74790,2020
1030,10500,"Albany, GA",4,GA,27-0000,major,240,13.8,4.021,0.3,22.08,45920,7.5,9.05,13.71,19.57,29.33,37.72,18820,28510,40710,61000,78460,2020
1033,10500,"Albany, GA",4,GA,29-0000,major,4170,10.5,71.158,1.15,36.28,75460,5.5,12.93,17.44,25.54,37.98,76.54,26900,36260,53120,78990,159210,2020
1049,10500,"Albany, GA",4,GA,31-0000,major,2660,9.6,45.342,0.98,30.03,62470,23.6,8.74,10.06,12.99,18.29,#,18190,20930,27020,38050,#,2020
1056,10500,"Albany, GA",4,GA,33-0000,major,2250,17.7,38.323,1.59,16.21,33720,7.8,8.36,10.33,15.15,19.64,25.11,17390,21490,31510,40850,52230,2020
1065,10500,"Albany, GA",4,GA,35-0000,major,4890,4.5,83.425,1.03,10.38,21580,2.5,8,8.48,9.29,11.03,14.16,16630,17640,19310,22940,29450,2020
1079,10500,"Albany, GA",4,GA,37-0000,major,1440,7.1,24.579,0.84,11.99,24950,3,8.26,9.16,10.86,13.64,17.38,17180,19040,22580,28380,36140,2020
1086,10500,"Albany, GA",4,GA,39-0000,major,880,14.6,15.039,0.78,12.86,26740,5.1,8.18,8.86,10.13,13.81,23.21,17020,18430,21070,28720,48280,2020
1094,10500,"Albany, GA",4,GA,41-0000,major,6260,5.8,106.73,1.13,16.35,34000,6.7,8.25,9.01,10.8,16.98,31.32,17150,18730,22460,35330,65140,2020
1106,10500,"Albany, GA",4,GA,43-0000,major,8670,3.3,147.977,1.11,15.76,32780,4.3,9.48,11.06,13.88,18.56,24.56,19710,23010,28870,38610,51090,2020
1132,10500,"Albany, GA",4,GA,45-0000,major,280,24.9,4.816,1.4,16.11,33510,9.6,9.32,10.73,13.24,17.15,22.17,19380,22310,27530,35670,46110,2020
1135,10500,"Albany, GA",4,GA,47-0000,major,1770,5.8,30.257,0.71,18.85,39210,2.3,10.09,12.89,16.6,23.66,31.06,20990,26810,34540,49210,64600,2020
1148,10500,"Albany, GA",4,GA,49-0000,major,3320,7.3,56.684,1.44,24.15,50230,3.4,12.49,17.47,25.18,30.32,35.93,25970,36350,52380,63070,74730,2020
1161,10500,"Albany, GA",4,GA,51-0000,major,2870,12,48.928,0.8,20.14,41900,7.9,9.63,12.28,17.16,26.31,36.99,20040,25540,35700,54720,76950,2020
1175,10500,"Albany, GA",4,GA,53-0000,major,5630,8.6,95.99,1.1,16.49,34300,4.6,9.19,11.09,14.56,20.02,26.85,19120,23060,30290,41650,55850,2020
1187,10540,"Albany, OR",4,OR,11-0000,major,1970,3.9,46.12,0.81,46.29,96280,2.2,20.87,29.26,41.95,57.86,75.48,43410,60850,87260,120340,157010,2020
1204,10540,"Albany, OR",4,OR,13-0000,major,1300,5.5,30.434,0.5,31.41,65330,2.8,17.92,21.95,28.75,37.25,47.23,37280,45660,59800,77490,98240,2020
1217,10540,"Albany, OR",4,OR,15-0000,major,340,9.1,7.878,0.24,35.86,74590,3.5,18.32,25.48,34.98,44.44,53.12,38100,52990,72760,92430,110490,2020
1221,10540,"Albany, OR",4,OR,17-0000,major,600,4.3,13.955,0.77,37.39,77760,3.2,20.46,26.23,36.02,46.61,57.23,42560,54560,74920,96960,119040,2020
1228,10540,"Albany, OR",4,OR,19-0000,major,460,11.8,10.747,1.15,32.56,67730,2.9,17.4,22.78,30.3,41.98,49.83,36200,47380,63030,87320,103650,2020
1233,10540,"Albany, OR",4,OR,21-0000,major,790,3.6,18.557,1.16,26.55,55220,2.6,15.52,19.93,26.44,31.95,38.95,32280,41460,54990,66460,81010,2020
1240,10540,"Albany, OR",4,OR,23-0000,major,140,11.5,3.274,0.39,34.51,71770,6.1,16.14,25.15,29.55,37.96,52.66,33570,52320,61470,78960,109540,2020
1243,10540,"Albany, OR",4,OR,25-0000,major,3010,4.3,70.383,1.16,29.73,61840,8,12.68,16.23,25.11,39.25,50.14,26370,33750,52220,81630,104290,2020
1253,10540,"Albany, OR",4,OR,27-0000,major,350,11.4,8.269,0.62,20.17,41950,5.2,11.24,12.71,17.42,24,31.82,23380,26440,36230,49910,66190,2020
1257,10540,"Albany, OR",4,OR,29-0000,major,1730,2.6,40.488,0.66,45.82,95300,4.6,20.07,27.06,38.57,52.71,79.57,41740,56290,80220,109630,165500,2020
1267,10540,"Albany, OR",4,OR,31-0000,major,2270,5.7,53.213,1.15,16.42,34150,2.9,12.72,13.63,15.1,18.5,22.87,26450,28350,31420,38470,47570,2020
1275,10540,"Albany, OR",4,OR,33-0000,major,670,11.1,15.744,0.65,31.37,65250,5.8,13.62,19.86,31.46,39.96,49.37,28330,41310,65450,83120,102690,2020
1283,10540,"Albany, OR",4,OR,35-0000,major,3580,7.8,83.725,1.03,13.37,27810,1.5,11.54,11.82,12.34,14.18,16.3,24000,24580,25660,29490,33900,2020
1295,10540,"Albany, OR",4,OR,37-0000,major,930,5.8,21.674,0.74,15.86,32990,1.9,11.84,12.56,14.91,18.25,21.56,24630,26120,31010,37970,44850,2020
1299,10540,"Albany, OR",4,OR,39-0000,major,590,8.6,13.803,0.71,15.29,31800,3.3,11.58,11.85,12.48,16.07,22.59,24090,24650,25960,33430,46980,2020
1307,10540,"Albany, OR",4,OR,41-0000,major,3400,5.5,79.631,0.84,18.54,38560,2.9,11.85,12.53,14.91,19.96,30.41,24640,26050,31020,41520,63260,2020
1320,10540,"Albany, OR",4,OR,43-0000,major,4980,2.9,116.634,0.87,19.47,40500,1.1,12.32,14.67,18.37,23.23,28.7,25630,30510,38200,48330,59700,2020
1343,10540,"Albany, OR",4,OR,45-0000,major,600,13.6,14.035,4.08,21.49,44710,8.1,12.32,14.19,20.76,27.81,33.67,25610,29520,43170,57850,70030,2020
1348,10540,"Albany, OR",4,OR,47-0000,major,2570,4.1,60.159,1.41,26.92,56000,3.3,14.39,17.83,24.15,33.55,45.74,29930,37080,50240,69790,95140,2020
1362,10540,"Albany, OR",4,OR,49-0000,major,2160,6,50.536,1.28,26.36,54830,2.9,14.06,18.04,24.64,32.96,40.77,29250,37530,51250,68560,84790,2020
1378,10540,"Albany, OR",4,OR,51-0000,major,5150,6.1,120.646,1.97,21.24,44180,3.2,12.71,15.06,19.22,26.21,32.51,26430,31320,39980,54520,67630,2020
1410,10540,"Albany, OR",4,OR,53-0000,major,5130,3.9,120.093,1.37,19.23,40010,2.5,12.49,14.81,18.13,22.62,27.13,25980,30800,37710,47040,56430,2020
1426,10580,"Albany-Schenectady-Troy, NY",4,NY,11-0000,major,22930,2.1,54.539,0.95,58.34,121350,1.1,28.4,39.3,52.58,70.05,95.08,59070,81740,109360,145690,197770,2020
1458,10580,"Albany-Schenectady-Troy, NY",4,NY,13-0000,major,29210,2.7,69.486,1.15,35.95,74770,0.9,21.2,26.25,33.5,43.04,53.34,44090,54610,69690,89520,110950,2020
1486,10580,"Albany-Schenectady-Troy, NY",4,NY,15-0000,major,16120,3.2,38.333,1.16,40.32,83860,1.6,23.05,29.67,38.08,49.31,62.11,47940,61710,79200,102560,129180,2020
1503,10580,"Albany-Schenectady-Troy, NY",4,NY,17-0000,major,9750,5.6,23.182,1.28,44.26,92060,2.3,24.82,32.02,41.2,53.19,67.82,51620,66610,85700,110630,141080,2020
1530,10580,"Albany-Schenectady-Troy, NY",4,NY,19-0000,major,7870,12.6,18.72,2.01,32.78,68180,4.6,17.26,21.87,29.42,40.73,51.63,35900,45490,61190,84710,107390,2020
1557,10580,"Albany-Schenectady-Troy, NY",4,NY,21-0000,major,9310,3.7,22.15,1.38,26.12,54330,1.4,14.45,18.42,24.68,31.87,40.01,30060,38320,51320,66290,83210,2020
1574,10580,"Albany-Schenectady-Troy, NY",4,NY,23-0000,major,5260,4.3,12.507,1.51,46.97,97690,3.2,22.05,28.66,42.99,59.27,79.52,45870,59600,89430,123280,165400,2020
1580,10580,"Albany-Schenectady-Troy, NY",4,NY,25-0000,major,32620,2.8,77.6,1.28,31.6,65740,5,12.85,16.35,27.18,40.42,51.88,26730,34020,56540,84070,107910,2020
1633,10580,"Albany-Schenectady-Troy, NY",4,NY,27-0000,major,5910,5.2,14.062,1.05,30.54,63520,3.6,14.09,18.25,25.59,35.93,49.12,29300,37960,53220,74730,102180,2020
1657,10580,"Albany-Schenectady-Troy, NY",4,NY,29-0000,major,27430,4.9,65.245,1.06,39.63,82420,2.7,18.72,24.94,32.62,42.79,62.3,38950,51870,67860,89010,129590,2020
1701,10580,"Albany-Schenectady-Troy, NY",4,NY,31-0000,major,17920,5.5,42.624,0.92,16.3,33900,1.5,12.33,13.36,15.14,18.39,22.66,25660,27780,31500,38260,47130,2020
1718,10580,"Albany-Schenectady-Troy, NY",4,NY,33-0000,major,9420,3.2,22.399,0.93,28.34,58940,4.9,12.95,17.7,25.46,37.11,48.09,26930,36820,52950,77200,100030,2020
1737,10580,"Albany-Schenectady-Troy, NY",4,NY,35-0000,major,27250,1.6,64.82,0.8,14.95,31100,1.2,11.99,12.3,13.46,15.42,20.01,24940,25580,28000,32070,41620,2020
1753,10580,"Albany-Schenectady-Troy, NY",4,NY,37-0000,major,14080,6.6,33.499,1.14,16.13,33550,1.7,12.08,12.6,14.73,18.44,22.94,25130,26210,30630,38350,47720,2020
1761,10580,"Albany-Schenectady-Troy, NY",4,NY,39-0000,major,9030,5.6,21.474,1.11,16.92,35200,2.5,11.98,12.27,14.43,18.82,25.92,24910,25520,30010,39140,53900,2020
1779,10580,"Albany-Schenectady-Troy, NY",4,NY,41-0000,major,36380,2.9,86.546,0.92,22.75,47320,2.6,12.07,12.55,15.4,26.31,41.52,25100,26110,32030,54730,86350,2020
1799,10580,"Albany-Schenectady-Troy, NY",4,NY,43-0000,major,63870,1.7,151.917,1.14,21.86,45460,0.7,13.3,16.33,20.09,25.45,32.21,27660,33970,41780,52940,66990,2020
1848,10580,"Albany-Schenectady-Troy, NY",4,NY,45-0000,major,200,30.6,0.474,0.14,20.89,43460,4.9,12.37,13.72,17.01,24.57,37.91,25730,28540,35380,51100,78860,2020
1850,10580,"Albany-Schenectady-Troy, NY",4,NY,47-0000,major,16160,4.1,38.447,0.9,28.83,59960,1.6,16.12,20.17,26.72,36.15,45.87,33540,41950,55580,75190,95400,2020
1880,10580,"Albany-Schenectady-Troy, NY",4,NY,49-0000,major,16610,3.5,39.51,1,26.41,54940,1.7,15.27,18.66,24.23,31.35,43.18,31770,38800,50400,65210,89810,2020
1911,10580,"Albany-Schenectady-Troy, NY",4,NY,51-0000,major,16220,5.3,38.571,0.63,22.64,47080,2.2,12.68,15.71,21.07,27.51,34.29,26370,32680,43830,57220,71330,2020
1963,10580,"Albany-Schenectady-Troy, NY",4,NY,53-0000,major,26860,2.7,63.898,0.73,19.45,40460,1.2,12.31,13.88,17.89,23.52,29.22,25610,28860,37220,48930,60780,2020
1985,10740,"Albuquerque, NM",4,NM,11-0000,major,18020,2.4,48.131,0.84,53.53,111350,2.9,23.72,33.55,46.18,66.08,93.63,49340,69780,96050,137450,194760,2020
2012,10740,"Albuquerque, NM",4,NM,13-0000,major,22200,2.8,59.286,0.98,35.42,73680,2.7,18.04,23.79,31.59,43.3,57.37,37530,49490,65710,90070,119330,2020
2038,10740,"Albuquerque, NM",4,NM,15-0000,major,9770,4,26.107,0.79,39.13,81400,5,18.29,25.23,36.8,50.16,64.64,38050,52470,76540,104330,134450,2020
2054,10740,"Albuquerque, NM",4,NM,17-0000,major,12310,4.6,32.874,1.82,50.01,104020,5.2,24.08,35,49.15,63.93,77.93,50090,72810,102230,132970,162090,2020
2080,10740,"Albuquerque, NM",4,NM,19-0000,major,4590,4.8,12.247,1.31,37.19,77360,4.5,17.15,23.49,31.97,46.14,65.78,35670,48860,66490,95980,136820,2020
2107,10740,"Albuquerque, NM",4,NM,21-0000,major,6790,3.1,18.124,1.13,24.4,50760,2.9,13.8,17.93,23.34,29.83,37.19,28700,37300,48550,62060,77350,2020
2122,10740,"Albuquerque, NM",4,NM,23-0000,major,3770,5,10.081,1.21,43.96,91430,8.5,19.39,24.07,34.29,57.37,84.04,40340,50060,71320,119340,174800,2020
2128,10740,"Albuquerque, NM",4,NM,25-0000,major,21190,1.7,56.589,0.93,28.39,59040,10.3,9.55,15.56,24.38,31.26,48.26,19870,32360,50720,65020,100370,2020
2151,10740,"Albuquerque, NM",4,NM,27-0000,major,4770,8.5,12.729,0.95,25.1,52200,3.4,10.55,14.5,21.52,31.48,41.85,21950,30160,44760,65480,87040,2020
2173,10740,"Albuquerque, NM",4,NM,29-0000,major,25750,2.3,68.791,1.12,41.88,87110,4,17.14,24.98,35.09,45.62,69.02,35640,51950,72980,94880,143550,2020
2217,10740,"Albuquerque, NM",4,NM,31-0000,major,23530,2.9,62.864,1.36,13.88,28870,2.2,9.37,10.39,12.33,15.67,19.72,19490,21610,25650,32580,41020,2020
2233,10740,"Albuquerque, NM",4,NM,33-0000,major,11000,6.5,29.392,1.22,20.06,41720,4.8,10.32,12.47,17.73,24.99,31.77,21460,25940,36880,51990,66070,2020
2250,10740,"Albuquerque, NM",4,NM,35-0000,major,33020,2.9,88.204,1.09,11.58,24090,1.2,9.17,9.43,10.28,12.19,15.25,19080,19620,21370,25350,31710,2020
2266,10740,"Albuquerque, NM",4,NM,37-0000,major,10460,5.1,27.941,0.95,13.38,27830,2,9.47,10.29,12.01,14.83,18.9,19700,21410,24980,30840,39310,2020
2274,10740,"Albuquerque, NM",4,NM,39-0000,major,6420,5.7,17.153,0.88,13.84,28790,2.5,9.22,9.61,11.36,15.71,23.02,19180,19990,23630,32680,47880,2020
2292,10740,"Albuquerque, NM",4,NM,41-0000,major,33870,5.2,90.475,0.96,18.28,38030,3.1,9.62,10.78,13.55,19.91,32.09,20010,22420,28180,41400,66740,2020
2309,10740,"Albuquerque, NM",4,NM,43-0000,major,56590,1.8,151.163,1.13,18.48,38440,1,10.99,13.61,17.14,22.11,28.64,22850,28300,35660,45980,59560,2020
2353,10740,"Albuquerque, NM",4,NM,45-0000,major,520,27,1.378,0.4,13.78,28660,6.3,9.26,9.65,11.99,16.19,20.04,19250,20080,24940,33660,41690,2020
2356,10740,"Albuquerque, NM",4,NM,47-0000,major,19470,4,51.994,1.22,22.02,45810,1.5,13.25,16.19,19.85,26.65,33.43,27560,33670,41290,55420,69540,2020
