,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,AK,11260,"Anchorage, AK",11-0000,major,13230,2.6,38.05,79130,1.4,16.86,23.57,34.58,47.34,63.20,35070,49030,71930,98470,131460,2007
29,AK,11260,"Anchorage, AK",13-0000,major,5860,3.5,30.54,63530,2.3,16.71,21.48,28.27,36.63,46.57,34750,44670,58800,76200,96860,2007
50,AK,11260,"Anchorage, AK",15-0000,major,2500,3.9,31.95,66450,2.4,18.90,24.13,30.93,39.06,47.28,39310,50180,64340,81240,98340,2007
60,AK,11260,"Anchorage, AK",17-0000,major,4520,5.7,35.55,73930,2.4,19.85,25.39,34.25,44.38,54.22,41280,52810,71250,92300,112770,2007
82,AK,11260,"Anchorage, AK",19-0000,major,2550,22.1,28.79,59890,3.9,15.81,19.86,27.38,36.06,45.43,32890,41300,56950,75000,94490,2007
100,AK,11260,"Anchorage, AK",21-0000,major,2670,7.1,21.14,43960,2.8,13.22,16.19,20.07,25.06,30.87,27500,33680,41750,52120,64200,2007
115,AK,11260,"Anchorage, AK",23-0000,major,**,**,38.91,80930,8.9,19.84,24.37,34.27,46.14,61.96,41260,50690,71280,95970,128880,2007
120,AK,11260,"Anchorage, AK",25-0000,major,9440,13.2,23.23,48320,3.3,7.84,13.41,22.55,31.17,39.18,16300,27890,46910,64830,81490,2007
138,AK,11260,"Anchorage, AK",27-0000,major,1830,9.8,22.56,46920,4.9,11.50,14.78,18.93,27.51,38.36,23930,30740,39370,57230,79780,2007
153,AK,11260,"Anchorage, AK",29-0000,major,8100,8.6,36.37,75660,2.6,17.45,23.81,32.66,41.12,58.69,36310,49530,67940,85530,122070,2007
180,AK,11260,"Anchorage, AK",31-0000,major,3560,5.6,16.55,34410,3.5,11.50,13.07,14.85,18.38,22.67,23920,27190,30880,38230,47150,2007
189,AK,11260,"Anchorage, AK",33-0000,major,4810,4.9,19.07,39670,8.1,10.27,11.42,16.07,24.97,32.60,21360,23750,33430,51930,67800,2007
198,AK,11260,"Anchorage, AK",35-0000,major,12800,3.1,11.30,23510,2.1,7.63,8.16,9.52,12.43,16.36,15880,16970,19810,25860,34020,2007
214,AK,11260,"Anchorage, AK",37-0000,major,5120,5.5,13.53,28150,2.9,8.53,10.01,12.05,15.77,20.86,17740,20820,25070,32810,43390,2007
