,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
221,AK,11260,"Anchorage, AK",39-0000,major,6360,9.6,13.08,27210,2.9,8.05,9.53,12.25,15.12,18.24,16740,19820,25480,31450,37940,2007
236,AK,11260,"Anchorage, AK",41-0000,major,15200,3.2,15.49,32220,2.1,8.25,9.63,12.16,17.96,26.49,17150,20040,25280,37360,55110,2007
254,AK,11260,"Anchorage, AK",43-0000,major,28620,2.1,17.05,35450,0.7,10.42,12.88,16.25,20.39,24.55,21670,26800,33800,42410,51070,2007
300,AK,11260,"Anchorage, AK",45-0000,major,**,**,14.31,29750,23.4,7.82,8.32,9.15,20.32,28.27,16270,17310,19040,42260,58790,2007
301,AK,11260,"Anchorage, AK",47-0000,major,10030,5.5,27.77,57750,1.7,15.63,20.80,27.42,33.81,39.58,32500,43260,57040,70320,82320,2007
322,AK,11260,"Anchorage, AK",49-0000,major,7850,5.1,24.52,50990,1.9,12.69,17.53,24.27,31.03,37.08,26390,36460,50480,64540,77130,2007
346,AK,11260,"Anchorage, AK",51-0000,major,3340,13.6,19.41,40380,3.8,9.77,12.36,17.76,25.57,30.86,20310,25720,36940,53180,64180,2007
370,AK,11260,"Anchorage, AK",53-0000,major,12880,3.0,22.73,47290,7.5,9.38,11.95,16.41,25.40,39.50,19500,24860,34140,52830,82160,2007
399,AK,21820,"Fairbanks, AK",11-0000,major,2580,4.8,36.03,74940,3.1,16.87,22.55,31.78,44.88,61.16,35080,46910,66110,93340,127210,2007
414,AK,21820,"Fairbanks, AK",13-0000,major,1100,5.2,27.27,56720,1.9,16.40,20.99,26.18,32.82,39.81,34110,43660,54450,68260,82790,2007
426,AK,21820,"Fairbanks, AK",15-0000,major,430,4.6,29.46,61280,2.5,18.46,23.63,29.28,35.58,40.05,38390,49150,60900,74000,83310,2007
433,AK,21820,"Fairbanks, AK",17-0000,major,640,11.7,31.60,65720,1.9,20.13,24.05,30.82,38.21,45.94,41870,50030,64110,79480,95550,2007
440,AK,21820,"Fairbanks, AK",19-0000,major,1150,4.0,25.39,52800,2.6,15.81,18.98,24.16,30.90,37.40,32870,39470,50240,64260,77790,2007
446,AK,21820,"Fairbanks, AK",21-0000,major,560,9.1,21.10,43880,5.1,12.82,14.88,19.95,25.35,32.76,26660,30960,41490,52730,68140,2007
452,AK,21820,"Fairbanks, AK",23-0000,major,180,6.9,38.94,80990,6.5,20.09,24.12,35.46,50.99,62.43,41790,50170,73760,106060,129850,2007
455,AK,21820,"Fairbanks, AK",25-0000,major,3060,1.8,*,*,*,*,*,*,*,*,*,*,*,*,*,2007
459,AK,21820,"Fairbanks, AK",27-0000,major,280,14.0,20.25,42120,4.3,10.40,14.28,20.38,24.33,30.65,21630,29700,42390,50600,63750,2007
462,AK,21820,"Fairbanks, AK",29-0000,major,1620,33.2,37.08,77130,8.4,16.31,23.61,32.42,41.17,65.67,33920,49100,67430,85630,136590,2007
475,AK,21820,"Fairbanks, AK",31-0000,major,600,27.6,16.18,33660,2.7,12.46,13.63,15.50,18.48,21.70,25910,28340,32240,38450,45140,2007
481,AK,21820,"Fairbanks, AK",33-0000,major,920,8.8,19.43,40400,7.0,11.16,13.14,17.70,24.44,31.26,23210,27330,36820,50830,65030,2007
486,AK,21820,"Fairbanks, AK",35-0000,major,3070,5.2,10.79,22450,2.2,7.60,8.23,9.72,11.97,15.39,15810,17110,20210,24890,32010,2007
500,AK,21820,"Fairbanks, AK",37-0000,major,1160,7.0,14.65,30470,4.4,8.54,10.38,13.72,18.28,22.69,17750,21580,28530,38030,47200,2007
505,AK,21820,"Fairbanks, AK",39-0000,major,970,11.1,13.24,27540,3.0,8.11,9.96,12.33,15.52,19.08,16880,20720,25650,32280,39680,2007
511,AK,21820,"Fairbanks, AK",41-0000,major,3340,7.7,15.73,32710,3.2,8.61,10.25,13.09,18.33,26.68,17910,21320,27240,38130,55500,2007
522,AK,21820,"Fairbanks, AK",43-0000,major,5610,3.3,17.38,36160,1.9,10.59,13.25,16.58,20.70,24.62,22030,27570,34490,43050,51200,2007
551,AK,21820,"Fairbanks, AK",47-0000,major,3070,14.2,26.56,55230,2.1,14.50,19.91,26.89,32.81,38.38,30170,41410,55930,68240,79830,2007
561,AK,21820,"Fairbanks, AK",49-0000,major,2440,6.8,24.73,51440,3.1,12.39,17.44,24.92,31.60,37.71,25770,36270,51820,65720,78440,2007
575,AK,21820,"Fairbanks, AK",51-0000,major,1100,12.4,21.60,44920,4.5,10.29,14.33,20.65,28.42,35.21,21400,29810,42960,59120,73240,2007
584,AK,21820,"Fairbanks, AK",53-0000,major,2420,8.2,19.30,40140,4.7,10.03,12.73,16.86,25.00,32.54,20870,26480,35080,52000,67690,2007
598,AL,11500,"Anniston-Oxford, AL",11-0000,major,1500,4.5,37.32,77620,3.6,15.96,23.06,32.41,46.14,63.62,33190,47950,67410,95960,132330,2007
612,AL,11500,"Anniston-Oxford, AL",13-0000,major,1360,4.2,25.90,53880,3.3,14.32,19.01,24.86,30.91,38.94,29790,39540,51710,64290,80990,2007
622,AL,11500,"Anniston-Oxford, AL",15-0000,major,450,32.1,31.31,65120,3.8,14.56,22.19,33.26,40.13,47.02,30290,46160,69190,83460,97810,2007
629,AL,11500,"Anniston-Oxford, AL",17-0000,major,810,19.7,29.79,61970,3.8,14.60,21.91,29.24,37.45,45.92,30370,45570,60810,77890,95510,2007
639,AL,11500,"Anniston-Oxford, AL",19-0000,major,360,24.4,24.54,51040,3.9,15.42,17.61,21.89,29.63,37.19,32070,36630,45530,61630,77360,2007
642,AL,11500,"Anniston-Oxford, AL",21-0000,major,540,7.2,16.89,35140,3.7,9.18,12.82,16.54,21.28,24.91,19100,26660,34410,44250,51820,2007
648,AL,11500,"Anniston-Oxford, AL",23-0000,major,80,38.1,23.66,49210,22.1,10.40,11.80,17.20,25.48,58.21,21640,24540,35780,53010,121080,2007
650,AL,11500,"Anniston-Oxford, AL",25-0000,major,2820,5.2,17.59,36590,5.5,7.27,10.81,18.03,22.48,26.22,15120,22480,37490,46760,54540,2007
664,AL,11500,"Anniston-Oxford, AL",27-0000,major,340,15.2,19.29,40120,4.6,8.31,11.65,18.15,24.98,30.88,17280,24240,37760,51960,64230,2007
668,AL,11500,"Anniston-Oxford, AL",29-0000,major,2550,10.7,27.42,57040,5.0,10.48,15.25,21.14,27.52,53.05,21810,31730,43980,57240,110340,2007
681,AL,11500,"Anniston-Oxford, AL",31-0000,major,1250,11.3,10.28,21370,3.1,6.99,8.13,9.47,11.59,14.68,14530,16900,19700,24120,30530,2007
690,AL,11500,"Anniston-Oxford, AL",33-0000,major,1140,4.9,15.12,31440,4.6,7.48,9.82,15.67,18.79,22.35,15560,20420,32600,39080,46480,2007
697,AL,11500,"Anniston-Oxford, AL",35-0000,major,4820,4.7,7.58,15760,1.9,5.67,6.12,6.87,8.14,10.74,11800,12740,14300,16940,22340,2007
711,AL,11500,"Anniston-Oxford, AL",37-0000,major,1590,7.4,11.11,23100,3.6,6.59,8.24,10.97,13.95,15.49,13700,17140,22820,29020,32220,2007
717,AL,11500,"Anniston-Oxford, AL",39-0000,major,1010,9.1,7.92,16480,8.1,5.60,6.04,6.76,7.64,11.89,11650,12550,14070,15900,24740,2007
721,AL,11500,"Anniston-Oxford, AL",41-0000,major,5160,4.1,12.27,25530,3.8,5.98,6.97,8.97,13.85,21.68,12430,14500,18660,28800,45090,2007
732,AL,11500,"Anniston-Oxford, AL",43-0000,major,7130,3.5,13.04,27120,2.4,7.38,9.08,11.92,16.24,20.16,15340,18880,24800,33780,41930,2007
763,AL,11500,"Anniston-Oxford, AL",47-0000,major,1950,31.9,14.81,30810,3.1,8.71,10.78,13.89,18.34,22.60,18120,22430,28880,38140,47020,2007
778,AL,11500,"Anniston-Oxford, AL",49-0000,major,4020,3.2,18.15,37760,3.9,10.84,15.19,18.08,21.77,24.26,22550,31600,37600,45270,50470,2007
795,AL,11500,"Anniston-Oxford, AL",51-0000,major,6320,9.3,14.42,29990,4.3,7.82,9.64,13.42,17.85,22.46,16270,20040,27910,37140,46720,2007
825,AL,11500,"Anniston-Oxford, AL",53-0000,major,3980,4.2,12.55,26110,3.8,6.41,8.26,11.48,15.32,20.99,13330,17180,23880,31880,43650,2007
843,AL,12220,"Auburn-Opelika, AL",11-0000,major,1730,4.6,37.67,78350,4.2,14.42,21.00,32.72,47.04,#,29990,43680,68050,97850,#,2007
857,AL,12220,"Auburn-Opelika, AL",13-0000,major,750,5.6,24.74,51460,3.9,13.09,16.47,21.35,30.12,39.03,27240,34260,44420,62650,81180,2007
866,AL,12220,"Auburn-Opelika, AL",15-0000,major,640,15.2,22.89,47610,7.0,9.00,11.83,23.18,30.04,36.74,18730,24610,48210,62490,76420,2007
872,AL,12220,"Auburn-Opelika, AL",17-0000,major,590,10.7,25.96,54000,3.2,12.58,17.31,24.59,32.83,43.60,26170,36010,51150,68290,90680,2007
879,AL,12220,"Auburn-Opelika, AL",19-0000,major,460,4.7,24.41,50780,4.9,13.58,16.69,22.21,29.24,36.91,28250,34720,46200,60820,76770,2007
881,AL,12220,"Auburn-Opelika, AL",21-0000,major,500,7.9,17.90,37230,5.3,8.93,13.25,17.83,22.45,26.33,18580,27560,37080,46690,54770,2007
887,AL,12220,"Auburn-Opelika, AL",23-0000,major,60,35.7,30.89,64250,10.9,9.23,16.23,21.30,47.43,64.33,19200,33760,44310,98650,133810,2007
888,AL,12220,"Auburn-Opelika, AL",25-0000,major,4340,6.0,23.57,49030,15.3,8.21,13.53,19.75,29.73,47.00,17080,28130,41090,61840,97770,2007
901,AL,12220,"Auburn-Opelika, AL",27-0000,major,480,10.5,20.81,43280,13.9,8.64,10.98,16.99,23.80,35.27,17960,22840,35340,49510,73370,2007
904,AL,12220,"Auburn-Opelika, AL",29-0000,major,2000,5.6,28.48,59250,7.8,10.61,15.14,21.81,29.83,56.42,22070,31490,45360,62040,117350,2007
917,AL,12220,"Auburn-Opelika, AL",31-0000,major,1040,9.9,9.87,20520,3.7,6.21,7.52,8.92,11.52,14.90,12920,15630,18550,23950,30980,2007
925,AL,12220,"Auburn-Opelika, AL",33-0000,major,1180,30.3,14.18,29490,6.0,7.63,8.91,14.19,17.58,21.89,15870,18520,29520,36560,45540,2007
933,AL,12220,"Auburn-Opelika, AL",35-0000,major,5150,3.0,7.69,16000,1.9,5.69,6.17,6.97,8.37,10.95,11830,12830,14500,17400,22780,2007
949,AL,12220,"Auburn-Opelika, AL",37-0000,major,2060,6.7,9.36,19470,3.0,5.95,6.85,8.37,10.60,14.37,12370,14240,17400,22040,29890,2007
956,AL,12220,"Auburn-Opelika, AL",39-0000,major,1270,14.5,8.13,16920,4.8,5.74,6.21,6.99,9.27,11.82,11930,12910,14540,19290,24590,2007
964,AL,12220,"Auburn-Opelika, AL",41-0000,major,5800,3.8,11.48,23880,3.4,5.95,6.94,8.80,12.79,19.78,12370,14440,18290,26600,41140,2007
976,AL,12220,"Auburn-Opelika, AL",43-0000,major,7010,3.2,12.26,25500,2.6,6.64,8.53,11.39,14.98,19.03,13810,17750,23690,31150,39580,2007
1007,AL,12220,"Auburn-Opelika, AL",45-0000,major,90,8.3,13.72,28540,3.8,9.24,11.05,13.49,16.14,18.94,19210,22990,28050,33570,39390,2007
1008,AL,12220,"Auburn-Opelika, AL",47-0000,major,2500,4.7,14.13,29380,2.2,8.22,9.98,13.08,16.73,22.13,17100,20750,27210,34800,46040,2007
1022,AL,12220,"Auburn-Opelika, AL",49-0000,major,1850,3.8,16.57,34460,2.4,8.62,12.02,16.34,19.83,25.71,17920,25000,33990,41240,53470,2007
1033,AL,12220,"Auburn-Opelika, AL",51-0000,major,5070,5.2,13.23,27510,5.2,7.26,9.72,11.64,15.85,22.05,15100,20210,24210,32980,45860,2007
1050,AL,12220,"Auburn-Opelika, AL",53-0000,major,3360,6.5,12.65,26310,3.3,6.68,9.07,12.36,15.29,18.19,13900,18870,25710,31800,37830,2007
1064,AL,13820,"Birmingham-Hoover, AL",11-0000,major,24930,2.0,44.04,91610,1.2,18.93,26.77,38.44,54.76,#,39370,55680,79950,113910,#,2007
1096,AL,13820,"Birmingham-Hoover, AL",13-0000,major,20690,3.1,29.83,62050,2.8,15.70,19.53,25.80,34.58,46.73,32660,40610,53670,71930,97200,2007
1126,AL,13820,"Birmingham-Hoover, AL",15-0000,major,9990,5.1,30.12,62650,1.1,17.07,21.89,29.59,37.73,45.19,35500,45530,61550,78480,94000,2007
1139,AL,13820,"Birmingham-Hoover, AL",17-0000,major,7940,5.1,28.54,59360,2.4,13.92,19.83,27.05,36.93,45.66,28950,41250,56270,76820,94980,2007
1165,AL,13820,"Birmingham-Hoover, AL",19-0000,major,3050,6.2,23.75,49410,3.9,13.32,16.58,21.09,28.88,37.68,27710,34480,43870,60070,78370,2007
1180,AL,13820,"Birmingham-Hoover, AL",21-0000,major,4670,4.9,18.75,38990,2.1,11.02,13.71,17.57,22.99,28.46,22920,28510,36550,47810,59200,2007
1195,AL,13820,"Birmingham-Hoover, AL",23-0000,major,4270,6.0,40.45,84130,4.4,16.12,21.04,30.58,49.14,#,33530,43770,63620,102200,#,2007
1204,AL,13820,"Birmingham-Hoover, AL",25-0000,major,26390,4.8,19.95,41500,5.3,8.42,11.69,18.82,23.73,30.58,17510,24320,39140,49350,63600,2007
1238,AL,13820,"Birmingham-Hoover, AL",27-0000,major,5410,5.6,18.61,38710,3.1,8.22,11.23,16.57,23.08,30.93,17100,23360,34460,48000,64330,2007
1265,AL,13820,"Birmingham-Hoover, AL",29-0000,major,33500,3.1,26.93,56010,2.1,12.09,16.54,22.91,29.76,43.81,25140,34400,47650,61910,91120,2007
1312,AL,13820,"Birmingham-Hoover, AL",31-0000,major,12610,4.2,11.06,23010,2.0,7.48,8.56,10.35,12.23,15.51,15550,17800,21520,25430,32250,2007
1326,AL,13820,"Birmingham-Hoover, AL",33-0000,major,12040,11.0,14.70,30580,3.5,6.77,8.57,12.64,19.09,26.11,14080,17840,26290,39700,54300,2007
1342,AL,13820,"Birmingham-Hoover, AL",35-0000,major,38800,2.4,8.12,16890,1.0,5.73,6.26,7.16,9.02,11.94,11910,13030,14890,18750,24840,2007
1360,AL,13820,"Birmingham-Hoover, AL",37-0000,major,13950,2.9,9.89,20570,1.9,6.06,7.10,8.88,11.38,15.37,12600,14770,18470,23680,31970,2007
1368,AL,13820,"Birmingham-Hoover, AL",39-0000,major,8660,4.9,10.52,21880,2.8,5.98,6.93,8.56,11.77,18.40,12440,14420,17800,24470,38270,2007
1387,AL,13820,"Birmingham-Hoover, AL",41-0000,major,61660,1.8,16.23,33770,2.1,6.55,8.22,11.28,18.97,32.37,13620,17100,23460,39460,67330,2007
1407,AL,13820,"Birmingham-Hoover, AL",43-0000,major,95250,1.5,14.23,29600,0.6,8.00,10.23,13.24,17.49,22.22,16640,21280,27550,36370,46230,2007
1460,AL,13820,"Birmingham-Hoover, AL",45-0000,major,990,17.1,11.88,24710,4.8,7.10,10.07,11.40,13.40,17.28,14770,20950,23710,27870,35950,2007
1468,AL,13820,"Birmingham-Hoover, AL",47-0000,major,28210,2.9,16.77,34870,1.4,9.44,11.75,15.26,20.50,25.27,19630,24450,31750,42640,52560,2007
1508,AL,13820,"Birmingham-Hoover, AL",49-0000,major,24990,2.8,18.42,38310,1.5,9.20,12.78,17.49,23.21,28.97,19140,26590,36380,48280,60260,2007
1543,AL,13820,"Birmingham-Hoover, AL",51-0000,major,36780,3.1,14.64,30450,1.9,7.91,9.81,13.32,17.59,23.15,16460,20410,27710,36590,48160,2007
1616,AL,13820,"Birmingham-Hoover, AL",53-0000,major,40430,3.2,13.29,27650,1.4,6.73,8.58,11.64,16.37,22.48,14000,17840,24220,34040,46760,2007
1645,AL,19460,"Decatur, AL",11-0000,major,1970,4.3,37.97,78970,2.4,18.20,23.42,32.12,46.40,63.66,37860,48720,66810,96500,132410,2007
1657,AL,19460,"Decatur, AL",13-0000,major,1260,8.3,25.35,52730,3.1,13.93,17.49,22.58,30.80,41.49,28960,36380,46960,64050,86310,2007
1670,AL,19460,"Decatur, AL",15-0000,major,230,10.5,27.16,56500,3.8,13.57,19.12,25.32,34.62,44.33,28230,39760,52660,72000,92200,2007
1675,AL,19460,"Decatur, AL",17-0000,major,930,7.9,31.11,64720,4.1,15.38,21.92,30.22,40.11,48.47,31990,45590,62860,83440,100810,2007
1687,AL,19460,"Decatur, AL",19-0000,major,200,19.8,25.10,52200,3.8,13.81,18.87,25.77,30.25,36.27,28710,39240,53590,62930,75450,2007
1690,AL,19460,"Decatur, AL",21-0000,major,440,9.8,18.48,38440,3.4,10.26,13.50,17.50,23.52,28.51,21330,28090,36390,48920,59290,2007
1695,AL,19460,"Decatur, AL",23-0000,major,140,42.6,25.74,53550,12.4,12.85,14.95,22.43,28.57,48.81,26720,31100,46650,59430,101530,2007
1698,AL,19460,"Decatur, AL",25-0000,major,3110,9.3,18.74,38980,2.2,9.38,14.40,20.19,23.24,25.41,19510,29950,41990,48340,52860,2007
1711,AL,19460,"Decatur, AL",27-0000,major,220,13.8,13.93,28980,7.1,6.54,9.04,12.69,17.29,24.29,13590,18810,26390,35950,50520,2007
1715,AL,19460,"Decatur, AL",29-0000,major,2820,4.8,27.78,57780,6.6,10.79,13.84,19.42,30.44,57.28,22440,28780,40400,63320,119140,2007
1731,AL,19460,"Decatur, AL",31-0000,major,1080,8.2,10.80,22470,5.2,6.49,7.96,9.60,12.14,18.44,13510,16550,19970,25250,38350,2007
1741,AL,19460,"Decatur, AL",33-0000,major,1080,19.2,15.12,31440,8.9,7.06,10.24,13.81,19.92,24.28,14690,21290,28730,41430,50510,2007
1746,AL,19460,"Decatur, AL",35-0000,major,4200,4.3,7.66,15920,1.7,5.71,6.18,6.96,8.39,10.93,11870,12850,14480,17450,22720,2007
1759,AL,19460,"Decatur, AL",37-0000,major,1430,6.3,9.67,20110,3.3,6.04,7.02,8.68,11.29,14.76,12550,14600,18050,23480,30700,2007
1765,AL,19460,"Decatur, AL",39-0000,major,720,16.9,9.35,19440,4.5,5.83,6.55,7.92,10.57,15.18,12130,13620,16480,21990,31580,2007
1771,AL,19460,"Decatur, AL",41-0000,major,5230,5.8,12.93,26900,3.7,5.98,6.99,9.28,15.25,23.65,12440,14530,19310,31710,49200,2007
1782,AL,19460,"Decatur, AL",43-0000,major,7140,3.7,13.06,27160,1.4,7.76,9.33,12.00,15.53,20.03,16140,19410,24970,32290,41650,2007
1815,AL,19460,"Decatur, AL",45-0000,major,210,21.7,10.31,21440,5.1,6.12,7.01,8.62,10.82,19.57,12730,14570,17940,22510,40700,2007
1817,AL,19460,"Decatur, AL",47-0000,major,3070,9.7,15.75,32770,2.3,9.61,11.96,15.01,18.63,23.08,19990,24870,31230,38740,48010,2007
1837,AL,19460,"Decatur, AL",49-0000,major,3180,7.9,18.28,38030,3.1,9.89,12.83,17.37,23.20,28.14,20570,26690,36120,48260,58540,2007
1855,AL,19460,"Decatur, AL",51-0000,major,11180,7.1,14.40,29950,4.0,7.72,9.64,12.98,17.85,23.13,16050,20040,27000,37130,48100,2007
1885,AL,19460,"Decatur, AL",53-0000,major,4820,6.3,13.64,28370,2.5,6.97,8.92,11.95,17.18,23.71,14490,18550,24860,35730,49310,2007
1902,AL,20020,"Dothan, AL",11-0000,major,2590,7.2,34.46,71670,3.7,13.16,20.91,30.26,43.63,59.14,27370,43490,62930,90750,123010,2007
1917,AL,20020,"Dothan, AL",13-0000,major,1190,8.2,26.17,54440,4.4,12.53,16.34,21.59,31.96,44.78,26070,33980,44920,66490,93150,2007
1931,AL,20020,"Dothan, AL",15-0000,major,320,6.5,24.38,50710,3.3,11.25,16.47,23.43,31.81,37.82,23400,34260,48730,66170,78660,2007
1937,AL,20020,"Dothan, AL",17-0000,major,630,9.5,27.56,57320,4.7,11.84,17.31,26.18,34.29,41.98,24640,36000,54450,71320,87320,2007
1941,AL,20020,"Dothan, AL",19-0000,major,210,11.6,26.55,55220,5.8,13.49,15.83,23.17,33.97,41.37,28060,32930,48190,70660,86040,2007
1943,AL,20020,"Dothan, AL",21-0000,major,630,12.8,16.22,33750,3.4,8.04,12.33,15.28,20.92,24.57,16720,25650,31780,43520,51100,2007
1948,AL,20020,"Dothan, AL",23-0000,major,310,10.7,44.08,91690,20.7,11.86,14.55,27.12,#,#,24680,30270,56410,#,#,2007
1951,AL,20020,"Dothan, AL",25-0000,major,2630,7.8,17.27,35920,2.2,8.06,12.81,18.59,21.92,24.13,16770,26640,38670,45580,50190,2007
1964,AL,20020,"Dothan, AL",27-0000,major,430,9.3,14.50,30170,3.7,8.02,9.89,12.91,17.34,23.17,16680,20580,26850,36060,48190,2007
1970,AL,20020,"Dothan, AL",29-0000,major,9770,36.2,26.06,54200,3.7,13.35,17.37,22.92,27.65,38.88,27780,36120,47680,57520,80870,2007
1991,AL,20020,"Dothan, AL",31-0000,major,2630,14.2,10.52,21880,4.7,7.53,8.37,9.90,11.54,14.76,15660,17420,20590,24000,30700,2007
2001,AL,20020,"Dothan, AL",33-0000,major,1380,3.7,13.45,27980,5.0,6.45,8.72,13.07,16.77,20.90,13420,18140,27180,34880,43460,2007
2006,AL,20020,"Dothan, AL",35-0000,major,5490,3.5,7.88,16400,1.8,5.73,6.23,7.07,8.66,11.12,11910,12960,14710,18020,23140,2007
2021,AL,20020,"Dothan, AL",37-0000,major,1440,12.8,9.21,19160,2.3,6.11,7.20,8.70,10.60,12.63,12710,14980,18100,22040,26260,2007
2028,AL,20020,"Dothan, AL",39-0000,major,1150,11.3,8.95,18610,5.6,5.74,6.34,7.35,9.27,13.62,11950,13180,15290,19270,28320,2007
2035,AL,20020,"Dothan, AL",41-0000,major,7580,4.3,12.50,26000,3.1,6.04,7.08,9.53,14.86,22.55,12570,14730,19820,30910,46910,2007
2047,AL,20020,"Dothan, AL",43-0000,major,10050,4.2,12.38,25750,2.1,7.31,9.01,11.32,14.56,18.52,15210,18730,23550,30280,38530,2007
2085,AL,20020,"Dothan, AL",45-0000,major,450,20.0,12.05,25070,4.6,6.87,10.09,11.99,13.87,15.40,14290,20980,24940,28860,32030,2007
2089,AL,20020,"Dothan, AL",47-0000,major,3250,4.5,15.62,32490,4.4,8.29,10.15,13.77,18.17,23.16,17250,21120,28640,37800,48180,2007
2108,AL,20020,"Dothan, AL",49-0000,major,3160,6.7,15.81,32880,2.9,8.14,11.36,14.81,19.94,24.23,16940,23630,30810,41480,50410,2007
2123,AL,20020,"Dothan, AL",51-0000,major,6140,13.2,11.61,24140,4.0,6.48,8.00,10.36,13.42,17.97,13480,16640,21560,27910,37370,2007
2148,AL,20020,"Dothan, AL",53-0000,major,5570,4.3,13.25,27560,3.5,6.37,8.07,11.08,17.45,23.61,13240,16790,23040,36300,49110,2007
2164,AL,22520,"Florence-Muscle Shoals, AL",11-0000,major,1760,5.7,35.34,73510,2.7,16.45,22.06,30.48,43.24,58.84,34230,45890,63390,89940,122390,2007
2178,AL,22520,"Florence-Muscle Shoals, AL",13-0000,major,970,7.8,23.19,48230,3.4,12.58,15.66,19.88,28.05,38.34,26180,32580,41350,58340,79750,2007
2189,AL,22520,"Florence-Muscle Shoals, AL",15-0000,major,240,13.7,20.91,43490,2.9,13.02,15.44,19.86,26.24,30.07,27090,32100,41310,54570,62540,2007
2194,AL,22520,"Florence-Muscle Shoals, AL",17-0000,major,520,8.8,24.25,50450,4.5,11.53,14.98,21.17,30.25,41.74,23970,31170,44040,62910,86820,2007
2202,AL,22520,"Florence-Muscle Shoals, AL",19-0000,major,100,16.1,23.17,48200,2.2,14.17,17.49,22.85,27.94,34.06,29470,36390,47520,58110,70850,2007
2203,AL,22520,"Florence-Muscle Shoals, AL",21-0000,major,550,16.2,16.46,34240,5.8,8.05,10.89,14.78,20.11,25.23,16740,22640,30730,41820,52490,2007
2211,AL,22520,"Florence-Muscle Shoals, AL",23-0000,major,160,16.1,37.97,78980,11.3,15.34,18.80,39.79,52.92,65.08,31900,39100,82760,110070,135360,2007
2213,AL,22520,"Florence-Muscle Shoals, AL",25-0000,major,3330,7.0,16.51,34340,6.4,7.38,8.74,17.15,21.81,25.26,15350,18170,35680,45360,52530,2007
2227,AL,22520,"Florence-Muscle Shoals, AL",27-0000,major,420,19.3,12.22,25420,5.4,6.69,8.07,10.32,14.69,21.02,13920,16790,21460,30550,43710,2007
2232,AL,22520,"Florence-Muscle Shoals, AL",29-0000,major,3160,4.4,27.84,57910,8.3,10.62,13.91,19.39,27.51,65.01,22100,28930,40320,57230,135230,2007
2244,AL,22520,"Florence-Muscle Shoals, AL",31-0000,major,1570,6.8,9.44,19630,2.9,6.47,7.67,8.75,10.68,13.17,13460,15950,18200,22210,27390,2007
2252,AL,22520,"Florence-Muscle Shoals, AL",33-0000,major,760,6.6,14.05,29230,3.9,7.79,10.19,13.40,16.94,21.60,16200,21200,27860,35240,44940,2007
