,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
1,AK,11260,"Anchorage, AK",11-0000,major,11910,2.5,71.930,41.34,85990,1.3,18.97,26.34,37.30,50.90,67.58,39460,54790,77590,105860,140560,2009
29,AK,11260,"Anchorage, AK",13-0000,major,6940,3.1,41.919,31.54,65610,2.5,16.65,21.88,29.20,38.08,48.71,34630,45510,60740,79210,101320,2009
53,AK,11260,"Anchorage, AK",15-0000,major,3110,4.4,18.801,32.20,66970,2.2,19.01,23.62,31.56,39.54,47.97,39550,49130,65650,82240,99770,2009
64,AK,11260,"Anchorage, AK",17-0000,major,5370,3.1,32.427,45.83,95330,6.0,23.47,30.62,40.89,55.61,76.04,48810,63700,85060,115670,158170,2009
87,AK,11260,"Anchorage, AK",19-0000,major,2830,3.4,17.074,32.91,68460,2.8,16.26,21.52,30.28,40.51,52.36,33830,44760,62970,84270,108900,2009
105,AK,11260,"Anchorage, AK",21-0000,major,3070,7.1,18.521,21.57,44870,4.1,12.13,15.19,20.08,26.54,33.43,25230,31600,41770,55200,69530,2009
119,AK,11260,"Anchorage, AK",23-0000,major,1480,5.9,8.910,36.41,75730,7.3,19.82,22.25,31.12,44.23,57.58,41210,46270,64740,92000,119760,2009
124,AK,11260,"Anchorage, AK",25-0000,major,9690,2.6,58.480,28.36,59000,2.6,9.31,18.42,28.16,37.06,46.48,19360,38300,58570,77080,96680,2009
135,AK,11260,"Anchorage, AK",27-0000,major,1540,9.2,9.315,22.15,46070,3.2,10.94,14.63,19.63,27.91,37.13,22760,30440,40840,58050,77230,2009
152,AK,11260,"Anchorage, AK",29-0000,major,9110,7.0,55.024,37.30,77590,2.6,16.74,23.91,33.84,42.90,60.54,34810,49720,70400,89230,125920,2009
183,AK,11260,"Anchorage, AK",31-0000,major,4750,5.9,28.684,17.32,36020,4.8,10.88,13.28,15.40,19.26,24.01,22620,27630,32030,40060,49940,2009
193,AK,11260,"Anchorage, AK",33-0000,major,4120,3.2,24.875,21.07,43830,6.6,11.52,13.17,18.85,27.11,35.56,23950,27390,39210,56390,73970,2009
202,AK,11260,"Anchorage, AK",35-0000,major,13480,2.8,81.378,11.28,23460,3.1,7.72,8.29,9.53,12.11,16.37,16050,17240,19820,25180,34040,2009
219,AK,11260,"Anchorage, AK",37-0000,major,5180,3.2,31.294,14.68,30530,4.4,8.67,10.59,12.89,16.46,24.11,18040,22020,26800,34240,50140,2009
227,AK,11260,"Anchorage, AK",39-0000,major,5250,8.5,31.683,12.67,26350,1.9,7.99,9.10,12.06,14.85,18.36,16610,18930,25070,30900,38180,2009
242,AK,11260,"Anchorage, AK",41-0000,major,15970,3.4,96.411,15.88,33020,2.6,8.33,9.96,12.36,17.98,27.21,17320,20720,25720,37390,56600,2009
260,AK,11260,"Anchorage, AK",43-0000,major,28860,1.8,174.206,18.17,37790,0.8,11.11,13.63,17.09,21.87,26.30,23110,28350,35540,45490,54710,2009
303,AK,11260,"Anchorage, AK",45-0000,major,60,17.9,0.354,10.21,21230,2.7,7.51,8.26,9.09,9.92,15.21,15630,17190,18900,20630,31640,2009
304,AK,11260,"Anchorage, AK",47-0000,major,9760,4.9,58.936,28.97,60260,1.7,16.88,22.19,28.68,35.59,41.11,35110,46150,59660,74020,85500,2009
329,AK,11260,"Anchorage, AK",49-0000,major,7220,3.7,43.609,25.71,53480,2.0,13.54,18.08,25.26,32.95,39.03,28160,37600,52540,68530,81180,2009
357,AK,11260,"Anchorage, AK",51-0000,major,3170,6.1,19.167,19.82,41220,3.0,10.00,12.35,17.27,25.59,33.86,20810,25680,35920,53220,70430,2009
385,AK,11260,"Anchorage, AK",53-0000,major,12760,2.9,77.004,21.34,44390,4.1,10.01,12.83,17.42,24.95,37.87,20820,26690,36230,51890,78760,2009
413,AK,21820,"Fairbanks, AK",11-0000,major,2310,4.2,65.564,38.67,80440,3.0,19.42,24.33,34.48,47.54,64.91,40400,50600,71720,98890,135010,2009
429,AK,21820,"Fairbanks, AK",13-0000,major,1420,4.9,40.333,29.69,61760,2.1,17.08,22.40,28.28,35.61,44.48,35520,46590,58810,74060,92510,2009
442,AK,21820,"Fairbanks, AK",15-0000,major,480,3.7,13.588,32.55,67700,3.9,17.55,25.03,31.87,38.52,47.40,36510,52060,66300,80120,98590,2009
449,AK,21820,"Fairbanks, AK",17-0000,major,670,9.0,18.907,37.89,78810,5.6,22.48,28.19,35.41,44.34,58.84,46750,58630,73660,92220,122380,2009
455,AK,21820,"Fairbanks, AK",19-0000,major,1240,4.8,35.212,27.15,56470,1.7,15.99,20.29,25.74,33.21,39.80,33250,42210,53530,69070,82780,2009
463,AK,21820,"Fairbanks, AK",21-0000,major,740,31.7,21.035,23.09,48030,5.0,14.07,17.23,21.63,26.32,34.20,29270,35830,44990,54740,71140,2009
467,AK,21820,"Fairbanks, AK",23-0000,major,190,7.9,5.291,42.29,87950,7.3,20.53,25.24,37.81,52.63,67.32,42710,52500,78640,109470,140030,2009
472,AK,21820,"Fairbanks, AK",27-0000,major,260,6.4,7.331,20.77,43200,4.5,10.68,13.54,20.94,25.35,31.93,22220,28160,43560,52730,66410,2009
475,AK,21820,"Fairbanks, AK",29-0000,major,1240,12.0,35.011,33.97,70660,5.1,15.98,19.96,26.18,39.76,60.27,33240,41510,54460,82690,125360,2009
487,AK,21820,"Fairbanks, AK",31-0000,major,580,7.2,16.512,16.73,34800,4.1,11.21,13.96,16.11,18.95,22.34,23320,29030,33510,39410,46470,2009
492,AK,21820,"Fairbanks, AK",33-0000,major,930,7.6,26.294,20.33,42280,4.8,9.45,12.78,18.82,26.31,33.56,19670,26580,39140,54720,69800,2009
498,AK,21820,"Fairbanks, AK",35-0000,major,2900,11.9,82.295,10.52,21890,2.3,7.75,8.26,9.27,11.47,15.07,16120,17180,19290,23860,31340,2009
511,AK,21820,"Fairbanks, AK",37-0000,major,1020,5.3,28.961,14.66,30490,4.1,8.80,10.36,13.26,17.37,23.53,18300,21550,27570,36130,48940,2009
516,AK,21820,"Fairbanks, AK",39-0000,major,850,25.8,23.973,14.01,29140,3.7,8.29,10.38,14.24,16.71,18.53,17250,21580,29610,34760,38540,2009
525,AK,21820,"Fairbanks, AK",41-0000,major,3150,5.2,89.144,14.69,30560,2.6,8.73,10.30,12.67,16.66,23.78,18160,21420,26360,34650,49460,2009
536,AK,21820,"Fairbanks, AK",43-0000,major,6390,2.6,181.067,17.84,37110,1.7,11.15,13.56,17.04,21.20,25.68,23200,28210,35440,44090,53420,2009
567,AK,21820,"Fairbanks, AK",47-0000,major,2570,7.1,72.853,28.71,59720,2.4,17.16,22.64,29.15,34.49,39.79,35680,47090,60620,71730,82760,2009
580,AK,21820,"Fairbanks, AK",49-0000,major,2110,7.0,59.866,26.42,54960,2.8,13.41,18.85,26.98,33.61,39.28,27880,39210,56130,69900,81690,2009
595,AK,21820,"Fairbanks, AK",51-0000,major,1090,19.0,30.780,25.26,52540,4.1,12.52,17.51,25.25,32.29,37.84,26040,36420,52520,67170,78710,2009
605,AK,21820,"Fairbanks, AK",53-0000,major,2450,7.5,69.492,20.17,41940,3.7,10.65,13.45,17.26,25.95,33.81,22150,27980,35910,53980,70330,2009
618,AL,11500,"Anniston-Oxford, AL",11-0000,major,1380,5.0,29.883,38.39,79860,2.5,18.61,25.28,33.44,45.45,63.91,38710,52580,69560,94540,132940,2009
630,AL,11500,"Anniston-Oxford, AL",13-0000,major,1470,3.6,31.861,27.04,56240,3.8,14.30,20.16,26.15,32.54,40.24,29750,41930,54390,67690,83700,2009
640,AL,11500,"Anniston-Oxford, AL",15-0000,major,450,29.6,9.755,33.40,69480,4.1,14.22,24.39,34.90,41.75,49.20,29580,50740,72590,86840,102340,2009
645,AL,11500,"Anniston-Oxford, AL",17-0000,major,660,9.2,14.239,31.04,64560,4.5,15.32,21.98,29.08,38.59,48.48,31870,45720,60480,80260,100840,2009
652,AL,11500,"Anniston-Oxford, AL",19-0000,major,260,15.7,5.732,25.02,52040,3.9,16.87,19.09,23.20,29.70,37.08,35100,39710,48260,61770,77130,2009
653,AL,11500,"Anniston-Oxford, AL",21-0000,major,450,12.6,9.693,17.21,35800,4.9,8.90,11.63,16.50,22.27,26.69,18510,24180,34320,46330,55510,2009
660,AL,11500,"Anniston-Oxford, AL",23-0000,major,130,19.5,2.731,21.79,45310,8.5,11.60,17.58,20.69,23.42,27.83,24120,36560,43040,48710,57880,2009
663,AL,11500,"Anniston-Oxford, AL",25-0000,major,2400,31.0,51.934,21.31,44330,4.5,9.19,17.14,21.81,25.83,29.41,19110,35650,45370,53740,61170,2009
674,AL,11500,"Anniston-Oxford, AL",27-0000,major,430,15.2,9.342,19.09,39710,5.4,8.48,11.74,18.33,24.57,30.74,17630,24420,38120,51110,63930,2009
680,AL,11500,"Anniston-Oxford, AL",29-0000,major,2740,9.5,59.207,26.86,55860,4.9,11.85,16.05,22.25,28.50,44.15,24660,33390,46280,59280,91830,2009
693,AL,11500,"Anniston-Oxford, AL",31-0000,major,1200,11.7,25.882,11.61,24150,2.9,7.66,8.74,10.60,13.27,18.03,15940,18180,22050,27590,37490,2009
703,AL,11500,"Anniston-Oxford, AL",33-0000,major,1080,14.5,23.456,18.11,37660,2.5,11.22,15.14,18.13,20.70,24.47,23340,31480,37710,43060,50890,2009
709,AL,11500,"Anniston-Oxford, AL",35-0000,major,4250,5.5,92.005,8.59,17860,2.0,6.83,7.15,7.70,9.13,12.26,14200,14870,16010,19000,25490,2009
724,AL,11500,"Anniston-Oxford, AL",37-0000,major,1530,7.6,33.196,11.25,23400,4.0,7.27,8.31,10.32,14.10,16.84,15120,17280,21470,29320,35020,2009
730,AL,11500,"Anniston-Oxford, AL",39-0000,major,1170,8.9,25.265,9.17,19070,3.8,6.84,7.17,7.74,9.43,14.07,14230,14920,16090,19610,29270,2009
737,AL,11500,"Anniston-Oxford, AL",41-0000,major,5150,7.4,111.473,12.03,25030,4.4,6.86,7.32,8.73,13.05,20.43,14260,15220,18170,27140,42490,2009
748,AL,11500,"Anniston-Oxford, AL",43-0000,major,6870,4.5,148.689,13.47,28010,3.1,7.64,9.26,12.20,16.84,20.95,15890,19260,25380,35030,43570,2009
779,AL,11500,"Anniston-Oxford, AL",45-0000,major,30,16.0,0.677,12.24,25470,6.6,8.69,9.62,11.97,14.59,17.08,18080,20000,24900,30340,35520,2009
780,AL,11500,"Anniston-Oxford, AL",47-0000,major,1630,7.6,35.269,16.47,34250,3.3,10.17,12.44,16.03,19.96,23.39,21160,25870,33330,41510,48640,2009
790,AL,11500,"Anniston-Oxford, AL",49-0000,major,3910,4.4,84.594,19.57,40710,3.2,12.39,16.20,19.91,22.67,25.52,25780,33700,41420,47150,53090,2009
807,AL,11500,"Anniston-Oxford, AL",51-0000,major,5500,4.8,118.982,15.75,32760,3.8,9.17,11.29,14.74,19.50,23.52,19080,23480,30650,40560,48930,2009
838,AL,11500,"Anniston-Oxford, AL",53-0000,major,3520,5.8,76.137,13.75,28590,3.6,7.30,8.73,12.77,17.22,22.38,15180,18170,26570,35820,46550,2009
855,AL,12220,"Auburn-Opelika, AL",11-0000,major,1820,4.4,38.423,44.71,93000,5.4,20.40,28.24,39.69,53.54,76.13,42430,58740,82560,111360,158350,2009
868,AL,12220,"Auburn-Opelika, AL",13-0000,major,1010,8.6,21.400,26.21,54510,2.9,14.63,18.05,23.66,32.05,42.93,30430,37540,49200,66670,89300,2009
879,AL,12220,"Auburn-Opelika, AL",15-0000,major,550,6.7,11.513,27.74,57700,4.3,12.56,21.29,27.96,34.40,41.35,26120,44290,58160,71550,86000,2009
885,AL,12220,"Auburn-Opelika, AL",17-0000,major,600,4.5,12.599,28.89,60100,3.6,13.91,19.74,27.59,36.89,46.04,28930,41050,57380,76730,95760,2009
890,AL,12220,"Auburn-Opelika, AL",19-0000,major,560,1.8,11.788,28.26,58780,2.1,15.64,19.85,26.22,35.50,43.90,32530,41300,54530,73830,91300,2009
894,AL,12220,"Auburn-Opelika, AL",21-0000,major,580,5.8,12.275,20.37,42360,4.7,9.98,15.97,20.09,25.25,30.24,20750,33220,41780,52510,62900,2009
900,AL,12220,"Auburn-Opelika, AL",23-0000,major,**,**,**,31.97,66500,13.3,16.41,18.54,25.86,42.21,54.00,34120,38560,53790,87800,112320,2009
902,AL,12220,"Auburn-Opelika, AL",25-0000,major,4810,4.4,101.472,29.91,62220,11.8,11.45,18.59,24.84,38.01,55.21,23820,38660,51680,79070,114830,2009
915,AL,12220,"Auburn-Opelika, AL",27-0000,major,650,5.3,13.720,24.74,51450,14.8,8.23,12.15,20.03,28.19,41.04,17120,25270,41660,58630,85360,2009
920,AL,12220,"Auburn-Opelika, AL",29-0000,major,2220,5.0,46.802,26.44,54990,4.4,11.30,15.65,21.79,28.91,42.12,23500,32560,45320,60140,87610,2009
934,AL,12220,"Auburn-Opelika, AL",31-0000,major,1070,7.8,22.674,10.49,21820,2.6,7.58,8.42,9.59,12.11,15.19,15770,17520,19940,25200,31600,2009
940,AL,12220,"Auburn-Opelika, AL",33-0000,major,1000,22.6,21.069,16.84,35040,4.6,7.54,10.83,16.28,21.58,27.21,15690,22520,33870,44890,56590,2009
946,AL,12220,"Auburn-Opelika, AL",35-0000,major,4960,3.5,104.834,8.45,17580,1.7,6.83,7.15,7.68,8.89,11.01,14200,14860,15970,18500,22900,2009
959,AL,12220,"Auburn-Opelika, AL",37-0000,major,1740,5.3,36.744,10.54,21920,3.8,7.02,7.63,9.00,11.62,16.50,14600,15880,18730,24160,34320,2009
965,AL,12220,"Auburn-Opelika, AL",39-0000,major,1020,10.7,21.451,9.82,20430,5.2,6.85,7.20,7.81,10.86,15.73,14240,14970,16250,22590,32720,2009
971,AL,12220,"Auburn-Opelika, AL",41-0000,major,6020,4.5,127.199,12.12,25210,3.1,6.87,7.36,9.16,13.27,21.09,14300,15310,19060,27600,43870,2009
982,AL,12220,"Auburn-Opelika, AL",43-0000,major,6970,3.3,147.183,13.77,28650,3.2,7.56,9.28,12.75,17.10,21.56,15720,19310,26510,35570,44840,2009
1010,AL,12220,"Auburn-Opelika, AL",45-0000,major,160,4.3,3.332,16.78,34900,2.3,11.66,14.25,16.71,19.58,22.30,24260,29640,34750,40720,46370,2009
1011,AL,12220,"Auburn-Opelika, AL",47-0000,major,2110,7.2,44.561,15.36,31960,2.8,8.79,10.59,14.06,17.91,23.85,18290,22030,29250,37250,49610,2009
1026,AL,12220,"Auburn-Opelika, AL",49-0000,major,1720,5.4,36.414,18.00,37450,2.6,9.44,13.01,17.60,22.14,27.62,19630,27070,36600,46050,57450,2009
1039,AL,12220,"Auburn-Opelika, AL",51-0000,major,4590,5.8,96.896,14.60,30370,4.6,8.32,10.38,12.40,17.91,24.43,17310,21600,25800,37250,50810,2009
1058,AL,12220,"Auburn-Opelika, AL",53-0000,major,3140,6.5,66.338,13.31,27680,4.1,7.54,9.29,13.11,16.72,18.97,15680,19310,27270,34770,39460,2009
1073,AL,13820,"Birmingham-Hoover, AL",11-0000,major,23240,2.0,46.994,47.51,98820,1.5,20.77,28.63,40.50,57.77,#,43200,59550,84240,120150,#,2009
1105,AL,13820,"Birmingham-Hoover, AL",13-0000,major,19090,2.3,38.595,29.22,60780,1.9,15.77,19.87,26.14,34.33,44.75,32800,41320,54360,71410,93080,2009
1135,AL,13820,"Birmingham-Hoover, AL",15-0000,major,10140,6.7,20.501,32.02,66600,2.1,17.87,23.20,30.59,39.50,47.54,37170,48260,63620,82160,98880,2009
1148,AL,13820,"Birmingham-Hoover, AL",17-0000,major,6940,3.9,14.039,31.11,64710,2.0,15.99,21.86,29.98,39.70,48.11,33260,45480,62360,82580,100060,2009
1174,AL,13820,"Birmingham-Hoover, AL",19-0000,major,2780,6.0,5.619,25.83,53730,3.9,14.24,17.60,22.60,30.53,41.23,29610,36610,47000,63500,85760,2009
1187,AL,13820,"Birmingham-Hoover, AL",21-0000,major,4370,5.3,8.832,19.98,41560,2.0,10.70,14.57,18.76,24.87,30.89,22270,30300,39010,51740,64240,2009
1200,AL,13820,"Birmingham-Hoover, AL",23-0000,major,3950,6.4,7.982,44.73,93030,5.7,17.34,22.24,31.79,56.22,#,36070,46260,66120,116950,#,2009
1208,AL,13820,"Birmingham-Hoover, AL",25-0000,major,26010,3.8,52.605,23.23,48310,6.4,9.48,14.68,21.37,27.02,34.13,19710,30520,44460,56210,70990,2009
1241,AL,13820,"Birmingham-Hoover, AL",27-0000,major,6100,9.0,12.336,19.38,40310,4.4,7.44,10.24,16.78,24.48,33.96,15480,21300,34900,50920,70630,2009
1266,AL,13820,"Birmingham-Hoover, AL",29-0000,major,36190,2.2,73.174,29.03,60380,2.3,13.12,18.06,24.88,32.58,47.68,27280,37570,51740,67760,99170,2009
1311,AL,13820,"Birmingham-Hoover, AL",31-0000,major,13280,4.2,26.862,11.68,24300,1.7,7.89,9.11,10.85,13.19,16.36,16400,18950,22560,27440,34020,2009
1326,AL,13820,"Birmingham-Hoover, AL",33-0000,major,12460,3.5,25.200,16.74,34820,5.4,7.70,9.51,14.44,22.64,29.10,16010,19770,30030,47090,60540,2009
1342,AL,13820,"Birmingham-Hoover, AL",35-0000,major,36430,1.9,73.662,8.92,18540,1.3,6.86,7.24,7.91,9.45,12.39,14270,15050,16450,19660,25770,2009
1359,AL,13820,"Birmingham-Hoover, AL",37-0000,major,13780,7.7,27.868,10.78,22420,2.6,7.05,7.70,9.61,12.39,16.84,14660,16020,19980,25770,35030,2009
1368,AL,13820,"Birmingham-Hoover, AL",39-0000,major,10110,5.5,20.452,10.64,22130,2.6,6.96,7.50,8.65,11.35,18.19,14480,15600,18000,23600,37840,2009
1388,AL,13820,"Birmingham-Hoover, AL",41-0000,major,62150,2.1,125.671,16.52,34370,2.2,7.14,8.34,11.67,19.59,31.68,14850,17340,24280,40750,65890,2009
1408,AL,13820,"Birmingham-Hoover, AL",43-0000,major,92060,1.3,186.154,15.00,31190,0.6,8.34,10.73,13.92,18.24,23.53,17340,22330,28960,37950,48940,2009
1460,AL,13820,"Birmingham-Hoover, AL",45-0000,major,920,27.1,1.859,12.62,26250,6.6,7.51,9.03,10.90,14.64,21.37,15630,18780,22670,30450,44450,2009
1467,AL,13820,"Birmingham-Hoover, AL",47-0000,major,24420,3.2,49.379,17.31,36010,1.2,10.07,12.36,15.81,21.26,26.20,20950,25700,32880,44220,54510,2009
1506,AL,13820,"Birmingham-Hoover, AL",49-0000,major,22590,3.1,45.679,19.38,40300,1.1,9.93,13.62,18.63,24.17,30.09,20660,28330,38760,50270,62580,2009
1541,AL,13820,"Birmingham-Hoover, AL",51-0000,major,29940,4.2,60.550,15.47,32180,1.6,8.76,10.78,14.12,18.63,24.11,18210,22410,29370,38740,50140,2009
1620,AL,13820,"Birmingham-Hoover, AL",53-0000,major,37580,3.6,75.988,14.13,29380,1.8,7.45,8.99,12.49,17.64,23.40,15500,18700,25990,36690,48670,2009
1650,AL,19460,"Decatur, AL",11-0000,major,1830,4.3,35.506,40.98,85240,2.6,19.42,25.54,34.90,49.37,69.59,40390,53120,72580,102690,144750,2009
1663,AL,19460,"Decatur, AL",13-0000,major,1120,10.0,21.686,26.57,55260,3.2,14.44,18.22,23.82,31.72,42.41,30030,37900,49550,65970,88210,2009
1671,AL,19460,"Decatur, AL",15-0000,major,260,7.7,4.979,27.71,57650,4.6,14.02,19.29,26.70,34.44,44.31,29160,40130,55540,71640,92170,2009
1676,AL,19460,"Decatur, AL",17-0000,major,830,7.2,16.151,30.12,62650,4.2,13.35,18.45,29.56,40.16,49.54,27770,38370,61480,83530,103040,2009
1687,AL,19460,"Decatur, AL",19-0000,major,220,19.8,4.262,28.09,58420,2.7,17.99,22.00,26.98,32.90,41.72,37420,45760,56120,68430,86790,2009
1690,AL,19460,"Decatur, AL",21-0000,major,450,8.1,8.777,19.30,40130,3.8,10.37,13.76,18.72,24.90,29.10,21570,28630,38940,51780,60530,2009
1696,AL,19460,"Decatur, AL",23-0000,major,140,23.3,2.713,26.51,55140,10.7,13.63,16.08,20.72,30.51,45.89,28340,33440,43100,63470,95460,2009
1698,AL,19460,"Decatur, AL",25-0000,major,2810,6.0,54.389,20.07,41740,3.4,8.70,13.85,21.73,25.27,28.19,18100,28810,45190,52550,58640,2009
1710,AL,19460,"Decatur, AL",27-0000,major,220,12.5,4.203,14.98,31150,5.9,7.39,8.80,12.91,17.91,27.53,15380,18310,26850,37250,57260,2009
1712,AL,19460,"Decatur, AL",29-0000,major,2900,6.3,56.157,30.03,62450,6.7,11.58,14.97,20.67,31.53,62.27,24090,31130,43000,65570,129510,2009
1730,AL,19460,"Decatur, AL",31-0000,major,1320,8.1,25.570,11.19,23270,3.5,7.51,8.54,10.04,12.51,16.29,15620,17760,20880,26010,33880,2009
1739,AL,19460,"Decatur, AL",33-0000,major,1100,13.5,21.306,16.01,33310,8.0,7.83,10.44,15.00,20.91,25.61,16280,21720,31200,43480,53270,2009
1744,AL,19460,"Decatur, AL",35-0000,major,4060,5.2,78.697,8.27,17200,1.5,6.82,7.14,7.67,8.81,10.67,14190,14850,15960,18330,22180,2009
1755,AL,19460,"Decatur, AL",37-0000,major,1350,6.7,26.227,10.76,22390,3.0,7.15,8.00,10.01,12.84,15.78,14880,16640,20820,26700,32820,2009
1761,AL,19460,"Decatur, AL",39-0000,major,1070,11.1,20.707,9.99,20780,5.4,6.92,7.41,8.41,10.40,16.24,14400,15410,17500,21640,33790,2009
1770,AL,19460,"Decatur, AL",41-0000,major,5580,5.1,108.213,13.16,27370,3.1,6.91,7.46,9.48,14.97,23.22,14380,15520,19730,31140,48310,2009
1781,AL,19460,"Decatur, AL",43-0000,major,6780,3.5,131.348,13.94,29000,1.5,7.93,9.75,12.91,16.75,21.47,16480,20280,26840,34830,44650,2009
1810,AL,19460,"Decatur, AL",45-0000,major,60,8.5,1.134,16.42,34150,4.1,10.32,11.45,14.06,21.69,25.19,21470,23820,29240,45120,52400,2009
1811,AL,19460,"Decatur, AL",47-0000,major,2830,5.2,54.847,17.59,36580,1.9,10.18,12.89,16.87,21.21,25.52,21170,26800,35080,44110,53090,2009
1828,AL,19460,"Decatur, AL",49-0000,major,2720,6.6,52.794,20.86,43400,4.6,10.42,13.84,18.78,27.44,35.17,21670,28780,39060,57080,73150,2009
1842,AL,19460,"Decatur, AL",51-0000,major,8770,6.3,169.910,15.62,32480,3.6,8.68,10.82,13.56,18.98,25.08,18060,22500,28210,39470,52180,2009
1870,AL,19460,"Decatur, AL",53-0000,major,5180,4.5,100.430,14.29,29720,4.1,7.46,8.96,11.76,18.40,24.82,15520,18640,24460,38270,51620,2009
1884,AL,20020,"Dothan, AL",11-0000,major,2370,3.6,40.455,38.54,80170,2.5,16.68,23.48,32.61,47.06,69.08,34690,48840,67830,97880,143680,2009
1901,AL,20020,"Dothan, AL",13-0000,major,1260,5.4,21.484,27.38,56950,4.6,13.08,17.29,23.06,31.47,41.89,27200,35970,47960,65450,87120,2009
1916,AL,20020,"Dothan, AL",15-0000,major,310,5.7,5.292,24.88,51740,2.1,13.63,18.28,23.78,31.46,38.03,28360,38020,49460,65430,79100,2009
1921,AL,20020,"Dothan, AL",17-0000,major,700,9.1,12.013,30.26,62940,3.2,15.80,19.81,29.64,37.35,46.40,32870,41210,61660,77690,96510,2009
1927,AL,20020,"Dothan, AL",19-0000,major,210,10.6,3.575,27.74,57700,4.4,14.81,19.41,25.88,35.25,41.01,30800,40370,53820,73330,85310,2009
1930,AL,20020,"Dothan, AL",21-0000,major,530,10.3,9.118,17.65,36700,4.2,9.16,12.67,16.75,22.46,27.28,19040,26350,34840,46710,56740,2009
1936,AL,20020,"Dothan, AL",23-0000,major,250,20.6,4.313,40.29,83790,27.2,13.08,15.23,26.57,58.60,#,27210,31680,55260,121880,#,2009
1939,AL,20020,"Dothan, AL",25-0000,major,2940,9.4,50.302,18.98,39470,2.9,9.43,12.31,20.18,24.08,27.27,19620,25610,41970,50090,56730,2009
1954,AL,20020,"Dothan, AL",27-0000,major,500,10.2,8.548,15.59,32430,4.6,8.08,10.58,14.23,18.22,24.62,16800,22000,29590,37890,51210,2009
1958,AL,20020,"Dothan, AL",29-0000,major,4850,2.4,82.917,29.26,60860,6.1,11.57,15.93,22.30,30.54,56.16,24060,33120,46390,63530,116820,2009
1981,AL,20020,"Dothan, AL",31-0000,major,1750,7.7,29.867,11.09,23070,2.4,7.45,8.55,10.17,12.29,15.60,15490,17790,21160,25560,32450,2009
1990,AL,20020,"Dothan, AL",33-0000,major,1160,2.8,19.765,15.25,31730,3.3,7.72,11.22,14.72,18.36,22.85,16060,23340,30610,38190,47530,2009
1995,AL,20020,"Dothan, AL",35-0000,major,4700,6.1,80.357,8.68,18050,2.9,6.86,7.23,7.89,9.22,11.51,14270,15040,16420,19170,23940,2009
2009,AL,20020,"Dothan, AL",37-0000,major,1660,4.8,28.384,9.45,19650,2.9,6.97,7.50,8.64,10.23,13.62,14490,15610,17970,21270,28320,2009
2015,AL,20020,"Dothan, AL",39-0000,major,1350,10.0,23.133,10.51,21860,5.5,6.95,7.45,8.64,11.79,17.67,14450,15490,17970,24510,36750,2009
2024,AL,20020,"Dothan, AL",41-0000,major,7270,4.8,124.213,13.00,27030,2.5,6.94,7.54,9.87,16.04,23.01,14440,15680,20530,33360,47860,2009
2036,AL,20020,"Dothan, AL",43-0000,major,9830,3.7,168.023,13.38,27830,1.8,7.77,9.31,12.13,15.82,20.00,16170,19370,25230,32910,41610,2009
2073,AL,20020,"Dothan, AL",45-0000,major,300,14.7,5.197,13.50,28080,3.7,7.65,10.29,13.04,15.40,20.24,15910,21390,27130,32040,42090,2009
2077,AL,20020,"Dothan, AL",47-0000,major,2450,9.5,41.817,16.79,34920,5.4,8.12,10.61,14.24,19.12,26.57,16900,22070,29630,39760,55260,2009
2093,AL,20020,"Dothan, AL",49-0000,major,2870,5.2,49.068,17.28,35940,2.3,9.60,12.27,15.81,21.90,26.51,19960,25520,32890,45550,55150,2009
2112,AL,20020,"Dothan, AL",51-0000,major,5670,4.3,96.837,13.06,27170,4.7,7.74,8.79,11.23,15.12,19.77,16110,18280,23360,31440,41110,2009
2137,AL,20020,"Dothan, AL",53-0000,major,5580,4.4,95.320,13.33,27720,3.5,7.24,8.28,11.14,16.91,23.36,15060,17220,23180,35180,48580,2009
2151,AL,22520,"Florence-Muscle Shoals, AL",11-0000,major,1710,5.3,33.996,39.52,82210,2.6,19.02,24.79,34.19,47.58,67.21,39560,51560,71110,98960,139790,2009
2164,AL,22520,"Florence-Muscle Shoals, AL",13-0000,major,900,7.2,17.851,25.73,53520,3.3,13.72,17.13,22.52,31.12,40.85,28540,35640,46850,64730,84960,2009
2172,AL,22520,"Florence-Muscle Shoals, AL",15-0000,major,280,9.9,5.596,23.35,48570,2.1,12.86,16.89,22.17,29.67,35.71,26750,35140,46110,61720,74280,2009
2176,AL,22520,"Florence-Muscle Shoals, AL",17-0000,major,460,3.5,9.077,28.92,60160,6.0,13.13,17.73,25.32,33.96,44.63,27310,36880,52670,70630,92840,2009
2183,AL,22520,"Florence-Muscle Shoals, AL",19-0000,major,130,6.0,2.553,23.91,49740,3.9,11.87,16.78,22.34,31.78,37.83,24680,34900,46470,66110,78690,2009
2185,AL,22520,"Florence-Muscle Shoals, AL",21-0000,major,460,31.7,9.123,18.08,37610,5.0,9.13,12.70,16.39,22.76,27.73,18980,26410,34080,47350,57690,2009
