,state,year,month,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,state_abbr,fips_state,state_name,state_proper
0,Alabama,2020,1,0.0,1.9493548387096777,2.1112903225806456,0.8064516129032258,AL,1,ALABAMA,Alabama
1,Alabama,2020,2,0.0,5.209999999999999,5.949999999999998,0.0,AL,1,ALABAMA,Alabama
2,Alabama,2020,3,38.574193548387086,33.89612903225807,36.664838709677426,14.516129032258064,AL,1,ALABAMA,Alabama
3,Alabama,2020,4,78.87366666666671,70.2493333333333,71.35566666666666,62.5,AL,1,ALABAMA,Alabama
4,Alabama,2020,5,66.78419354838711,65.9535483870968,66.44516129032259,62.5,AL,1,ALABAMA,Alabama
5,Alabama,2020,6,52.005,59.44566666666664,59.01099999999999,62.5,AL,1,ALABAMA,Alabama
6,Alabama,2020,7,50.0,58.896774193548445,58.49935483870969,61.693548387096776,AL,1,ALABAMA,Alabama
7,Alabama,2020,8,48.209032258064504,55.243548387096794,57.77774193548386,37.5,AL,1,ALABAMA,Alabama
8,Alabama,2020,9,43.95166666666666,52.84499999999998,55.03766666666666,37.5,AL,1,ALABAMA,Alabama
9,Alabama,2020,10,43.51999999999999,49.681290322580665,51.420322580645156,37.5,AL,1,ALABAMA,Alabama
10,Alabama,2020,11,43.51999999999999,47.40000000000001,48.80999999999997,37.5,AL,1,ALABAMA,Alabama
11,Alabama,2020,12,43.51999999999999,48.438064516129046,50.05548387096776,37.096774193548384,AL,1,ALABAMA,Alabama
12,Alabama,2021,1,44.77548387096772,49.242903225806465,50.918387096774204,37.5,AL,1,ALABAMA,Alabama
13,Alabama,2021,2,46.299999999999976,49.38000000000003,51.07,37.5,AL,1,ALABAMA,Alabama
14,Alabama,2021,3,45.4032258064516,50.55129032258063,50.80032258064519,48.79032258064516,AL,1,ALABAMA,Alabama
15,Alabama,2021,4,37.96266666666667,45.16100000000001,47.445000000000036,50.0,AL,1,ALABAMA,Alabama
16,Alabama,2021,5,34.26,42.626129032258085,45.14096774193549,0.0,AL,1,ALABAMA,Alabama
17,Alabama,2021,6,30.559999999999977,38.64399999999999,41.07000000000001,37.5,AL,1,ALABAMA,Alabama
18,Alabama,2021,7,30.55999999999999,41.06052631578948,41.10157894736843,40.78947368421053,AL,1,ALABAMA,Alabama
19,Alaska,2020,1,4.304516129032259,4.365161290322581,4.8751612903225805,0.8064516129032258,AK,2,ALASKA,Alaska
20,Alaska,2020,2,9.96172413793104,10.812413793103449,12.35931034482759,0.0,AK,2,ALASKA,Alaska
21,Alaska,2020,3,47.75967741935485,40.47483870967741,41.877096774193554,30.64516129032258,AK,2,ALASKA,Alaska
22,Alaska,2020,4,86.69733333333333,75.13566666666662,73.37533333333333,87.5,AK,2,ALASKA,Alaska
23,Alaska,2020,5,69.35548387096773,66.09193548387093,63.03741935483872,87.5,AK,2,ALASKA,Alaska
24,Alaska,2020,6,55.0006666666667,58.17599999999997,53.98733333333333,87.5,AK,2,ALASKA,Alaska
25,Alaska,2020,7,57.080322580645145,58.50967741935482,54.48354838709677,86.69354838709677,AK,2,ALASKA,Alaska
26,Alaska,2020,8,59.48129032258066,58.51774193548386,57.9461290322581,62.5,AK,2,ALASKA,Alaska
27,Alaska,2020,9,56.01999999999999,59.90000000000003,59.51999999999999,62.5,AK,2,ALASKA,Alaska
28,Alaska,2020,10,56.01999999999999,59.19322580645162,58.71387096774194,62.5,AK,2,ALASKA,Alaska
29,Alaska,2020,11,56.01999999999999,55.10600000000002,55.95000000000003,49.166666666666664,AK,2,ALASKA,Alaska
30,Alaska,2020,12,65.27999999999999,60.099999999999966,63.32999999999999,37.5,AK,2,ALASKA,Alaska
31,Alaska,2021,1,60.018387096774156,57.26258064516131,60.08709677419354,37.5,AK,2,ALASKA,Alaska
32,Alaska,2021,2,57.869999999999955,57.993571428571464,60.91928571428573,37.5,AK,2,ALASKA,Alaska
33,Alaska,2021,3,50.406451612903254,55.95903225806453,58.596129032258055,37.5,AK,2,ALASKA,Alaska
34,Alaska,2021,4,46.76333333333337,54.68833333333334,57.14500000000001,37.5,AK,2,ALASKA,Alaska
35,Alaska,2021,5,42.130000000000024,52.079999999999984,54.17000000000002,37.5,AK,2,ALASKA,Alaska
36,Alaska,2021,6,42.13000000000002,52.07999999999999,54.17000000000002,37.5,AK,2,ALASKA,Alaska
37,Alaska,2021,7,41.205000000000005,51.559999999999995,53.574999999999996,37.5,AK,2,ALASKA,Alaska
38,Arizona,2020,1,1.0761290322580646,2.553548387096774,2.802258064516128,0.8064516129032258,AZ,4,ARIZONA,Arizona
39,Arizona,2020,2,5.560000000000001,8.330000000000005,9.520000000000001,0.0,AZ,4,ARIZONA,Arizona
40,Arizona,2020,3,34.764838709677434,28.798387096774185,29.914516129032275,20.967741935483872,AZ,4,ARIZONA,Arizona
41,Arizona,2020,4,66.2953333333333,55.32899999999999,54.30333333333336,62.5,AZ,4,ARIZONA,Arizona
42,Arizona,2020,5,63.591290322580704,56.13225806451608,55.22064516129034,62.5,AZ,4,ARIZONA,Arizona
43,Arizona,2020,6,54.876666666666694,53.678666666666686,52.42066666666665,62.5,AZ,4,ARIZONA,Arizona
44,Arizona,2020,7,58.32999999999998,58.43903225806447,57.862258064516176,62.5,AZ,4,ARIZONA,Arizona
45,Arizona,2020,8,63.917096774193546,62.2587096774194,62.22387096774193,62.5,AZ,4,ARIZONA,Arizona
46,Arizona,2020,9,59.26,59.640000000000036,59.23000000000001,62.5,AZ,4,ARIZONA,Arizona
