,year,month,state,covid_19_deaths,state_abbr,fips_state,state_name,state_proper
90,2020,4,Connecticut,2457,CT,9,CONNECTICUT,Connecticut
91,2021,4,Connecticut,186,CT,9,CONNECTICUT,Connecticut
92,2020,5,Connecticut,1532,CT,9,CONNECTICUT,Connecticut
93,2021,5,Connecticut,112,CT,9,CONNECTICUT,Connecticut
94,2020,6,Connecticut,285,CT,9,CONNECTICUT,Connecticut
95,2021,6,Connecticut,18,CT,9,CONNECTICUT,Connecticut
96,2020,1,Delaware,0,DE,10,DELAWARE,Delaware
97,2021,1,Delaware,324,DE,10,DELAWARE,Delaware
98,2020,2,Delaware,0,DE,10,DELAWARE,Delaware
99,2021,2,Delaware,146,DE,10,DELAWARE,Delaware
100,2020,3,Delaware,0,DE,10,DELAWARE,Delaware
101,2021,3,Delaware,59,DE,10,DELAWARE,Delaware
102,2020,4,Delaware,190,DE,10,DELAWARE,Delaware
103,2021,4,Delaware,64,DE,10,DELAWARE,Delaware
104,2020,5,Delaware,276,DE,10,DELAWARE,Delaware
105,2021,5,Delaware,29,DE,10,DELAWARE,Delaware
106,2020,6,Delaware,73,DE,10,DELAWARE,Delaware
107,2021,6,Delaware,10,DE,10,DELAWARE,Delaware
108,2020,1,Florida,0,FL,12,FLORIDA,Florida
109,2021,1,Florida,4999,FL,12,FLORIDA,Florida
110,2020,2,Florida,0,FL,12,FLORIDA,Florida
111,2021,2,Florida,3178,FL,12,FLORIDA,Florida
112,2020,3,Florida,191,FL,12,FLORIDA,Florida
113,2021,3,Florida,1820,FL,12,FLORIDA,Florida
114,2020,4,Florida,1311,FL,12,FLORIDA,Florida
115,2021,4,Florida,1488,FL,12,FLORIDA,Florida
116,2020,5,Florida,1131,FL,12,FLORIDA,Florida
117,2021,5,Florida,1303,FL,12,FLORIDA,Florida
118,2020,6,Florida,1083,FL,12,FLORIDA,Florida
119,2021,6,Florida,776,FL,12,FLORIDA,Florida
120,2020,1,Georgia,0,GA,13,GEORGIA,Georgia
121,2021,1,Georgia,3934,GA,13,GEORGIA,Georgia
122,2020,2,Georgia,0,GA,13,GEORGIA,Georgia
123,2021,2,Georgia,1853,GA,13,GEORGIA,Georgia
124,2020,3,Georgia,221,GA,13,GEORGIA,Georgia
125,2021,3,Georgia,757,GA,13,GEORGIA,Georgia
126,2020,4,Georgia,1083,GA,13,GEORGIA,Georgia
127,2021,4,Georgia,525,GA,13,GEORGIA,Georgia
128,2020,5,Georgia,805,GA,13,GEORGIA,Georgia
129,2021,5,Georgia,362,GA,13,GEORGIA,Georgia
130,2020,6,Georgia,517,GA,13,GEORGIA,Georgia
131,2021,6,Georgia,171,GA,13,GEORGIA,Georgia
132,2020,1,Hawaii,0,HI,15,HAWAII,Hawaii
