PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,O_GROUP,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AL,11500,"Anniston-Oxford, AL",15-0000,major,270,270,450,420,450,330,520,430,360,330,,,,,,
AL,11500,"Anniston-Oxford, AL",17-0000,major,,1000,810,660,660,490,660,580,650,600,,,,,,
AL,11500,"Anniston-Oxford, AL",19-0000,major,280,330,360,310,260,210,180,,150,220,,,,,,
AL,11500,"Anniston-Oxford, AL",21-0000,major,410,420,540,510,450,350,290,300,350,350,,,,,,
AL,11500,"Anniston-Oxford, AL",23-0000,major,80,50,80,120,130,100,**,170,180,180,,,,,,
AL,11500,"Anniston-Oxford, AL",25-0000,major,2570,2640,2820,2710,2400,2350,2350,2520,2730,2790,,,,,,
AL,11500,"Anniston-Oxford, AL",27-0000,major,390,400,340,360,430,490,460,390,430,390,,,,,,
AL,11500,"Anniston-Oxford, AL",29-0000,major,2630,2700,2550,2590,2740,2690,2670,2560,2560,2560,,,,,,
AL,11500,"Anniston-Oxford, AL",31-0000,major,1280,1210,1250,1190,1200,1340,1260,1230,1400,1350,,,,,,
AL,11500,"Anniston-Oxford, AL",33-0000,major,1330,1120,1140,1030,1080,1140,980,980,970,980,,,,,,
AL,11500,"Anniston-Oxford, AL",35-0000,major,**,4730,4820,4690,4250,3860,3940,4200,4390,4590,,,,,,
AL,11500,"Anniston-Oxford, AL",37-0000,major,1670,1500,1590,1700,1530,1550,1650,1510,1410,1340,,,,,,
AL,11500,"Anniston-Oxford, AL",39-0000,major,830,870,1010,960,1170,1180,1260,1160,880,780,,,,,,
AL,11500,"Anniston-Oxford, AL",41-0000,major,4640,4530,5160,4730,5150,5000,5430,5190,5140,4950,,,,,,
AL,11500,"Anniston-Oxford, AL",43-0000,major,7340,7400,7130,6710,6870,6950,6710,6800,6900,6910,,,,,,
AL,11500,"Anniston-Oxford, AL",45-0000,major,30,40,,,30,,,,,,,,,,,
AL,11500,"Anniston-Oxford, AL",47-0000,major,1860,1800,1950,1900,1630,1430,1320,1120,1110,1200,,,,,,
AL,11500,"Anniston-Oxford, AL",49-0000,major,3610,3910,4020,4110,3910,3750,3650,3200,2900,3050,,,,,,
AL,11500,"Anniston-Oxford, AL",51-0000,major,6800,7320,6320,6170,5500,5530,5870,5840,5470,5760,,,,,,
AL,11500,"Anniston-Oxford, AL",53-0000,major,4830,4670,3980,4090,3520,3690,3600,3360,2850,2730,,,,,,
AL,11500,"Anniston-Oxford-Jacksonville, AL",11-0000,major,,,,,,,,,,,1220,1160,1230,1330,1400,1360
AL,11500,"Anniston-Oxford-Jacksonville, AL",13-0000,major,,,,,,,,,,,1200,1240,1260,1290,1370,1500
AL,11500,"Anniston-Oxford-Jacksonville, AL",15-0000,major,,,,,,,,,,,280,350,350,440,370,430
