,NAME,state,county,total_pop,hispanic,white_nonhispanic,black_nonhispanic,other_nonhispanic,asian_nonhispanic,above_65,less_than_9grade,hs_nodiploma,ged,college_nodegree,associates,bachelors_graduate
783,"Dickson County, Tennessee",47,43,53948,2090,48200,2121,1199,338,8990.0,5.2,11.1,41.8,19.2,6.5,16.2
784,"Dillingham Census Area, Alaska",2,70,4916,182,721,40,3921,52,494.0,,,,,,
785,"Dillon County, South Carolina",45,33,30479,864,13799,14278,1365,173,5228.0,9.8,14.9,39.0,17.0,8.1,11.1
786,"Dimmit County, Texas",48,127,10124,8868,1034,114,42,66,1749.0,25.4,8.2,36.2,14.0,2.6,13.6
787,"Dinwiddie County, Virginia",51,53,28544,1077,17701,9017,502,247,5121.0,5.9,11.0,36.0,19.6,8.9,18.6
788,"District of Columbia, District of Columbia",11,1,705749,79477,264400,313290,17702,30880,87343.0,3.7,5.4,16.8,12.6,3.0,58.5
789,"Divide County, North Dakota",38,23,2264,65,2057,44,56,42,574.0,,,,,,
790,"Dixie County, Florida",12,29,16826,708,14072,1596,381,69,3984.0,9.3,12.3,43.3,17.8,7.0,10.4
791,"Dixon County, Nebraska",31,51,5636,829,4675,27,87,18,1167.0,3.7,8.4,35.3,20.5,10.9,21.2
792,"Doddridge County, West Virginia",54,17,8448,56,8021,188,153,30,1844.0,5.3,12.6,43.7,15.1,6.1,17.1
793,"Dodge County, Georgia",13,91,20605,743,13290,6147,317,108,3840.0,3.4,11.1,44.2,19.1,8.1,14.3
794,"Dodge County, Minnesota",27,39,20934,1026,19240,129,370,169,3174.0,1.4,3.8,33.3,20.6,15.2,25.7
795,"Dodge County, Nebraska",31,53,36565,5150,30102,338,714,261,7097.0,4.6,6.5,35.2,23.6,11.1,19.0
796,"Dodge County, Wisconsin",55,27,87839,4435,78673,2831,1303,597,15996.0,2.6,6.6,40.9,21.3,11.6,17.0
797,"Dolores County, Colorado",8,33,2055,130,1804,8,105,8,538.0,,,,,,
798,"Doniphan County, Kansas",20,43,7600,209,6857,242,255,37,1503.0,3.6,6.0,36.8,25.2,7.2,21.1
799,"Donley County, Texas",48,129,3278,370,2623,190,74,21,804.0,,,,,,
800,"Dooly County, Georgia",13,93,13390,941,5642,6569,150,88,2824.0,7.2,15.1,41.1,18.5,6.0,12.1
801,"Door County, Wisconsin",55,29,27668,958,25825,205,516,164,8437.0,1.0,4.7,30.3,20.9,9.4,33.7
