,NAME,state,county,total_pop,hispanic,white_nonhispanic,black_nonhispanic,other_nonhispanic,asian_nonhispanic,above_65,less_than_9grade,hs_nodiploma,ged,college_nodegree,associates,bachelors_graduate
0,"Abbeville County, South Carolina",45,1,24527,402,16892,6726,416,91,5483.0,6.0,12.4,34.0,18.9,13.1,15.6
1,"Acadia Parish, Louisiana",22,1,62045,1732,47971,11009,1121,212,9796.0,8.9,12.1,41.3,17.8,6.6,13.3
2,"Accomack County, Virginia",51,1,32316,2955,19352,9104,626,279,7934.0,6.6,11.9,36.7,17.1,8.2,19.5
3,"Ada County, Idaho",16,1,481587,41045,405966,6144,14681,13751,71958.0,1.4,3.4,22.4,24.3,9.9,38.5
4,"Adair County, Iowa",19,1,7152,182,6803,41,86,40,1648.0,2.1,3.7,40.5,20.6,14.6,18.5
5,"Adair County, Kentucky",21,1,19202,415,17864,537,310,76,3695.0,9.5,10.9,39.0,16.2,8.6,15.7
6,"Adair County, Missouri",29,1,25343,653,22648,823,541,678,3829.0,3.4,6.4,34.4,17.6,7.0,31.0
7,"Adair County, Oklahoma",40,1,22194,1573,8738,112,11570,201,3515.0,4.7,14.6,46.6,18.1,4.4,11.6
8,"Adams County, Colorado",8,1,517421,211139,253680,16842,13468,22292,55528.0,7.3,8.9,28.6,22.0,8.9,24.3
9,"Adams County, Idaho",16,3,4294,155,3934,11,139,55,1284.0,,,,,,
10,"Adams County, Illinois",17,1,65435,1161,59810,2475,1375,614,13513.0,2.0,5.5,35.4,23.7,8.5,25.0
11,"Adams County, Indiana",18,1,35777,1623,33487,171,358,138,5681.0,9.4,5.9,40.6,19.2,9.5,15.5
12,"Adams County, Iowa",19,3,3602,52,3461,17,47,25,852.0,,,,,,
13,"Adams County, Mississippi",28,1,30693,3099,10904,16145,368,177,6005.0,7.3,14.8,33.0,19.0,8.5,17.4
14,"Adams County, Nebraska",31,1,31363,3450,26691,314,515,393,5916.0,4.6,5.4,28.1,25.6,11.9,24.3
15,"Adams County, North Dakota",38,1,2216,35,2044,21,54,62,632.0,,,,,,
16,"Adams County, Ohio",39,1,27698,288,26635,131,539,105,5112.0,7.2,12.6,44.5,15.6,6.9,13.2
17,"Adams County, Pennsylvania",42,1,103009,7511,91400,1692,1550,856,21730.0,4.0,7.2,39.9,17.9,8.7,22.3
18,"Adams County, Washington",53,1,19983,12936,6491,127,271,158,2264.0,23.3,9.7,28.7,17.7,6.2,14.3
19,"Adams County, Wisconsin",55,1,20220,845,18267,554,427,127,6098.0,2.2,10.3,42.6,22.8,8.3,13.9
20,"Addison County, Vermont",50,1,36777,841,34046,449,763,678,7598.0,2.2,4.3,29.1,16.2,8.6,39.6
21,"Aiken County, South Carolina",45,3,170872,10087,112362,42338,3983,2102,33992.0,4.3,7.7,32.8,20.3,8.5,26.4
22,"Aitkin County, Minnesota",27,1,15886,226,14907,78,624,51,5373.0,2.0,6.7,36.9,24.4,12.0,18.1
23,"Alachua County, Florida",12,1,269043,28222,163036,53858,7520,16407,39272.0,2.8,4.6,21.2,17.2,10.9,43.3
24,"Alamance County, North Carolina",37,1,169509,22130,106676,34090,3782,2831,29035.0,5.4,8.3,27.7,23.4,10.5,24.8
25,"Alameda County, California",6,1,1671329,373055,512134,169954,73014,543172,238763.0,5.9,5.6,17.6,17.2,6.3,47.4
26,"Alamosa County, Colorado",8,3,16233,7725,7648,168,516,176,2254.0,8.0,5.2,28.5,25.1,8.2,25.0
27,"Albany County, New York",36,1,305506,19102,218645,39031,7922,20806,53272.0,2.6,5.3,23.0,15.6,11.8,41.8
28,"Albany County, Wyoming",56,1,38880,3757,31844,675,1090,1514,4752.0,1.6,2.5,14.7,20.9,8.6,51.8
29,"Albemarle County, Virginia",51,3,109330,6313,84045,10281,2662,6029,21155.0,3.0,4.9,15.8,16.1,5.1,55.1
30,"Alcona County, Michigan",26,1,10405,167,9920,54,219,45,3761.0,2.9,7.8,39.3,24.6,8.5,16.9
31,"Alcorn County, Mississippi",28,3,36953,1189,30577,4500,540,147,6965.0,7.3,11.3,32.2,22.6,9.4,17.1
32,"Aleutians East Borough, Alaska",2,13,3337,493,302,302,774,1466,351.0,,,,,,
33,"Aleutians West Census Area, Alaska",2,16,5634,787,1332,367,836,2312,419.0,5.1,5.5,39.0,26.3,7.1,17.0
34,"Alexander County, Illinois",17,3,5761,107,3672,1806,149,27,1332.0,4.2,9.3,40.7,23.6,9.3,12.9
35,"Alexander County, North Carolina",37,3,37497,1788,32492,2138,690,389,7667.0,4.8,12.8,38.7,17.6,11.9,14.2
36,"Alexandria city, Virginia",51,510,159428,26479,83272,34809,4622,10246,19395.0,4.0,3.0,11.6,13.1,5.2,63.1
37,"Alfalfa County, Oklahoma",40,3,5702,341,4739,258,342,22,1155.0,4.1,10.7,37.5,19.7,6.1,21.8
38,"Alger County, Michigan",26,3,9108,156,7600,659,653,40,2393.0,4.0,6.1,45.2,20.7,6.6,17.4
39,"Allamakee County, Iowa",19,5,13687,973,12321,207,118,68,3212.0,6.6,5.2,39.4,18.7,12.4,17.8
40,"Allegan County, Michigan",26,5,118081,8879,104074,1588,2607,933,20099.0,3.2,5.8,37.9,21.7,8.7,22.6
41,"Allegany County, Maryland",24,1,70416,1356,61036,5707,1490,827,14471.0,2.5,7.3,41.8,19.6,10.0,18.9
42,"Allegany County, New York",36,3,46091,784,43456,595,674,582,9055.0,3.1,6.1,36.7,19.3,13.9,20.9
43,"Alleghany County, North Carolina",37,5,11137,1097,9659,162,153,66,3116.0,7.5,15.1,29.0,21.7,9.5,17.3
44,"Alleghany County, Virginia",51,5,14860,238,13583,682,300,57,3785.0,4.3,9.7,40.3,20.5,10.1,15.0
45,"Allegheny County, Pennsylvania",42,3,1216045,27552,949804,160336,27314,51039,235279.0,1.6,3.9,27.0,16.2,9.8,41.6
46,"Allen County, Indiana",18,3,379299,29356,277144,43791,11769,17239,56584.0,4.3,6.4,28.2,21.8,10.8,28.5
47,"Allen County, Kansas",20,1,12369,469,11071,255,426,148,2594.0,2.7,5.4,33.1,28.4,10.1,20.3
48,"Allen County, Kentucky",21,3,21315,515,20160,250,333,57,3851.0,9.7,8.2,38.5,18.9,8.6,16.1
49,"Allen County, Ohio",39,3,102351,3420,82493,12529,3108,801,18509.0,2.1,7.6,38.8,21.0,11.5,18.9
50,"Allen Parish, Louisiana",22,3,25627,588,18158,5721,1007,153,3906.0,6.6,13.7,44.3,17.5,6.6,11.3
51,"Allendale County, South Carolina",45,5,8688,322,1934,6280,88,64,1818.0,8.8,11.4,45.9,18.1,6.7,9.2
52,"Alpena County, Michigan",26,7,28405,426,27117,153,536,173,6781.0,2.3,5.9,33.7,25.9,14.3,18.0
53,"Alpine County, California",6,3,1129,139,692,4,276,18,298.0,,,,,,
54,"Amador County, California",6,5,39752,5753,30742,994,1605,658,10945.0,2.4,7.6,27.5,29.5,13.8,19.3
55,"Amelia County, Virginia",51,7,13145,418,9729,2662,275,61,2637.0,6.7,9.4,40.8,19.9,6.1,17.1
56,"Amherst County, Virginia",51,9,31605,767,23671,5977,1000,190,6827.0,5.3,9.1,36.0,19.8,10.7,19.1
57,"Amite County, Mississippi",28,5,12297,166,7115,4865,128,23,2967.0,4.5,13.6,39.3,17.3,12.7,12.6
58,"Anchorage Municipality, Alaska",2,20,288000,26992,164464,15359,45339,35846,33757.0,2.4,3.7,23.4,25.4,9.0,36.1
59,"Anderson County, Kansas",20,3,7858,163,7398,46,197,54,1687.0,4.4,4.6,42.0,24.3,6.6,18.1
60,"Anderson County, Kentucky",21,5,22747,438,21257,467,425,160,3710.0,3.8,6.3,36.6,22.5,10.6,20.2
61,"Anderson County, South Carolina",45,7,202558,8080,156228,32328,3837,2085,37126.0,4.5,10.3,31.2,20.2,11.7,22.2
62,"Anderson County, Tennessee",47,1,76978,2435,68400,3058,1901,1184,15599.0,4.9,8.1,32.9,22.6,8.2,23.3
63,"Anderson County, Texas",48,1,57735,10510,33638,12135,1037,415,8658.0,6.0,12.6,38.9,24.8,7.1,10.6
64,"Andrew County, Missouri",29,3,17712,475,16632,190,302,113,3434.0,3.2,5.1,37.4,22.0,7.4,24.9
65,"Andrews County, Texas",48,3,18705,10590,7461,282,268,104,1833.0,14.1,13.7,34.9,19.3,5.8,12.2
66,"Androscoggin County, Maine",23,1,108277,2100,97658,4705,2816,998,19666.0,3.9,5.9,35.5,20.5,11.5,22.8
67,"Angelina County, Texas",48,5,86715,19700,51947,13002,1258,808,14422.0,8.3,9.8,31.6,25.7,7.8,16.9
68,"Anne Arundel County, Maryland",24,3,579234,48798,386285,101478,18391,24282,87001.0,2.3,5.3,23.7,19.2,7.8,41.7
69,"Anoka County, Minnesota",27,3,356921,17370,284497,25629,11722,17703,51781.0,2.0,4.0,27.9,22.9,12.7,30.5
70,"Anson County, North Carolina",37,7,24446,1006,10840,11756,506,338,4730.0,4.7,14.6,40.2,21.5,7.8,11.3
71,"Antelope County, Nebraska",31,3,6298,215,5978,18,60,27,1515.0,2.0,5.0,33.8,24.8,16.0,18.4
72,"Antrim County, Michigan",26,9,23324,585,22017,76,557,89,6536.0,2.4,5.9,31.5,22.2,9.1,28.8
73,"Apache County, Arizona",4,1,71887,4736,12935,356,53525,335,11334.0,9.0,10.6,32.2,28.2,7.6,12.3
74,"Appanoose County, Iowa",19,7,12426,278,11759,100,206,83,2843.0,3.4,6.4,36.5,25.2,12.1,16.3
75,"Appling County, Georgia",13,1,18386,1845,12631,3466,309,135,3257.0,8.7,16.4,38.7,19.1,7.3,9.8
76,"Appomattox County, Virginia",51,11,15911,300,12262,2932,349,68,3366.0,4.5,9.6,33.9,21.4,9.7,20.9
77,"Aransas County, Texas",48,7,23510,6560,15710,300,484,456,6791.0,5.8,9.8,31.2,23.9,7.5,21.9
78,"Arapahoe County, Colorado",8,5,656590,129681,389920,69867,23823,43299,88508.0,3.2,4.2,20.8,20.4,8.6,42.8
79,"Archer County, Texas",48,9,8553,699,7550,70,193,41,1677.0,3.5,6.1,35.4,23.5,7.5,23.9
80,"Archuleta County, Colorado",8,7,14029,2585,10775,80,458,131,3834.0,2.3,5.4,21.0,26.5,7.6,37.2
81,"Arenac County, Michigan",26,11,14883,303,14032,68,427,53,3840.0,2.5,9.0,41.9,22.8,11.2,12.6
82,"Arkansas County, Arkansas",5,1,17486,602,12075,4315,347,147,3551.0,6.6,9.5,38.9,20.4,8.8,15.8
83,"Arlington County, Virginia",51,13,236842,36951,145305,21492,7367,25727,26282.0,3.6,2.1,7.8,7.7,3.5,75.3
84,"Armstrong County, Pennsylvania",42,5,64735,524,62771,559,696,185,14629.0,2.5,7.2,49.0,14.7,9.9,16.7
85,"Armstrong County, Texas",48,11,1887,173,1663,15,35,1,470.0,,,,,,
86,"Aroostook County, Maine",23,3,67055,906,62855,745,2193,356,16717.0,4.8,6.6,37.3,20.9,11.1,19.2
87,"Arthur County, Nebraska",31,5,463,20,436,0,6,1,99.0,,,,,,
88,"Ascension Parish, Louisiana",22,5,126604,7542,85493,29829,2006,1734,15543.0,3.4,7.9,32.3,21.4,8.5,26.4
89,"Ashe County, North Carolina",37,9,27203,1390,25105,204,366,138,7249.0,4.5,10.4,31.8,21.2,12.5,19.7
90,"Ashland County, Ohio",39,5,53484,806,51051,437,771,419,10242.0,3.9,7.6,41.6,17.9,8.0,20.9
91,"Ashland County, Wisconsin",55,3,15562,472,12790,80,2123,97,3151.0,1.7,6.0,37.0,22.4,13.0,19.8
92,"Ashley County, Arkansas",5,3,19657,1119,13456,4766,270,46,4116.0,6.2,10.5,43.7,20.9,6.4,12.3
93,"Ashtabula County, Ohio",39,7,97241,4318,86793,3377,2270,483,19086.0,4.8,9.2,44.6,19.6,7.6,14.3
94,"Asotin County, Washington",53,3,22582,989,20275,156,898,264,5410.0,1.1,7.5,28.0,30.6,11.4,21.4
95,"Assumption Parish, Louisiana",22,7,21891,728,14316,6405,357,85,4104.0,9.3,16.4,45.1,14.4,5.3,9.6
96,"Atascosa County, Texas",48,13,51153,33163,16782,441,541,226,7605.0,11.0,11.9,38.7,19.3,4.7,14.4
97,"Atchison County, Kansas",20,5,16073,512,14176,748,523,114,2829.0,2.0,5.2,38.4,24.3,8.0,22.0
98,"Atchison County, Missouri",29,5,5143,76,4944,22,78,23,1345.0,2.6,5.9,39.0,23.6,5.9,23.1
99,"Athens County, Ohio",39,9,65327,1265,58603,1795,1643,2021,8915.0,2.4,7.5,35.1,16.3,8.4,30.2
100,"Atkinson County, Georgia",13,3,8165,2074,4574,1320,151,46,1183.0,16.7,16.1,34.7,13.3,6.9,12.2
101,"Atlantic County, New Jersey",34,1,263670,51129,147533,38406,5659,20943,49027.0,5.2,7.8,32.0,19.9,7.0,28.1
102,"Atoka County, Oklahoma",40,5,13758,500,9662,523,2960,113,2754.0,4.4,12.4,40.3,22.4,5.6,15.0
103,"Attala County, Mississippi",28,7,18174,365,9632,7888,212,77,3537.0,7.6,14.8,32.4,22.6,8.6,13.9
104,"Audrain County, Missouri",29,7,25388,828,22132,1707,569,152,4619.0,4.2,9.6,45.8,18.3,7.4,14.7
105,"Audubon County, Iowa",19,9,5496,105,5270,23,62,36,1358.0,2.2,8.3,37.1,23.3,12.0,17.1
106,"Auglaize County, Ohio",39,11,45656,811,43679,271,588,307,8646.0,1.4,5.9,43.5,19.3,11.0,18.9
107,"Augusta County, Virginia",51,15,75558,2374,68150,3381,1167,486,16541.0,3.9,8.7,38.7,18.8,7.1,22.7
108,"Aurora County, South Dakota",46,3,2751,197,2415,16,104,19,569.0,,,,,,
109,"Austin County, Texas",48,15,30032,8355,18427,2560,476,214,5933.0,7.9,8.2,29.2,23.4,7.5,23.9
110,"Autauga County, Alabama",1,1,55869,1671,41215,11098,1199,686,8924.0,2.5,9.0,33.6,20.0,8.4,26.6
111,"Avery County, North Carolina",37,11,17557,887,15543,788,238,101,4020.0,5.8,10.6,30.2,24.2,8.5,20.7
112,"Avoyelles Parish, Louisiana",22,9,40144,829,26066,11832,1178,239,6955.0,6.8,16.4,37.8,20.5,6.2,12.3
113,"Baca County, Colorado",8,9,3581,405,3005,29,129,13,875.0,,,,,,
114,"Bacon County, Georgia",13,5,11164,958,8192,1756,183,75,1878.0,4.3,13.6,42.4,21.0,8.2,10.5
115,"Bailey County, Texas",48,17,7000,4481,2312,82,81,44,1036.0,10.9,12.1,35.1,18.4,6.2,17.2
116,"Baker County, Florida",12,3,29210,831,23471,4102,616,190,4117.0,3.7,10.6,42.6,20.7,9.2,13.2
117,"Baker County, Georgia",13,7,3038,193,1454,1308,51,32,719.0,,,,,,
118,"Baker County, Oregon",41,1,16124,761,14466,102,624,171,4266.0,1.7,7.3,31.1,28.0,8.2,23.7
119,"Baldwin County, Alabama",1,3,223234,10534,185747,19215,5269,2469,46830.0,2.3,6.9,27.7,21.8,9.4,31.9
120,"Baldwin County, Georgia",13,9,44890,1051,23502,18880,659,798,7398.0,3.8,10.4,35.0,19.8,7.7,23.3
121,"Ballard County, Kentucky",21,7,7888,117,7260,268,198,45,1727.0,3.8,9.0,36.4,24.0,10.9,15.9
122,"Baltimore County, Maryland",24,5,827370,48074,461626,244532,21245,51893,145304.0,3.1,5.4,25.8,19.3,7.0,39.4
123,"Baltimore city, Maryland",24,510,593490,33652,164264,366677,12903,15994,86154.0,4.7,10.1,29.1,19.4,4.8,31.9
124,"Bamberg County, South Carolina",45,9,14066,320,5094,8391,179,82,3152.0,5.5,14.2,32.5,15.3,13.7,18.8
125,"Bandera County, Texas",48,19,23112,4565,17738,224,458,127,6439.0,3.9,6.8,32.3,26.0,8.2,22.8
126,"Banks County, Georgia",13,11,19234,1394,16797,508,339,196,3411.0,7.1,17.0,38.0,18.4,6.1,13.4
127,"Banner County, Nebraska",31,7,745,43,684,10,6,2,179.0,,,,,,
128,"Bannock County, Idaho",16,5,87808,7838,73192,827,4390,1561,12894.0,2.0,5.5,26.4,28.9,9.3,27.8
129,"Baraga County, Michigan",26,13,8209,136,5910,652,1479,32,1867.0,2.6,8.2,40.6,22.2,10.6,15.8
130,"Barber County, Kansas",20,7,4427,206,4041,39,120,21,1022.0,,,,,,
131,"Barbour County, Alabama",1,5,24686,1117,11235,11807,380,147,4861.0,8.5,18.3,35.6,18.8,7.2,11.6
132,"Barbour County, West Virginia",54,1,16441,183,15703,159,345,51,3400.0,3.8,10.9,47.3,15.3,7.1,15.6
133,"Barnes County, North Dakota",38,3,10415,230,9636,182,268,99,2420.0,2.8,4.9,31.5,21.5,9.9,29.4
134,"Barnstable County, Massachusetts",25,1,212990,7235,190648,6787,5089,3231,66917.0,1.4,3.1,23.7,18.6,9.7,43.4
135,"Barnwell County, South Carolina",45,11,20866,558,10596,9062,442,208,3944.0,7.8,12.4,35.4,19.7,12.2,12.5
136,"Barren County, Kentucky",21,9,44249,1525,39813,1786,765,360,7969.0,8.3,8.7,42.0,17.2,7.4,16.3
137,"Barron County, Wisconsin",55,5,45244,1175,42086,683,992,308,10213.0,3.9,5.9,36.1,20.2,13.3,20.6
138,"Barrow County, Georgia",13,13,83240,10137,57737,10208,1876,3282,10604.0,5.3,10.2,34.1,23.4,8.1,19.0
139,"Barry County, Michigan",26,15,61550,1933,57731,369,1190,327,11636.0,1.8,5.6,37.7,23.4,10.4,21.1
140,"Barry County, Missouri",29,9,35789,3557,30255,178,955,844,7523.0,5.4,11.0,41.3,20.3,7.4,14.6
141,"Bartholomew County, Indiana",18,5,83779,6019,67443,1785,1409,7123,13851.0,3.4,6.0,30.8,17.7,8.6,33.5
142,"Barton County, Kansas",20,9,25779,3940,20879,358,525,77,5132.0,4.4,6.1,32.0,23.2,13.4,20.9
143,"Barton County, Missouri",29,11,11754,338,10866,63,422,65,2493.0,5.0,7.9,41.1,20.7,5.5,19.9
144,"Bartow County, Georgia",13,15,107738,9867,82889,11661,2205,1116,15539.0,5.2,11.2,33.4,24.1,7.4,18.6
145,"Bastrop County, Texas",48,21,88723,35189,45358,5812,1660,704,13865.0,9.4,8.7,30.4,25.0,5.9,20.7
146,"Bates County, Missouri",29,13,16172,372,15167,188,391,54,3165.0,3.5,9.1,44.2,20.0,7.1,16.1
147,"Bath County, Kentucky",21,11,12500,215,11855,166,206,58,2124.0,11.7,11.5,41.2,13.9,7.3,14.5
148,"Bath County, Virginia",51,17,4147,91,3778,188,71,19,1161.0,,,,,,
149,"Baxter County, Arkansas",5,5,41932,1102,39544,173,892,221,13058.0,2.6,8.7,36.3,25.4,9.1,17.9
150,"Bay County, Florida",12,5,174705,11638,133860,18943,6110,4154,32535.0,2.7,6.6,31.0,25.1,10.8,23.7
151,"Bay County, Michigan",26,17,103126,5680,92621,1669,2541,615,21642.0,2.5,7.0,34.6,25.2,11.4,19.3
152,"Bayfield County, Wisconsin",55,7,15036,338,12661,88,1868,81,4245.0,0.9,4.1,29.1,22.4,12.4,31.1
153,"Baylor County, Texas",48,23,3509,497,2820,89,86,17,844.0,,,,,,
154,"Beadle County, South Dakota",46,5,18453,1979,13872,184,523,1895,3280.0,9.4,6.2,34.0,18.8,11.0,20.5
155,"Bear Lake County, Idaho",16,7,6125,263,5704,19,106,33,1265.0,1.4,5.1,38.4,26.1,10.2,18.9
156,"Beaufort County, North Carolina",37,13,46994,3769,30986,11294,741,204,11538.0,4.7,7.6,32.5,23.4,11.2,20.6
157,"Beaufort County, South Carolina",45,13,192122,21319,131559,32993,3508,2743,53808.0,2.6,4.7,22.3,20.6,8.8,41.2
158,"Beauregard Parish, Louisiana",22,11,37497,1438,30188,4420,1181,270,5962.0,5.6,9.1,38.1,22.3,7.1,17.8
159,"Beaver County, Oklahoma",40,7,5311,1377,3691,41,191,11,1051.0,6.8,9.4,34.9,23.9,5.0,19.9
160,"Beaver County, Pennsylvania",42,7,163929,2925,146026,10366,3624,988,36098.0,1.6,5.3,36.8,19.5,12.1,24.7
161,"Beaver County, Utah",49,1,6710,833,5626,14,165,72,946.0,2.7,8.4,32.6,24.1,11.1,21.1
162,"Beaverhead County, Montana",30,1,9453,520,8464,32,339,98,2108.0,1.3,3.5,28.8,24.0,6.9,35.4
163,"Becker County, Minnesota",27,5,34423,781,29624,195,3630,193,7274.0,2.3,4.6,31.6,23.0,13.6,25.0
164,"Beckham County, Oklahoma",40,9,21859,3216,16393,864,1165,221,3215.0,2.8,11.8,36.2,24.5,7.9,16.8
165,"Bedford County, Pennsylvania",42,9,47888,601,46292,292,507,196,11221.0,3.3,8.7,51.3,13.6,8.3,14.7
166,"Bedford County, Tennessee",47,3,49713,6500,37842,3793,1132,446,7549.0,7.1,10.8,41.4,18.3,5.7,16.6
167,"Bedford County, Virginia",51,19,78997,1870,69180,5587,1397,963,17259.0,3.2,6.7,30.2,21.8,8.8,29.2
168,"Bee County, Texas",48,25,32565,19316,10034,2712,313,190,4091.0,9.9,14.7,34.2,25.6,6.7,8.9
169,"Belknap County, New Hampshire",33,1,61303,1096,58138,351,1012,706,13976.0,1.5,5.3,29.5,20.9,10.2,32.6
170,"Bell County, Kentucky",21,13,26032,305,24475,623,528,101,5134.0,13.6,16.8,38.5,14.7,7.3,9.2
171,"Bell County, Texas",48,27,362924,92760,161752,80677,14714,13021,40534.0,3.6,5.4,26.0,28.5,11.4,25.2
172,"Belmont County, Ohio",39,13,67006,758,61944,2797,1165,342,14338.0,2.4,7.5,42.4,19.3,11.8,16.7
173,"Beltrami County, Minnesota",27,7,47188,1216,33822,375,11404,371,7773.0,1.9,6.0,27.8,23.2,11.9,29.2
174,"Ben Hill County, Georgia",13,17,16700,1048,9150,6108,263,131,2990.0,4.9,11.5,45.3,17.7,9.3,11.2
175,"Benewah County, Idaho",16,9,9298,356,7865,39,1004,34,2118.0,2.0,10.4,38.4,25.0,8.9,15.2
176,"Bennett County, South Dakota",46,7,3365,208,1092,19,2025,21,447.0,,,,,,
177,"Bennington County, Vermont",50,3,35470,790,33227,435,613,405,8288.0,2.1,6.7,29.1,18.0,7.9,36.2
178,"Benson County, North Dakota",38,5,6832,278,2766,31,3739,18,984.0,3.7,10.0,29.5,23.7,17.0,16.2
179,"Bent County, Colorado",8,11,5577,1798,3179,391,132,77,1053.0,4.3,11.0,48.7,18.3,6.4,11.4
180,"Benton County, Arkansas",5,7,279141,47630,202658,5068,10657,13128,37902.0,5.4,6.0,29.2,20.0,6.1,33.4
181,"Benton County, Indiana",18,7,8748,476,8055,74,116,27,1571.0,2.4,7.8,42.8,23.1,7.9,16.1
182,"Benton County, Iowa",19,11,25645,405,24647,165,313,115,4885.0,1.7,4.2,36.9,20.9,14.1,22.1
183,"Benton County, Minnesota",27,9,40889,1125,36214,2088,1001,461,5858.0,2.5,5.8,29.9,23.7,14.6,23.6
184,"Benton County, Mississippi",28,9,8259,218,4962,2929,142,8,1566.0,9.2,18.2,33.4,22.2,5.4,11.5
185,"Benton County, Missouri",29,15,19443,416,18369,104,462,92,6073.0,5.6,9.9,40.3,23.5,7.7,13.0
186,"Benton County, Oregon",41,3,93053,7252,74272,994,3850,6685,15639.0,1.6,2.5,13.3,20.0,8.5,54.1
187,"Benton County, Tennessee",47,5,16160,433,14910,410,308,99,3862.0,6.2,11.4,46.4,19.0,4.7,12.3
188,"Benton County, Washington",53,5,204390,46210,141820,3008,6644,6708,31460.0,5.2,4.7,24.5,24.6,10.2,30.9
189,"Benzie County, Michigan",26,19,17766,448,16641,107,487,83,4788.0,2.6,4.1,31.2,21.8,10.0,30.3
190,"Bergen County, New Jersey",34,3,932202,195997,514038,51466,14776,155925,164668.0,3.8,3.7,22.7,14.6,5.9,49.3
191,"Berkeley County, South Carolina",45,15,227907,15903,144196,54764,6917,6127,32276.0,3.4,7.2,29.4,23.9,11.1,25.0
192,"Berkeley County, West Virginia",54,3,119171,5723,99605,8952,3589,1302,17935.0,3.0,7.9,37.6,21.5,8.7,21.2
193,"Berks County, Pennsylvania",42,11,421164,94556,296090,18057,6304,6157,74119.0,5.3,8.0,36.7,16.5,8.6,24.9
194,"Berkshire County, Massachusetts",25,3,124944,6422,109523,4011,2908,2080,29923.0,2.5,6.1,29.4,18.7,9.7,33.6
195,"Bernalillo County, New Mexico",35,1,679121,341627,259792,17603,41920,18179,114902.0,4.3,6.8,23.2,23.0,8.3,34.4
196,"Berrien County, Georgia",13,19,19397,1063,15691,2112,289,242,3342.0,5.8,15.2,42.4,17.4,7.7,11.4
197,"Berrien County, Michigan",26,21,153401,8829,114674,22204,4409,3285,31122.0,2.8,7.5,28.1,23.5,10.3,27.8
198,"Bertie County, North Carolina",37,15,18947,446,6568,11493,304,136,4479.0,6.3,15.4,38.1,19.4,7.2,13.6
199,"Bethel Census Area, Alaska",2,50,18386,503,1763,174,15737,209,1448.0,7.2,11.9,46.4,18.0,4.6,11.9
200,"Bexar County, Texas",48,29,2003554,1215788,542675,148558,34712,61821,247843.0,7.3,8.5,25.4,22.7,8.1,28.0
201,"Bibb County, Alabama",1,7,22394,623,16663,4719,337,52,3733.0,6.5,14.5,44.9,16.4,7.4,10.4
202,"Bibb County, Georgia",13,21,153159,5347,57342,84583,2551,3336,24507.0,3.9,10.1,30.5,22.9,7.3,25.4
203,"Bienville Parish, Louisiana",22,13,13241,279,7217,5458,239,48,2873.0,4.0,11.9,44.5,20.1,6.7,12.8
204,"Big Horn County, Montana",30,3,13319,874,3528,53,8771,93,1775.0,1.8,8.7,35.2,25.7,10.5,18.1
205,"Big Horn County, Wyoming",56,3,11790,1085,10322,78,249,56,2578.0,3.1,7.2,29.1,30.6,11.0,19.0
206,"Big Stone County, Minnesota",27,11,4991,104,4766,22,85,14,1339.0,,,,,,
207,"Billings County, North Dakota",38,7,928,24,853,0,12,39,211.0,,,,,,
208,"Bingham County, Idaho",16,11,46811,8367,34574,162,3228,480,6788.0,4.9,6.0,31.3,26.2,10.4,21.2
209,"Black Hawk County, Iowa",19,13,131228,6022,105729,12436,3318,3723,22243.0,3.1,5.5,30.5,20.7,11.1,29.1
210,"Blackford County, Indiana",18,9,11758,206,11198,77,206,71,2574.0,2.8,7.8,49.6,18.8,7.6,13.5
211,"Bladen County, North Carolina",37,17,32722,2538,17979,10891,1219,95,7459.0,5.5,13.2,33.4,22.9,9.2,15.8
212,"Blaine County, Idaho",16,13,23021,5407,16967,105,308,234,4683.0,4.7,6.6,25.6,20.1,7.6,35.4
213,"Blaine County, Montana",30,5,6681,248,2929,25,3463,16,1058.0,3.4,6.7,27.4,27.1,12.5,22.9
214,"Blaine County, Nebraska",31,9,465,7,450,2,6,0,125.0,,,,,,
215,"Blaine County, Oklahoma",40,11,9429,1182,6730,285,1201,31,1908.0,6.9,10.4,35.9,24.9,5.3,16.5
216,"Blair County, Pennsylvania",42,13,121829,1631,115153,2307,1889,849,25935.0,2.3,6.3,45.0,15.8,9.3,21.3
217,"Blanco County, Texas",48,31,11931,2348,9125,129,218,111,3004.0,5.1,4.7,30.3,25.2,8.1,26.5
218,"Bland County, Virginia",51,21,6280,62,5867,248,68,35,1484.0,4.4,7.0,42.4,21.3,10.7,14.2
219,"Bleckley County, Georgia",13,23,12873,414,8724,3412,178,145,2206.0,5.9,5.5,40.9,20.0,8.9,18.7
220,"Bledsoe County, Tennessee",47,7,15064,427,13151,1154,282,50,2839.0,10.4,14.0,39.8,17.2,6.6,12.0
221,"Blount County, Alabama",1,9,57826,5582,50176,872,1012,184,10814.0,8.5,11.0,33.4,21.4,12.5,13.1
222,"Blount County, Tennessee",47,9,133088,4815,120594,3860,2488,1331,27372.0,3.7,7.1,34.6,22.2,8.1,24.2
223,"Blue Earth County, Minnesota",27,13,67653,2664,58972,2838,1495,1684,9627.0,1.8,3.6,26.5,21.0,12.2,34.8
224,"Boise County, Idaho",16,15,7831,404,7056,28,249,94,2058.0,1.0,4.6,30.6,23.7,12.9,27.1
