,area_code,hispanic,white_nonhispanic,black_nonhispanic,other_nonhispanic,asian_nonhispanic,above_65,prepandemic_growth,leisure_by_emp,total_emp_feb2020,manufacturing_emp_feb2020,service_emp_feb2020,total_emp_jun2021,manufacturing_emp_jun2021,service_emp_jun2021,total_employment,manufacturing,service,emp_tot_change_feb2020_jun2021,manufacturing_change_feb2020_jun2021,service_change_feb2020_jun2021,occ_15,total_pop,pop_excl,less_than_9grade,hs_nodiploma,ged,college_nodegree,associates,bachelors_graduate,CBSA Title,division,region,state,pop_by_metro,state_name,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,deaths,deaths_by_pop
10,11180.0,3.69,83.55,2.91,1.76,8.1,12.633215605918636,0.0076045627376425,,54.3,6.9,47.4,45.9,7.1,38.8,53.0,7.2,45.8,-0.154696132596685,0.0289855072463767,-0.1814345991561181,0.0311320754716981,97117,97117,0.8999999999999999,2.0,17.4,17.9,10.2,51.6,"Ames, IA",West North Central Division,Midwest Region,19,123351.0,Iowa,46.978847638248844,51.330010752688175,49.09410954301076,66.98588709677419,48.0,0.0004942492045676863
11,11260.0,8.23,62.99,4.2,14.97,9.61,11.988383036811442,-0.0242959690778575,0.1099783981955338,172.4,13.4,159.0,161.4,15.6,145.8,176.7,15.4,161.3,-0.0638051044083526,0.1641791044776119,-0.0830188679245282,0.0185625353706847,396317,396317,2.29,4.06,26.05,26.27,9.16,32.14,"Anchorage, AK",Pacific Division,West Region,2,396317.0,Alaska,56.75205913978494,57.57928773041474,57.95676516897083,54.93783602150537,241.0,0.0006080990722073491
12,11460.0,4.92,70.16,12.02,3.5700000000000003,9.34,14.51818683844712,0.0756223579145138,0.0762600589507635,227.9,19.3,208.6,197.6,17.2,180.4,229.0,19.5,209.5,-0.1329530495831505,-0.1088082901554404,-0.1351869606903163,0.038471615720524,367601,367601,1.4,3.4000000000000004,14.6,17.599999999999998,7.1,55.900000000000006,"Ann Arbor, MI",East North Central Division,Midwest Region,26,367601.0,Michigan,61.24921438172043,61.19805174731184,63.852320564516134,42.61592741935484,302.0,0.0008215429228973806
13,11500.0,4.06,71.71,21.0,2.27,0.96,18.086351833105937,0.0238095238095236,0.1050355662453302,46.9,7.8,39.1,44.4,7.6,36.8,47.3,7.8,39.5,-0.0533049040511727,-0.0256410256410256,-0.0588235294117648,0.0078224101479915,113605,113605,5.2,10.4,32.800000000000004,25.0,8.200000000000001,18.5,"Anniston-Oxford-Jacksonville, AL",East South Central Division,South Region,1,113605.0,Alabama,46.76369556451611,51.10341733870968,52.595119623655926,41.38104838709677,330.0,0.002904801725276176
14,11540.0,4.5600000000000005,87.83999999999999,1.27,2.91,3.42,15.347895148209467,0.0349309504467913,0.0924053294592166,125.0,32.9,92.1,121.0,33.5,87.5,127.4,33.7,93.7,-0.032,0.0182370820668693,-0.0499457111834961,0.0214285714285714,237974,237974,2.06,3.82,31.64,19.79,13.13,29.64,"Appleton, WI",East North Central Division,Midwest Region,55,237974.0,Wisconsin,54.46523934331798,54.80137682411673,56.03115461789556,46.194556451612904,298.0,0.0012522376394059856
15,11700.0,7.180000000000001,84.98,4.42,2.13,1.29,22.707054551742026,0.0959735245449529,0.1446403180954538,196.9,32.1,164.8,174.1,29.9,144.2,198.7,32.4,166.4,-0.1157948197054342,-0.0685358255451714,-0.1250000000000001,0.011021640664318,462680,462680,3.1,6.77,24.27,20.52,9.76,35.55,"Asheville, NC",South Atlantic Division,South Region,37,462680.0,North Carolina,61.01781538018434,59.635277793778805,59.729226334485396,58.971774193548384,631.0,0.0013637935506181378
16,12020.0,8.89,65.53999999999999,20.02,1.95,3.6,13.581754385964912,0.0711938663745892,0.1104053426394346,96.9,10.1,86.8,88.8,9.2,79.6,97.8,9.9,87.9,-0.0835913312693499,-0.0891089108910891,-0.0829493087557604,0.0166666666666666,213750,213750,4.23,7.81,23.93,16.830000000000002,7.04,40.08,"Athens-Clarke County, GA",South Atlantic Division,South Region,13,213750.0,Georgia,55.921999423963136,56.25494897273425,55.945862903225795,58.414578533026116,309.0,0.0014456140350877192
17,12060.0,10.97,46.18,34.36,2.19,6.3,12.649301603690407,0.1037794299876084,0.1025667402363978,2819.9,299.80000000000007,2520.1,2625.1000000000004,291.39999999999986,2333.699999999999,2850.4,303.8,2546.6,-0.0690804638462357,-0.028018679119413,-0.073965318836554,0.0449165029469547,6020364,6020364,4.1000000000000005,6.34,23.99,19.59,7.580000000000001,38.4,"Atlanta-Sandy Springs-Roswell, GA",South Atlantic Division,South Region,13,6020364.0,Georgia,55.921999423963136,56.25494897273425,55.945862903225795,58.414578533026116,9261.0,0.0015382790807997656
18,12100.0,19.39,55.95,14.57,2.15,7.939999999999999,18.59407592824364,0.0349378881987577,0.2867381484520138,129.2,7.5,121.7,91.2,7.6,83.6,133.3,7.9,125.4,-0.2941176470588235,0.0133333333333331,-0.3130649137222679,0.0164291072768192,263670,263670,5.2,7.8,32.0,19.9,7.000000000000001,28.1,"Atlantic City-Hammonton, NJ",Middle Atlantic Division,Northeast Region,34,263670.0,New Jersey,57.64947177419355,62.18935215053763,60.998057795698905,70.52167338709677,694.0,0.0026320779762582015
19,12220.0,3.7,67.67999999999999,22.65,1.7999999999999998,4.17,12.405343316600018,0.1142384105960264,0.1281998923313965,66.3,9.0,57.3,60.8,8.7,52.1,67.3,9.0,58.3,-0.0829562594268477,-0.0333333333333334,-0.0907504363001744,0.0101040118870728,164542,164542,2.8000000000000003,6.3,23.7,22.7,9.2,35.3,"Auburn-Opelika, AL",East South Central Division,South Region,1,164542.0,Alabama,46.76369556451611,51.10341733870968,52.595119623655926,41.38104838709677,177.0,0.001075713191768667
