,area_code,hispanic,white_nonhispanic,black_nonhispanic,other_nonhispanic,asian_nonhispanic,above_65,prepandemic_growth,leisure_by_emp,total_emp_feb2020,manufacturing_emp_feb2020,service_emp_feb2020,total_emp_jun2021,manufacturing_emp_jun2021,service_emp_jun2021,total_employment,manufacturing,service,emp_tot_change_feb2020_jun2021,manufacturing_change_feb2020_jun2021,service_change_feb2020_jun2021,occ_15,total_pop,pop_excl,less_than_9grade,hs_nodiploma,ged,college_nodegree,associates,bachelors_graduate,CBSA Title,division,region,state,pop_by_metro
223,17020.0,17.21,70.91,1.6099999999999999,5.24,5.04,18.3533619847983,0.034659820282413205,0.10672342481055466,80.3,8.0,72.3,72.6,8.3,64.3,80.6,8.5,72.1,-0.09589041095890416,0.03750000000000009,-0.11065006915629327,0.011786600496277916,219186,219186,3.9,6.800000000000001,22.5,29.599999999999998,10.0,27.200000000000003,"Chico, CA",Pacific Division,West Region,6,219186
224,17140.0,3.38,79.09,12.629999999999999,2.23,2.68,16.701213467659954,0.054624223017517425,0.10855521481812948,1097.8999999999999,164.70000000000002,933.2000000000002,1033.8999999999999,161.40000000000003,872.5,1119.7999999999997,168.59999999999997,951.2000000000002,-0.05829310501867202,-0.02003642987249532,-0.06504500642948996,0.029951777103054123,2217282,2217282,2.5,6.69,32.43,19.15,8.709999999999999,30.509999999999998,"Cincinnati, OH-KY-IN",East North Central Division,Midwest Region,39,2221208
239,17300.0,9.06,63.18,21.490000000000002,4.04,2.23,11.529389187849324,0.056625141562853906,0.1247997268405432,92.2,15.9,76.3,88.8,14.8,74.0,93.3,15.9,77.4,-0.03687635574837311,-0.0691823899371069,-0.03014416775884665,0.009753483386923901,250126,250126,2.16,5.949999999999999,29.09,25.590000000000003,9.74,27.46,"Clarksville, TN-KY",East South Central Division,South Region,47,307820
242,17420.0,6.05,86.42999999999999,4.3,2.1,1.1199999999999999,17.908309455587393,0.023206751054852353,0.10308841843088423,46.9,11.2,35.7,48.8,10.4,38.4,48.5,11.1,37.4,0.04051172707889128,-0.07142857142857129,0.07563025210084029,0.007216494845360825,124942,124942,5.7700000000000005,9.32,33.08,22.5,8.43,20.9,"Cleveland, TN",East South Central Division,South Region,47,124942
244,17460.0,6.15,69.5,19.75,2.08,2.52,18.97826111365233,0.03309737899368654,0.09449684302792284,1062.3,158.8,903.5,989.6,152.0,837.6,1080.0,162.3,917.6,-0.06843641155982294,-0.04282115869017644,-0.07293857221914768,0.030222222222222223,2048449,2048449,2.7,6.76,28.9,21.85,8.67,31.15,"Cleveland-Elyria, OH",East North Central Division,Midwest Region,39,2048449
249,17660.0,4.9399999999999995,90.33,0.37,3.37,0.9900000000000001,19.428836973511892,0.13996627318718377,0.14196334643707437,64.2,10.5,53.7,68.2,11.3,56.9,67.6,11.3,56.3,0.06230529595015577,0.07619047619047636,0.059590316573556734,0.01257396449704142,165697,165697,1.0999999999999999,5.800000000000001,27.200000000000003,29.7,11.1,25.2,"Coeur d'Alene, ID",Mountain Division,West Region,16,165697
250,17780.0,25.580000000000002,55.879999999999995,11.26,1.7999999999999998,5.48,10.944063340485329,0.09838998211091236,0.13017607030606324,123.90000000000002,13.4,110.5,111.7,12.699999999999998,99.0,122.8,13.4,109.40000000000002,-0.09846650524616629,-0.052238805970149294,-0.10407239819004521,0.022557003257328994,264728,264728,6.13,7.17,21.59,20.25,6.52,38.35,"College Station-Bryan, TX",West South Central Division,South Region,48,264728
253,17820.0,17.37,69.28,5.83,4.35,3.17,13.55151778447313,0.11028867505551448,0.12696092679483453,293.2,29.5,263.7,283.6,30.5,253.1,300.0,30.5,269.6,-0.032742155525238625,0.03389830508474567,-0.040197193780811546,0.05173333333333333,745791,745791,1.95,3.75,20.5,23.990000000000002,11.34,38.47,"Colorado Springs, CO",Mountain Division,West Region,8,745791
255,17860.0,3.54,78.42,9.65,3.34,5.06,12.791541756481939,0.021298174442190756,,100.8,7.7,93.1,92.7,7.9,84.8,100.7,7.9,92.9,-0.0803571428571428,0.025974025974025983,-0.08915145005370562,0.023733862959285004,180463,180463,1.9,3.5000000000000004,21.3,19.8,7.3,46.1,"Columbia, MO",West North Central Division,Midwest Region,29,208173
256,17900.0,5.800000000000001,55.83,33.76,2.21,2.4,15.313805635035834,0.04507772020725382,0.09573173493575714,399.0,47.800000000000004,351.2,378.5,47.699999999999996,330.8,403.40000000000003,49.0,354.40000000000003,-0.05137844611528819,-0.0020920502092048876,-0.05808656036446458,0.02761527020327219,838433,838433,3.2199999999999998,6.81,26.69,21.23,9.04,33.040000000000006,"Columbia, SC",South Atlantic Division,South Region,45,838433
262,17980.0,7.539999999999999,50.73,35.54,2.78,3.4099999999999997,15.73930878659252,0.014913007456503705,0.11916345298131119,122.1,15.9,106.2,116.1,15.2,100.9,122.5,15.7,106.8,-0.0491400491400491,-0.044025157232704504,-0.04990583804143123,0.03853061224489796,364692,364692,2.78,6.49,25.22,23.849999999999998,9.07,32.57,"Columbus, GA-AL",South Atlantic Division,South Region,13,321048
267,18020.0,7.180000000000001,80.5,2.13,1.68,8.5,16.532782678236792,0.03307392996108955,0.07711236833632312,52.6,21.5,31.1,47.4,20.1,27.3,53.1,21.8,31.3,-0.09885931558935368,-0.06511627906976736,-0.12218649517684887,0.0288135593220339,83779,83779,3.4000000000000004,6.0,30.8,17.7,8.6,33.5,"Columbus, IN",East North Central Division,Midwest Region,18,83779
268,18140.0,4.41,71.93,16.05,2.78,4.83,13.644393199548974,0.07044013069383068,0.09453991978819318,1092.7000000000003,113.29999999999998,979.3999999999999,1042.0,114.9,927.1000000000001,1113.8999999999999,117.6,996.3999999999999,-0.04639882858973188,0.014121800529567574,-0.05340004084133143,0.04003052338630038,2122271,2122271,2.4699999999999998,5.970000000000001,27.54,19.63,7.46,36.89,"Columbus, OH",East North Central Division,Midwest Region,39,2122271
278,18580.0,61.7,31.990000000000002,3.0700000000000003,1.27,1.97,15.704676333711943,-0.0005154639175257439,0.1320929244192224,192.4,32.6,159.8,180.0,26.8,153.2,193.9,32.8,161.0,-0.06444906444906451,-0.17791411042944782,-0.041301627033792365,0.011036616812790098,452534,452534,7.57,9.98,29.9,23.7,7.969999999999999,20.89,"Corpus Christi, TX",West South Central Division,South Region,48,429024
281,18700.0,7.79,79.82000000000001,1.0699999999999998,4.14,7.180000000000001,16.806551105284086,0.05839416058394157,0.09525425646246959,44.5,4.5,40.0,38.7,4.1,34.6,43.5,4.6,38.9,-0.1303370786516853,-0.08888888888888902,-0.135,0.02689655172413793,93053,93053,1.6,2.5,13.3,20.0,8.5,54.1,"Corvallis, OR",Pacific Division,West Region,41,93053
282,18880.0,8.89,75.88000000000001,8.53,3.9899999999999998,2.7,17.328455210333942,0.10148975791433884,0.18876456242084222,115.6,10.0,105.6,116.4,10.4,106.0,118.3,10.0,108.3,0.006920415224913601,0.040000000000000036,0.0037878787878788955,0.03245984784446323,284809,284809,2.4299999999999997,6.0,25.69,24.64,10.75,30.42,"Crestview-Fort Walton Beach-Destin, FL",South Atlantic Division,South Region,12,284809
284,19060.0,1.9300000000000002,86.68,8.1,2.12,1.17,20.550727107475574,0.0,,39.2,5.8,33.4,35.0,5.2,29.8,38.9,5.7,33.2,-0.1071428571428572,-0.10344827586206895,-0.10778443113772451,0.02519280205655527,70416,70416,2.5,7.3,41.8,19.6,10.0,18.9,"Cumberland, MD-WV",South Atlantic Division,South Region,24,97284
286,19100.0,29.160000000000004,45.33,15.98,2.19,7.35,11.663852006572032,0.11344476103751132,0.1009928475106107,3727.5,508.5,3219.0,3579.5,496.8999999999999,3082.599999999999,3790.5,515.0,3275.5,-0.039704896042924265,-0.022812192723697167,-0.04237340789064925,0.04181242580134547,7643907,7643907,7.090000000000001,7.199999999999999,22.400000000000002,21.19,6.959999999999999,35.160000000000004,"Dallas-Fort Worth-Arlington, TX",West South Central Division,South Region,48,7573136
299,19140.0,30.61,63.980000000000004,2.83,1.37,1.21,14.636134987977115,0.0030120481927709128,,66.2,25.5,40.7,63.1,23.2,39.9,66.6,25.3,41.3,-0.04682779456193353,-0.09019607843137256,-0.019656019656019708,0.012912912912912912,144724,144724,13.83,16.41,31.619999999999997,18.41,5.59,14.149999999999999,"Dalton, GA",South Atlantic Division,South Region,13,144724
301,19180.0,5.26,77.83,13.54,2.46,0.91,19.836848913646083,-0.05862068965517239,0.0796525196646209,27.1,5.5,21.6,25.7,5.1,20.6,27.3,5.6,21.7,-0.05166051660516613,-0.07272727272727275,-0.04629629629629628,0.007326007326007326,75758,75758,3.2,8.3,41.199999999999996,21.9,10.6,14.7,"Danville, IL",East North Central Division,Midwest Region,17,75758
302,19300.0,4.72,83.21,8.61,2.36,1.11,20.977987224168363,0.14672364672364668,,78.1,9.2,68.9,77.8,8.6,69.2,80.5,9.1,71.4,-0.003841229193341844,-0.06521739130434778,0.004354136429608024,0.00546583850931677,223234,223234,2.3,6.9,27.700000000000003,21.8,9.4,31.900000000000002,"Daphne-Fairhope-Foley, AL",East South Central Division,South Region,1,223234
303,19340.0,6.36,81.73,6.6000000000000005,2.75,2.56,17.550386369707823,0.008108108108108109,0.09855396910101394,182.5,33.0,149.5,170.4,32.3,138.1,186.5,33.9,152.6,-0.06630136986301371,-0.02121212121212135,-0.07625418060200673,0.024772117962466488,202138,202138,2.6,4.63,30.86,21.09,10.93,29.99,"Davenport-Moline-Rock Island, IA-IL",West North Central Division,Midwest Region,19,379172
307,19380.0,3.01,75.97,15.73,2.85,2.4299999999999997,18.241950642078923,0.03185887309110049,0.09870758185521937,386.3,56.29999999999999,330.0,365.0,54.0,311.0,391.8999999999999,57.4,334.5,-0.05513849339891275,-0.04085257548845467,-0.05757575757575761,0.04072467466190355,807611,807611,2.4,6.59,28.28,23.580000000000002,9.569999999999999,29.65,"Dayton, OH",East North Central Division,Midwest Region,39,
308,19460.0,7.37,75.33,12.280000000000001,4.42,0.61,18.10449335858404,0.06679035250463825,0.09204465108306736,56.6,17.1,39.5,55.6,17.6,38.0,57.5,17.5,40.0,-0.017667844522968212,0.029239766081871288,-0.03797468354430378,0.008521739130434783,152603,152603,6.23,10.71,32.73,21.529999999999998,8.540000000000001,20.29,"Decatur, AL",East South Central Division,South Region,1,152603
310,19500.0,2.39,75.84,17.53,3.09,1.15,20.378044207712794,-0.026923076923076897,0.09588007919298577,49.9,13.9,36.0,45.7,13.9,31.8,50.6,14.2,36.5,-0.08416833667334656,0.0,-0.1166666666666667,0.008893280632411068,104009,104009,2.4,7.199999999999999,35.4,24.099999999999998,8.799999999999999,22.1,"Decatur, IL",East North Central Division,Midwest Region,17,104009
311,19660.0,14.280000000000001,71.28,10.39,2.02,2.03,25.98984088035729,0.09680851063829782,0.15459185503054063,207.1,25.7,181.4,193.4,24.7,168.7,206.2,25.5,180.7,-0.06615161757605015,-0.03891050583657585,-0.07001102535832426,0.010426770126091174,668365,668365,2.6100000000000003,6.59,32.23,23.28,11.34,23.94,"Deltona-Daytona Beach-Ormond Beach, FL",South Atlantic Division,South Region,12,668365
313,19740.0,23.26,63.68000000000001,5.56,2.88,4.62,13.318610331018164,0.10066537883666024,0.10727459797889968,1504.6000000000001,178.0,1326.6000000000001,1428.3999999999999,177.59999999999997,1250.7999999999997,1538.3999999999999,182.70000000000002,1355.7000000000003,-0.0506446896185031,-0.0022471910112359383,-0.05713854967586307,0.05271060842433696,2967239,2967239,3.84,4.9799999999999995,19.99,19.84,7.7,43.63,"Denver-Aurora-Lakewood, CO",Mountain Division,West Region,8,2967239
323,19780.0,7.64,80.07,5.6000000000000005,2.18,4.5,13.743549003408814,0.07038626609442067,0.09429922500985162,366.1,38.6,327.5,348.6,41.2,307.4,374.1,41.7,332.4,-0.04780114722753348,0.06735751295336789,-0.06137404580152683,0.04391873830526597,662107,662107,3.2800000000000002,4.24,24.560000000000002,20.05,10.18,37.69,"Des Moines-West Des Moines, IA",West North Central Division,Midwest Region,19,699292
328,19820.0,4.65,66.0,22.12,2.5,4.73,16.859225641831742,0.053999690546185884,0.09414182902050384,2017.5,328.5,1689.0,1778.7,302.40000000000003,1476.3,2043.6000000000001,333.7,1709.8999999999999,-0.11836431226765798,-0.07945205479452067,-0.12593250444049742,0.034145625366999416,4319629,4319629,3.15,6.77,26.740000000000002,23.22,8.99,31.09,"Detroit-Warren-Dearborn, MI",East North Central Division,Midwest Region,26,4319629
334,20020.0,3.47,69.55,23.74,2.36,0.88,19.17205640139798,0.0507880910683012,0.1046851076860263,59.6,8.0,51.6,57.1,7.900000000000001,49.20000000000001,60.0,8.1,52.0,-0.04194630872483218,-0.012499999999999956,-0.046511627906976716,0.006166666666666667,149358,149358,5.01,10.69,32.21,22.8,9.71,19.55,"Dothan, AL",East South Central Division,South Region,1,149358
337,20100.0,7.42,60.39,25.979999999999997,3.84,2.3800000000000003,17.4919518104278,0.03676470588235294,0.11404875683911626,69.8,7.5,62.3,65.3,7.6,57.7,70.5,7.7,62.9,-0.0644699140401146,0.013333333333333197,-0.07383627608346699,0.014042553191489362,180786,180786,4.5,8.1,32.9,22.6,8.200000000000001,23.7,"Dover, DE",South Atlantic Division,South Region,10,180786
338,20220.0,2.63,90.3,3.51,1.76,1.7999999999999998,18.31139336765628,0.013355592654424112,,59.8,11.8,48.0,56.8,12.4,44.4,60.7,12.5,48.2,-0.050167224080267525,0.05084745762711851,-0.07500000000000007,0.01927512355848435,97311,97311,2.1999999999999997,5.1,32.7,19.5,9.700000000000001,30.8,"Dubuque, IA",West North Central Division,Midwest Region,19,97311
339,20260.0,1.83,90.28,1.6,5.21,1.0699999999999998,19.874877289895345,0.008082292432035227,0.10272973904437038,136.2,16.8,119.40000000000002,121.0,16.0,105.0,137.2,17.8,119.40000000000002,-0.11160058737151246,-0.04761904761904767,-0.12060301507537696,0.013192419825072887,240404,240404,1.37,4.15,27.860000000000003,25.03,13.100000000000001,28.48,"Duluth, MN-WI",West North Central Division,Midwest Region,27,288732
342,20500.0,11.57,55.010000000000005,25.77,2.37,5.28,15.753762475938649,0.0881378396288932,0.0827175109716923,327.5,42.1,285.4,304.7,41.9,262.8,328.4,42.6,285.8,-0.06961832061068707,-0.004750593824228044,-0.07918710581639787,0.05950060901339829,583924,583924,4.8500000000000005,5.7299999999999995,18.44,15.52,7.249999999999999,48.18,"Durham-Chapel Hill, NC",South Atlantic Division,South Region,37,644367
346,20700.0,16.950000000000003,64.53,13.669999999999998,2.3,2.54,17.822764886563185,0.060390763765541845,0.194522545038009,58.9,6.7,52.2,49.2,6.6,42.6,59.7,6.9,52.7,-0.16468590831918495,-0.014925373134328401,-0.1839080459770115,0.009547738693467337,170271,170271,3.1,7.3,35.099999999999994,21.2,8.6,24.7,"East Stroudsburg, PA",Middle Atlantic Division,Northeast Region,42,170271
347,20740.0,2.35,90.98,1.34,2.03,3.3000000000000003,17.05452913103057,0.028169014084506942,0.09652076318742989,86.3,14.2,72.1,80.5,14.5,66.0,87.6,14.7,72.9,-0.06720741599072999,0.021126760563380254,-0.0846047156726768,0.018150684931506848,169304,169304,2.41,3.9899999999999998,28.970000000000002,21.029999999999998,15.61,27.98,"Eau Claire, WI",East North Central Division,Midwest Region,55,169304
349,20940.0,85.03,10.02,2.42,1.28,1.24,13.31953756587479,0.05335968379446632,0.07957787313000118,53.0,3.3,49.7,48.9,3.8,45.1,53.3,3.5,49.8,-0.07735849056603772,0.1515151515151516,-0.09255533199195176,0.006191369606003753,181215,181215,15.6,14.7,24.3,23.7,6.5,15.2,"El Centro, CA",Pacific Division,West Region,6,181215
350,21060.0,5.24,79.67999999999999,9.71,3.4000000000000004,1.97,14.803674445195156,0.031021897810219034,0.10108303249097474,56.20000000000001,10.0,46.20000000000001,51.4,9.3,42.1,56.5,10.0,46.4,-0.0854092526690392,-0.06999999999999995,-0.08874458874458879,0.029911504424778763,153928,153928,3.44,6.93,32.17,24.72,12.049999999999999,20.62,"Elizabethtown-Fort Knox, KY",East South Central Division,South Region,21,153928
353,21140.0,16.76,74.1,5.62,2.33,1.1900000000000002,15.125447681265477,0.07674236491777602,0.05525125872702654,138.9,72.4,66.5,127.9,65.4,62.5,137.5,70.4,67.0,-0.0791936645068394,-0.09668508287292821,-0.06015037593984962,0.011127272727272727,206341,206341,8.5,10.8,34.699999999999996,19.6,6.7,19.8,"Elkhart-Goshen, IN",East North Central Division,Midwest Region,18,206341
354,21300.0,3.2399999999999998,86.06,5.949999999999999,3.29,1.47,19.512078220858893,-0.0314136125654451,0.09153303190970301,36.7,6.4,30.3,33.0,6.2,26.8,37.0,6.6,30.4,-0.10081743869209814,-0.03125,-0.11551155115511547,0.01,83456,83456,2.9000000000000004,6.9,35.3,19.6,12.1,23.3,"Elmira, NY",Middle Atlantic Division,Northeast Region,36,83456
355,21340.0,83.39,11.690000000000001,3.1,1.1199999999999999,1.28,12.62454750619014,0.07761194029850739,0.1117424818317268,322.6,34.1,288.5,305.4,33.8,271.6,324.9,34.5,290.4,-0.05331680099194058,-0.008797653958944385,-0.058578856152512904,0.014312096029547553,839238,839238,12.7,8.799999999999999,23.7,23.200000000000003,8.200000000000001,23.3,"El Paso, TX",West South Central Division,South Region,48,844124
357,21420.0,13.209999999999999,73.07000000000001,2.94,5.88,4.91,16.46848794549266,-0.06249999999999997,,25.7,5.0,20.7,24.3,4.4,19.9,25.5,4.9,20.6,-0.05447470817120614,-0.11999999999999988,-0.03864734299516914,0.01607843137254902,61056,61056,4.2,7.9,36.199999999999996,20.8,8.0,22.900000000000002,"Enid, OK",West South Central Division,South Region,40,61056
358,21500.0,4.41,84.0,7.290000000000001,2.36,1.94,18.629878989203938,-0.017638036809816036,0.10692073574169643,126.8,23.6,103.2,111.5,22.5,89.0,128.1,24.0,104.0,-0.12066246056782337,-0.04661016949152552,-0.13759689922480622,0.013505074160811866,269728,269728,2.7,6.0,38.5,15.5,9.4,27.900000000000002,"Erie, PA",Middle Atlantic Division,Northeast Region,42,269728
359,21660.0,9.32,81.28999999999999,1.09,5.0,3.3000000000000003,19.937340832890566,0.0738079686479426,0.10380552392873026,162.1,22.4,139.7,146.7,21.8,124.9,164.4,22.8,141.6,-0.09500308451573103,-0.02678571428571419,-0.10594130279169633,0.021289537712895375,382067,382067,2.4,5.7,23.200000000000003,28.7,9.6,30.5,"Eugene, OR",Pacific Division,West Region,41,382067
360,21780.0,2.44,86.72999999999999,6.76,2.36,1.71,17.805955071020342,0.020886075949367162,0.09869379192731718,161.3,33.4,127.9,148.3,31.1,117.2,161.3,33.5,127.7,-0.08059516429014257,-0.06886227544910173,-0.08365910867865523,0.012399256044637322,280131,280131,2.16,6.859999999999999,33.12,20.93,10.2,26.790000000000003,"Evansville, IN-KY",East North Central Division,Midwest Region,18,315086
364,21820.0,8.200000000000001,69.25,4.79,13.969999999999999,3.8,11.180290968414749,-0.010443864229764977,0.11337237208409323,36.4,3.4,33.0,34.9,4.3,30.6,37.9,4.1,33.8,-0.04120879120879117,0.2647058823529411,-0.07272727272727264,0.01108179419525066,96849,96849,2.0,3.5000000000000004,22.6,31.1,9.4,31.4,"Fairbanks, AK",Pacific Division,West Region,2,96849
365,22020.0,2.88,85.5,6.25,3.2399999999999998,3.39,12.759793978771238,0.03719599427753926,0.09633605483318214,143.4,17.4,126.0,134.6,19.3,115.3,145.0,19.1,126.0,-0.06136680613668066,0.10919540229885061,-0.08492063492063495,0.027310344827586208,181923,181923,2.3,2.9000000000000004,20.1,20.599999999999998,13.900000000000002,40.2,"Fargo, ND-MN",West North Central Division,Midwest Region,38,246145
367,22140.0,20.599999999999998,37.45,0.58,40.83,0.54,15.648042078768615,-0.07407407407407403,,47.5,9.6,37.9,39.9,7.4,32.5,47.5,9.7,37.7,-0.16000000000000003,-0.22916666666666663,-0.1424802110817942,0.006526315789473684,123958,123958,5.2,9.9,30.5,27.3,12.2,14.899999999999999,"Farmington, NM",Mountain Division,West Region,35,123958
368,22180.0,12.35,41.839999999999996,36.730000000000004,6.329999999999999,2.74,11.974878628663852,0.0344827586206897,0.12158719610123495,131.9,14.5,117.4,122.7,13.1,109.6,132.0,14.6,117.3,-0.06974981046247164,-0.096551724137931,-0.06643952299829647,0.016893939393939395,390743,390743,3.1,6.54,26.3,28.599999999999998,11.07,24.4,"Fayetteville, NC",South Atlantic Division,South Region,37,526719
370,22220.0,12.31,63.470000000000006,17.299999999999997,3.16,3.7600000000000002,14.356155219757987,0.12166172106824932,0.09873207914672857,261.2,41.9,219.3,253.2,43.0,210.2,264.6,42.8,221.8,-0.030627871362940318,0.026252983293556076,-0.041495668034655875,0.03000755857898715,926815,926815,4.9,6.81,27.21,21.310000000000002,6.370000000000001,33.410000000000004,"Fayetteville-Springdale-Rogers, AR-MO",West South Central Division,South Region,5,534904
374,22380.0,14.32,54.09,1.29,28.24,2.06,13.007053444478519,0.052631578947368515,0.21876246781038042,66.6,6.1,60.5,60.5,6.6,53.9,68.0,6.4,61.6,-0.09159159159159147,0.08196721311475419,-0.10909090909090913,0.011323529411764706,143476,143476,3.6999999999999997,5.800000000000001,22.0,23.9,8.4,36.199999999999996,"Flagstaff, AZ",Mountain Division,West Region,4,143476
375,22420.0,3.5700000000000003,72.38,20.01,3.02,1.02,17.96911385293226,0.022107590272660283,0.10881134901753456,136.8,18.1,118.7,123.2,18.1,105.1,138.7,18.9,119.8,-0.09941520467836262,0.0,-0.11457455770850888,0.015717375630857965,405813,405813,2.3,7.000000000000001,31.6,26.8,11.0,21.2,"Flint, MI",East North Central Division,Midwest Region,26,405813
376,22500.0,2.6,52.290000000000006,42.27,1.55,1.29,18.082484590871157,0.07308584686774938,,91.7,13.7,78.0,86.2,13.5,72.7,92.5,14.1,78.4,-0.05997818974918212,-0.014598540145985384,-0.06794871794871793,0.01718918918918919,204911,204911,4.93,10.92,33.62,19.66,8.94,21.91,"Florence, SC",South Atlantic Division,South Region,45,204911
378,22520.0,3.0,82.02000000000001,12.15,2.07,0.76,20.323038453740626,0.02309058614564839,0.11069869456102245,56.8,12.6,44.2,53.4,11.9,41.5,57.6,12.7,44.9,-0.059859154929577496,-0.05555555555555547,-0.06108597285067874,0.0038194444444444443,147970,147970,4.24,9.22,36.67,21.19,7.199999999999999,21.48,"Florence-Muscle Shoals, AL",East South Central Division,South Region,1,147970
380,22540.0,5.4,89.03,2.02,1.69,1.8499999999999999,19.00525129831823,0.022964509394572057,0.08529755830450257,48.4,14.4,34.0,45.0,13.7,31.3,49.0,14.7,34.4,-0.07024793388429751,-0.04861111111111116,-0.07941176470588229,0.0236734693877551,103403,103403,2.6,5.6000000000000005,36.1,21.0,11.799999999999999,23.1,"Fond du Lac, WI",East North Central Division,Midwest Region,55,103403
381,22660.0,11.92,82.13000000000001,1.03,2.58,2.35,16.187773011412194,0.11961414790996781,0.12341542333273414,169.9,26.1,143.8,163.4,25.9,137.5,174.1,26.4,147.7,-0.038257798705120694,-0.00766283524904221,-0.04381084840055638,0.028834003446295234,356899,356899,1.3,2.9000000000000004,19.0,20.4,9.2,47.3,"Fort Collins, CO",Mountain Division,West Region,8,356899
382,22900.0,11.28,74.6,6.11,4.83,3.19,17.381629429022794,0.0035366931918656562,0.08226696842149792,113.1,23.0,90.1,107.9,22.1,85.8,113.5,23.2,90.4,-0.04597701149425282,-0.03913043478260858,-0.047724750277469474,0.010484581497797357,221550,221550,5.83,10.03,34.54,23.48,7.82,18.23,"Fort Smith, AR-OK",West South Central Division,South Region,5,250368
386,23060.0,7.03,76.11,10.0,2.87,3.9899999999999998,15.434404009430223,0.05509259259259262,0.09355073833112876,224.9,48.70000000000001,176.19999999999996,210.30000000000004,46.29999999999999,164.0,227.9,49.5,178.4,-0.06491774121831928,-0.04928131416837789,-0.0692395005675368,0.019306713470820535,441559,441559,3.9600000000000004,6.35,29.82,21.6,11.020000000000001,27.24,"Fort Wayne, IN",East North Central Division,Midwest Region,18,413263
389,23420.0,53.769999999999996,28.63,4.63,2.48,10.5,12.554786753291209,0.11956856702619419,0.09392880285670957,356.2,43.1,313.1,342.3,44.2,298.1,363.3,45.5,317.9,-0.03902302077484554,0.025522041763341052,-0.04790801660811239,0.009028351224883017,999101,999101,13.8,10.2,22.7,23.400000000000002,8.7,21.2,"Fresno, CA",Pacific Division,West Region,6,999101
390,23460.0,4.14,77.45,15.52,2.07,0.8200000000000001,19.35698361168694,0.0053763440860213904,0.10583976989949258,37.3,6.4,30.9,32.7,4.9,27.8,37.4,6.4,31.1,-0.12332439678284168,-0.234375,-0.10032362459546917,0.00267379679144385,102268,102268,4.8,10.6,32.9,24.8,9.1,17.8,"Gadsden, AL",East South Central Division,South Region,1,102268
391,23540.0,10.2,62.239999999999995,19.08,2.74,5.74,14.98826597131682,0.09710896960711633,0.105393572582603,149.3,10.8,138.5,134.9,10.5,124.4,148.0,10.9,137.1,-0.09645010046885472,-0.02777777777777779,-0.10180505415162455,0.021621621621621623,287625,287625,2.97,4.9,22.55,17.27,10.94,41.370000000000005,"Gainesville, FL",South Atlantic Division,South Region,12,329128
393,23580.0,29.080000000000002,60.08,7.340000000000001,1.47,2.02,15.40248775930464,0.11785714285714292,,92.7,25.5,67.2,90.3,24.2,66.1,93.9,25.5,68.4,-0.02588996763754048,-0.050980392156862786,-0.016369047619047783,0.007987220447284345,204441,204441,10.9,10.0,27.700000000000003,20.1,6.7,24.5,"Gainesville, GA",South Atlantic Division,South Region,13,204441
394,23900.0,7.290000000000001,88.73,1.6400000000000001,1.5,0.83,21.09524410488404,0.029239766081871343,0.1310571923743501,35.3,9.3,26.0,30.7,8.8,21.9,35.2,9.4,25.8,-0.13031161473087816,-0.053763440860215006,-0.1576923076923078,0.008238636363636363,103009,103009,4.0,7.199999999999999,39.900000000000006,17.9,8.7,22.3,"Gettysburg, PA",Middle Atlantic Division,Northeast Region,42,103009
395,24020.0,2.88,92.66,2.16,1.54,0.77,21.544091795314348,-0.014414414414414363,0.13736215456262907,52.3,8.2,44.1,47.6,8.1,39.5,54.7,8.5,46.2,-0.08986615678776277,-0.012195121951219523,-0.10430839002267578,0.009323583180987203,125148,125148,3.4299999999999997,6.63,34.56,18.11,11.25,26.02,"Glens Falls, NY",Middle Atlantic Division,Northeast Region,36,125148
397,24140.0,12.45,52.73,31.16,2.42,1.24,16.89420210994794,-0.01428571428571432,,41.7,7.2,34.5,39.1,7.2,31.9,41.4,7.1,34.3,-0.062350119904076795,0.0,-0.07536231884057976,0.005072463768115942,123131,123131,6.9,8.6,30.5,22.900000000000002,12.0,19.0,"Goldsboro, NC",South Atlantic Division,South Region,37,123131
398,24220.0,4.68,83.08,4.22,5.12,2.9000000000000004,13.317302846611279,-0.029929577464788658,0.1071034228928966,54.8,6.8,48.0,49.1,7.2,41.9,55.1,7.5,47.6,-0.10401459854014594,0.05882352941176472,-0.12708333333333333,0.009981851179673321,69451,69451,2.0,2.9000000000000004,22.2,24.0,13.3,35.6,"Grand Forks, ND-MN",West North Central Division,Midwest Region,38,100815
400,24260.0,22.05,73.07000000000001,2.3800000000000003,1.44,1.05,16.694746515546026,0.0023752969121140478,,41.7,10.2,31.5,39.9,10.1,29.8,42.2,10.4,31.8,-0.043165467625899345,-0.009803921568627416,-0.053968253968254,0.008767772511848342,84877,84877,5.390000000000001,7.12,31.89,24.39,9.610000000000001,21.52,"Grand Island, NE",West North Central Division,Midwest Region,31,75553
404,24300.0,14.81,81.05,0.7000000000000001,2.39,1.04,19.6926269372933,0.060162601626016304,0.11945936711023365,64.2,10.0,54.2,60.3,8.6,51.7,65.2,10.0,55.2,-0.06074766355140193,-0.14,-0.04612546125461259,0.011042944785276074,154210,154210,2.6,6.9,27.6,26.3,8.4,28.199999999999996,"Grand Junction, CO",Mountain Division,West Region,8,154210
